column,dtype,non_null_count,missing_rate,coverage_pct,example_values,is_numeric,is_candidate_feature
Location,float64,0,1.0,0.0,,True,False
Longitude_range,object,1,1.0,0.0,104.1667 to 105.5833,False,False
Mo_mgkg,float64,29,0.9989,0.11,2.0 | 8.0 | 4.0,True,True
NPE_mgkg,float64,0,1.0,0.0,,True,False
PAH_compounds_detected,float64,0,1.0,0.0,,True,False
PAH_mgkg,float64,0,1.0,0.0,,True,False
PCB_mgkg,float64,0,1.0,0.0,,True,False
PCDD_F_ngTEkg,float64,0,1.0,0.0,,True,False
PCDD_Fs_I_TEQ_ngm3,float64,0,1.0,0.0,,True,False
PCDD_Fs_I_TEQ_ugg,float64,0,1.0,0.0,,True,False
PCN14,object,71,0.9974,0.26,0.82 | 0.49 | 0.65,False,False
PCN19,object,71,0.9974,0.26,0.37 | 0.35 | 0.49,False,False
PCN24,float64,71,0.9974,0.26,11.0 | 5.8 | 7.4,True,True
Pb_Pi,float64,0,1.0,0.0,,True,False
Perylene_ngg,float64,11,0.9996,0.04,869.0 | 937.0 | 228.0,True,False
Plants,float64,0,1.0,0.0,,True,False
Pollutant,float64,0,1.0,0.0,,True,False
SampleType,object,2,0.9999,0.01,pine needle | moss,False,False
SamplingLocation,float64,0,1.0,0.0,,True,False
SoilMoisture_pct,float64,0,1.0,0.0,,True,False
SoilOrganicMatter_pct,float64,0,1.0,0.0,,True,False
SumOPAH_ngg,float64,19,0.9993,0.07,39000.0 | 85000.0 | 11000.0,True,False
Sum_PAH_range_ngg_max,float64,1,1.0,0.0,2231000.0,True,False
Sum_PAH_range_ngg_min,float64,1,1.0,0.0,8990.0,True,False
TPHs_mgkg,float64,0,1.0,0.0,,True,False
Temperature_C,float64,0,1.0,0.0,,True,False
TotalNitrogen_pct,float64,0,1.0,0.0,,True,False
TotalPCB_ngg,float64,0,1.0,0.0,,True,False
ValidationSite,object,44,0.9984,0.16,南京栖霞验证集 | 云南个旧验证集,False,False
Zn_Pi,float64,0,1.0,0.0,,True,False
five_six_ring_PAH_pct,float64,1,1.0,0.0,22.9,True,False
four_ring_PAH_pct,float64,1,1.0,0.0,35.5,True,False
zotero_key,object,214,0.9921,0.79,2PQPPU6T | 2VN7BLP3 | 35DQAIU7,False,False
source,object,2870,0.8938,10.62,"SI2_sheet:Fig.S4 | Characterization of atmospheric deposition and runoff water in a small suburban catchment | Trace metals, polycyclic aromatic hydrocarbons and polychlorinated biphenyls in the surface sediments from Sanya River, China: Distribution, sources and ecological risk",False,False
Glyphosate_ngL,float64,2,0.9999,0.01,70.0 | 90.0,True,False
AMPA_ngL,float64,2,0.9999,0.01,660.0 | 120.0,True,False
Sum16PAH_ngg,float64,227,0.9916,0.84,4737.0 | 4638.0 | 125.0,True,True
Extraction_Notes,object,59,0.9978,0.22,"This row represents sediment data from the pond (2017). Heavy metal and PAH concentrations are from sediment analysis. PAH concentrations converted from mg/kg dry matter as reported in Fig.7. Some PAHs reported in sediment but not in stormwater: Acy, Ant, BaA, Chr, BkF, BaP, BghiP, Ind. DahA mentioned in text but not quantified in table. Ni not detected in filter water but mentioned in text as tracked in 2017, value not provided. | This row represents the organic deposit layer (L1) of the input filter (2017). Heavy metal values from Fig.6. Note: Cr, Cu, Ni, Zn values are French regulatory limits (BRGM, 2002) mentioned for reuse as roadway backfill, not measured concentrations in this layer. Actual measured values from Fig.6 for input filter L1 2017: Pb ~10-15 mg/kg, Zn ~2500-3000 mg/kg, Cu ~30-40 mg/kg. PAH values from Fig.7. Text states PAHs detected only in organic deposit layer. | This row represents the organic deposit layer (L1) of the output filter (2017). Heavy metal values from Fig.6. PAH values from Fig.7. Text states no significant difference in HM content between high and low supplied filter areas, but values in Fig.6 show variation.",False,False
I_TEQ_ngkg,float64,0,1.0,0.0,,True,False
WHO_TEQ_ngkg,float64,0,1.0,0.0,,True,False
PCB28_ngg,float64,10,0.9996,0.04,0.47 | 0.34 | 2549.03,True,False
PCB52_ngg,float64,10,0.9996,0.04,0.68 | 0.11 | 662.31,True,False
PCB101_ngg,float64,8,0.9997,0.03,0.92 | 0.2 | 519.33,True,False
PCB118_ngg,float64,19,0.9993,0.07,458.58 | 0.086 | 0.0008,True,False
PCB153_ngg,float64,8,0.9997,0.03,0.99 | 1.2 | 87.91,True,False
PCB138_ngg,float64,8,0.9997,0.03,0.23 | 0.63 | 196.9,True,False
PCB180_ngg,float64,8,0.9997,0.03,0.5 | 0.48 | 0.064,True,False
SumPCNs_ngg,float64,0,1.0,0.0,,True,False
Sum7PAH_ngg,float64,33,0.9988,0.12,571.0 | 2875000.0 | 1561210.0,True,True
Cd_spiked_mgkg,float64,0,1.0,0.0,,True,False
Cd_spiked_mgkg_2,float64,0,1.0,0.0,,True,False
Spiked_Phe_mgkg,float64,0,1.0,0.0,,True,False
PAHs_mgkg,float64,8,0.9997,0.03,0.98 | 0.13 | 1.28,True,False
C10C40_TPH_mgkg,float64,0,1.0,0.0,,True,False
C5C10_TPH_mgkg,float64,0,1.0,0.0,,True,False
SampleCount,float64,2,0.9999,0.01,500.0 | 247.0,True,False
S_mgkg,float64,7,0.9997,0.03,990.0 | 3790.0 | 5790.0,True,False
Na_mgkg,float64,10,0.9996,0.04,9200.0 | 10574.0 | 4010.0,True,False
DMP_ugkg,float64,90,0.9967,0.33,35.2 | 6.0 | 49.0,True,True
DEP_ugkg,float64,92,0.9966,0.34,18.7 | 29.0 | 75.0,True,True
DBP_ugkg,float64,101,0.9963,0.37,144.0 | 359.0 | 190.0,True,True
BBP_ugkg,float64,75,0.9972,0.28,69.7 | 89.0 | 3.0,True,True
DEHP_ugkg,float64,111,0.9959,0.41,181.0 | 1540.0 | 247.0,True,True
DNOP_ugkg,float64,84,0.9969,0.31,91.0 | 9.0 | 8.0,True,True
DiBP_ugkg,float64,13,0.9995,0.05,197.0 | 595.0 | 181.0,True,False
BMPP_ugkg,float64,7,0.9997,0.03,30.3 | 52.0 | 196.0,True,False
DEEP_ugkg,float64,8,0.9997,0.03,66.9 | 75.0 | 43.0,True,False
DHXP_ugkg,float64,9,0.9997,0.03,60.8 | 18.0 | 13.0,True,False
DBEP_ugkg,float64,4,0.9999,0.01,143.0 | 92.0,True,False
Sum6PAE_ugkg,float64,3,0.9999,0.01,539.0,True,False
BDE28_ngg,float64,4,0.9999,0.01,28.8 | 1.7 | 34.8,True,False
BDE47_ngg,float64,4,0.9999,0.01,20.1 | 2.0 | 45.5,True,False
BDE99_ngg,float64,4,0.9999,0.01,50.9 | 3.0 | 30.3,True,False
BDE100_ngg,float64,2,0.9999,0.01,20.4 | 2.0,True,False
BDE153_ngg,float64,2,0.9999,0.01,50.4 | 3.0,True,False
BDE154_ngg,float64,2,0.9999,0.01,20.3 | 2.0,True,False
BDE138_ngg,float64,2,0.9999,0.01,2.9 | 1.0,True,False
BDE183_ngg,float64,2,0.9999,0.01,1406.2 | 60.0,True,False
BDE190_ngg,float64,2,0.9999,0.01,20.3 | 2.0,True,False
BDE206_ngg,float64,2,0.9999,0.01,1400.1 | 80.0,True,False
BDE207_ngg,float64,2,0.9999,0.01,1400.3 | 80.0,True,False
BDE208_ngg,float64,2,0.9999,0.01,1400.2 | 80.0,True,False
Org_Matter_gkg,float64,1,1.0,0.0,25.8,True,False
Olsen_P_mgkg,float64,1,1.0,0.0,27.0,True,False
NH4OAc_K_mgkg,float64,1,1.0,0.0,26.3,True,False
Alk_hydrolyzable_N_mgkg,float64,1,1.0,0.0,118.0,True,False
DTPA_Fe_mgkg,float64,1,1.0,0.0,154.6,True,False
DTPA_Mn_mgkg,float64,1,1.0,0.0,68.5,True,False
DTPA_Cu_mgkg,float64,1,1.0,0.0,7.5,True,False
HCB_ngg,float64,6,0.9998,0.02,5.1 | 1.92 | 0.788,True,False
SamplingDate,float64,0,1.0,0.0,,True,False
N_mgkg,float64,0,1.0,0.0,,True,False
SampingDepth,float64,0,1.0,0.0,,True,False
Ti_mgkg,float64,33,0.9988,0.12,13790.0 | 7230.0 | 6340.0,True,True
Comment_SamplingID,object,1,1.0,0.0,"Based on maximum concentration reported, represents a sampling site in Danyang",False,False
Comment_DataRepresentation,object,1,1.0,0.0,PCB concentration value represents maximum value from individual site data,False,False
pH_in_Results,float64,0,1.0,0.0,,True,False
SumPCB_mgkg,float64,0,1.0,0.0,,True,False
BDE209_mgkg,float64,0,1.0,0.0,,True,False
SumPBDE_mgkg,float64,0,1.0,0.0,,True,False
Extraction_Notes_Additional,object,1,1.0,0.0,"Pb and Zn values in CF units from Table 1 converted to mg/kg using Chinese soil background values? Paper reports CF values, not absolute concentrations. Absolute concentrations for heavy metals estimated from Fig.1 ranges. Soil properties from Table 2. SOC reported as g/kg, converted to %: 15.3 g/kg = 1.53%. Latitude/longitude approximated from given range: 106°24′–107°07′E ≈ 106.76°E, 33°34′–34°18′N ≈ 33.92°N. Altitude from text: 915-2937 m, using lower bound. Pollution grade 'E' = extremely heavy pollution. Note: Table 1 shows CF (contamination factor) values, not absolute concentrations. CF = measured value/background value. Background values from Chinese standard GB15618-2018. To get absolute concentrations, we'd need background values. Since not given, we output CF values but field names require mg/kg. Therefore, these are NOT real mg/kg but CF ratios. Use extraction_notes to clarify.",False,False
Si_mgkg,float64,5,0.9998,0.02,28599.0 | 350080.0 | 242820.0,True,False
Cl_mgkg,float64,9,0.9997,0.03,10270.0 | 12110.0 | 12990.0,True,False
Zr_mgkg,float64,20,0.9993,0.07,260.0 | 690.0 | 1140.0,True,False
Nb_mgkg,float64,6,0.9998,0.02,130.0 | 60.0 | 150.0,True,False
Ag_mgkg,float64,8,0.9997,0.03,210.0 | 90.0 | 420.0,True,False
Ta_mgkg,float64,5,0.9998,0.02,570.0 | 490.0 | 370.0,True,False
Rb_mgkg,float64,19,0.9993,0.07,120.0 | 45.81 | 78.91,True,False
Be_mgkg,float64,5,0.9998,0.02,1.67 | 2.22 | 1.89,True,False
