paper_id,stem,tbl_idx,title,category,extract_status,extract_note
P11363,2022_苏满_Unknown_null,10,表2-10 PAHs检出量过高的土壤样品,conc_like,no_data_rows,type=sample samples=0
P01864,2024_Yan Zhang et al_SciTotalEnviron_10.1016-j.scitotenv.2024.177583,0,the intensive and frequent traffic activities in the city produce considerable e,summary_conc,no_header,未找到含污染物信号的表头行
P03840,2024_Guo H et al_FrontSoilSci_10.3389-fsoil.2024.1337656,2,TABLE 3 Distribution and statistics of literature.,summary_conc,no_header,未找到含污染物信号的表头行
P04668,2024_Aihemaitijiang G et al_Toxics_10.3390-toxics12120937,1,Table 2. PAH levels in soil worldwide (mg/kg).,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P11534,2024_Xie X et al_SciRep_null,1,contain redundant information. The lack of multicollinearity further strengthens,summary_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11547,2024_周猛_Unknown_null,1,Table 1-1 Contamination concentration in areas where As and PAHs coexist,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P00361,10_1007_s10653_023_01770_x,0,Table 1 Summaries of PAH concentrations in soils from contaminated sites and ind,sample_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P00362,10_1007_s10653_023_01806_2,0,Table 1 Comparison of soil PAHs concentration in typical region from China and a,sample_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P03129,2025_张婷_地球化学_10.13343-j.cnki.wsxb.20240556,0,Table 1 Physical and chemical properties of rhizosphere soil in four plants,conc_like,no_header,未找到含污染物信号的表头行
P03129,2025_张婷_地球化学_10.13343-j.cnki.wsxb.20240556,1,Table 2 Physical and chemical properties of non rhizosphere soil for four plant ,conc_like,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P03779,10_3389_fenvs_2023_1114027,0,Table S1 The basic information of soils in 207 examined areas in China,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P03781,2023_ChineseAcademyofSciences(CAS) et al_Science_10.3389-fenvs.2023.1209137,0,TABLE 1 PAHs in soi l of an ind ustrial park.,conc_like,ok_transposed,转置表 16污染物 × 8采样点 = 128条→聚合30 family={'PAHs'}
P04264,10.3390_ijerph20031916,0,Table 1. Concentrations of OCPs in agricultural soils collected from Xiamen.,summary_conc,no_data_rows,type=sample samples=0
P04591,10.3390_su152416801,0,"Table 1. Concentrations $\scriptstyle ( \mathrm { n g } / \mathrm { g } ,$ dry w",summary_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P04645,10_3390_toxics11080695,0,"Table 1. Statistical description of PAH concentrations in road dust, green belt ",summary_conc,ok_transposed,转置表 1污染物 × 9采样点 = 6条→聚合6 family={'PAHs'}
P04647,2023_Li Y et al_Toxics_10.3390-toxics11110941,0,Table 1. Concentrations of PCBs and HCBD in greenhouse and open-field soils acro,summary_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P04711,10_3390_w15183324,4,Table 5. Concentrations (ng/g) of PAHs in sediments or soils from other research,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P04715,10_3390_w15213855,0,Table 1. Descriptive statistics of total soil fluoride and water-soluble fluorid,summary_conc,no_pollutant_columns,无列可解析为污染物
P04715,10_3390_w15213855,3,Table 4. The area distributions of the total and water-soluble fluoride in the t,conc_like,no_header,未找到含污染物信号的表头行
P04715,10_3390_w15213855,4,Table 5. The statistics results of the total fluoride and water-soluble fluoride,conc_like,no_pollutant_columns,无列可解析为污染物
P11639,2025_张婷_地球化学_null,0,Table 1 Physical and chemical properties of rhizosphere soil in four plants,conc_like,no_header,未找到含污染物信号的表头行
P11639,2025_张婷_地球化学_null,1,Table 2 Physical and chemical properties of non rhizosphere soil for four plant ,conc_like,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P00277,10_1007_s00477_022_02299_8,6,Table 7 Daily exposure of PAHs in crops to different populations,conc_like,no_header,未找到含污染物信号的表头行
P00355,2022_Ailijiang N et al_EnvironPollut_10.1007-s10653-022-01369-8,1,Table 2 Content of PAHs in soil samples by township (ng/g),sample_conc,ok_transposed,转置表 16污染物 × 5采样点 = 64条→聚合8 family={'PAHs'}
P00355,2022_Ailijiang N et al_EnvironPollut_10.1007-s10653-022-01369-8,2,Table 3 Content of PAHs in vegetable samples (ng/g),sample_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P00355,2022_Ailijiang N et al_EnvironPollut_10.1007-s10653-022-01369-8,3,Table 4 TEQvalues of PAHs in the soil samples,summary_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P02164,10.1038_s41598-022-15285-5,0,AHs accounted for about 0.50% (Table 1). Tese results were similar to those repo,summary_conc,ok_transposed,转置表 12污染物 × 9采样点 = 96条→聚合16 family={'PAHs'}
P03197,2022_Zhang H et al_PLoSOne_10.1371-journal.pone.0268615,0,Table 1. Summary of PAHs concentrations in different land use types in Beijing a,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P03762,2022_Ren M et al_FrontEarthSci_10.3389-feart.2022.1035792,1,TABLE 2 Concentrations of total PAHs in soil in selected sites worldwide (ng ${ ,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P03762,2022_Ren M et al_FrontEarthSci_10.3389-feart.2022.1035792,2,TABLE 3 Comparison of individual PAH concentrations in the soil samples from the,summary_conc,transposed_no_data,无有效数值 (rows=6 cols=2)
P04192,10_3390_ijerph192013171,0,Table 1. Concentration of 23 OCPs in agricultural soil samples of the Pearl Rive,summary_conc,no_data_rows,type=sample samples=0
P04192,10_3390_ijerph192013171,1,Table 2. Residual concentrations of HCHs and DDTs in soils of different regions.,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P04192,10_3390_ijerph192013171,2,Table 2. Cont.,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P04199,2022_Characteristics_EnvironRes_10.3390-ijerph18168452,0,Table 1. Concentrations of Σ15 PAEs in agricultural soil samples in coastal area,summary_conc,no_pollutant_columns,无列可解析为污染物
P04199,2022_Characteristics_EnvironRes_10.3390-ijerph18168452,2,Table 3. Concentrations of Σ15 PAEs in plant samples in coastal areas of South C,summary_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P04256,2022_Cai H et al_IntJEnvironResPublicHealth_10.3390-ijerph192316233,0,"Table 1. The concentration (ng/g, dw) of 16 kinds of PAHs in topsoil of the PRD ",summary_conc,ok_transposed,转置表 2污染物 × 6采样点 = 12条→聚合12 family={'PAHs'}
P04256,2022_Cai H et al_IntJEnvironResPublicHealth_10.3390-ijerph192316233,1,Table 2. The soil PAHs concentrations in soils from different areas of the world,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P04398,2022_Chen H et al_Processes_10.3390-pr10081624,0,Table 1. The physical and chemical properties of the three soils.,conc_like,no_header,未找到含污染物信号的表头行
P04623,2022_Zhao Z et al_Toxics_10.3390-toxics10100577,4,Table 5. Values of plant concentration factor (PCF) of PAHs in Zea mays L. (corn,sample_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P09750,0000_He M et al_null,0,Table S1 The basic information of soils in 207 examined areas in China,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P10713,2014_Risorse DST et al_Science_null,27,Table 1. Concentration of OCPs in surface water and sediment samples of Hanjiang,sample_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P10713,2014_Risorse DST et al_Science_null,34,Table 8. Comparison of HCH and DDT concentrations in multimatrix sampling studie,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P10713,2014_Risorse DST et al_Science_null,41,"Table 1 Statistics of water sampling sites in the Aba profile, Sichuan Province,",conc_like,no_data_rows,type=sample samples=0
P10713,2014_Risorse DST et al_Science_null,51,\*\* Correlation is significant at the 0.01 level (2-tailed). | Correlations of ,summary_conc,no_pollutant_columns,无列可解析为污染物
P11364,2022_钟承韡_Unknown_null,9,Table 4-3 List of PAHs components of contaminated soil in chemical sites,conc_like,no_data_rows,type=sample samples=0
P11364,2022_钟承韡_Unknown_null,10,Table 4-4 Excess contaminants.,conc_like,no_header,未找到含污染物信号的表头行
P00228,10_1007_s00128_021_03193_9,0,Table 1 PAH concentrations in the surface soils of the steel enterprise,summary_conc,ok_transposed,转置表 14污染物 × 6采样点 = 14条→聚合2 family={'PAHs'}
P00768,10_1007_s11368_021_03075_x,0,"Table 1 Descriptive statistics for 16 PAEs in soils from Zhejiang, China",summary_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P00768,10_1007_s11368_021_03075_x,1,"Table 2 Descriptive statistics for 16 PAHs in soils from Zhejiang, China",summary_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P01573,10.1016_j.jhazmat.2020.124006,0,Table 1 Treatment details of the experiment,summary_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P02675,2021_Province HJ et al_Water_null,2,Table 3. ${ \sf Q V } _ { ( { \sf N C S } ) }$ and $\mathsf { Q V } _ { ( \maths,conc_like,no_data_rows,type=sample samples=0
P02677,2021_Chen Y et al_SoilSedimentContam_10.1080-15320383.2021.1937936,0,Table 1. Recoveries of flumioxazin in soil without biochar amendment and amended,conc_like,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P03402,10.21203_rs.3.rs-360082_v1_CrossrefPage,0,Table 1 The physical and chemical properties of test soil,conc_like,no_header,未找到含污染物信号的表头行
P03402,10.21203_rs.3.rs-360082_v1_CrossrefPage,2,Table 3 Analysis of variance (ANOVA) for response surface quadratic model,conc_like,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P05289,10_1080_10934529_2021_1927597,5,Table 6. The concentrations of PAHs in soil from thermal power plants (lg/kg).,summary_conc,ok_samples,"sample 13点, 18条, type=OP"
P08655,2022_Distribution L et al_EnvironRes_10.3390-ijerph18157896,0,Table 1. Concentration of 23 OCPs in agricultural soil samples of the Pearl Rive,summary_conc,no_data_rows,type=sample samples=0
P08655,2022_Distribution L et al_EnvironRes_10.3390-ijerph18157896,1,Table 2. Residual concentrations of HCHs and DDTs in soils of different regions.,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P08655,2022_Distribution L et al_EnvironRes_10.3390-ijerph18157896,2,Table 2. Cont.,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P11198,2020_陈梦奇_土壤_null,2,表 2.2 土壤基本理化性质,conc_like,no_data_rows,type=sample samples=0
P11198,2020_陈梦奇_土壤_null,4,表 2.4 土壤中PAHs浓度分布,sample_conc,no_data_rows,type=sample samples=0
P00008,2014_DING et al_Science_10.15666-aeer-1801_159172,0,"Table 1. Sampling sites, number of the samples and land use of soil sampling in ",summary_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P00341,2021_Qiao P et al_EnvironGeochemHealth_10.1007-s10653-020-00673-5,2,Table 3 Statistical summary of pollutant concentrations in four soil layers,sample_conc,no_pollutant_columns,无列可解析为污染物
P00709,2021_Li J et al_EnvironSciPollutRes_10.1007-s11356-020-11301-1,0,"Table 1 Concentration, composition, and potential toxicity of PAHs in the soils ",summary_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P00709,2021_Li J et al_EnvironSciPollutRes_10.1007-s11356-020-11301-1,2,Table 3 Concentration and composition of n-alkanes in the soils of petrol statio,summary_conc,no_pollutant_columns,无列可解析为污染物
P01336,10.1016_j.envpol.2020.114016,0,Fig. 1. The concentration distribution of sampling sites and composition profile,summary_conc,ok_transposed,转置表 14污染物 × 6采样点 = 48条→聚合7 family={'PAHs'}
P03237,2021_Meng X et al_PolJEnvironStud_10.15244-pjoes-123920,1,Table 2. Concentration comparison of Σ PAHs in soils from different industrial s,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P03237,2021_Meng X et al_PolJEnvironStud_10.15244-pjoes-123920,2,Table 3. Concentrations of Σ16PAHs and BTEX in unsaturated zone at two profiles.,sample_conc,no_pollutant_columns,无列可解析为污染物
P03305,10_17221_50_2019_SWR,0,Table 1. The concentration of organochlorine pesticides (OCPs) and polychlorinat,summary_conc,no_data_rows,type=sample samples=0
P03320,2018_质量分数_土壤_10.19671-j.1673-4637.2018.06.004,1,表 2 不同地区土壤 PAHs 质量分数比较,conc_like,reject_reference_compilation,"有 References 列, 二手文献对比表"
P04171,2020_Chen Dongxiang et al_EnvironRes_10.3390-ijerph17186735,3,Table 4. The Statistical characteristics of PAHs.,summary_conc,ok_transposed,转置表 2污染物 × 8采样点 = 16条→聚合16 family={'PAHs'}
P05307,10_1080_15320383_2020_1734535,0,(Fig. S2 (b)). In order to classify the contamination level of PAHs in these soi,summary_conc,ok_transposed,转置表 12污染物 × 8采样点 = 81条→聚合16 family={'PAHs'}
P08111,2021_Materials et al_JSoilsSediments_10.1007-s11368-020-02838-2,0,Table 1 Detection of 15 PAHs in three green space soils,summary_conc,ok_transposed,转置表 6污染物 × 8采样点 = 48条→聚合20 family={'PAHs'}
P08137,2020_Feng J et al_SoilEcolLett_10.1007-s42832-020-0063-1,0,Table 1 Soil basic properties,conc_like,no_pollutant_columns,无列可解析为污染物
P08137,2020_Feng J et al_SoilEcolLett_10.1007-s42832-020-0063-1,2,ive electron acceptor for their competitively dechlorinated degradation (Xu et a,conc_like,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P00221,10_1007_s00128_019_02743_6,0,Table 1 Basic situation of sampling points from urban–rural fringe of Wuhan–Ezho,summary_conc,no_header,未找到含污染物信号的表头行
P00333,2019_Xuetal_EnvironGeochemHealth_10.1007-s10653-019-00247-0,1,![](images/7d88484ef584d807c28112d6cdf727914fe5035f20ce2c05deac596e39652380.jpg),conc_like,reject_reference_compilation,"有 References 列, 二手文献对比表"
P01131,10.1016_j.chemosphere.2019.04.027,0,"than those found in most of the previous studies (Fig. 1a, Table S5) (Filipovic ",summary_conc,no_header,未找到含污染物信号的表头行
P01131,10.1016_j.chemosphere.2019.04.027,1,Table 2,summary_conc,no_pollutant_columns,无列可解析为污染物
P01213,10.1016_j.ecoenv.2018.10.029,1,Table 2,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P01472,2019_Zhao L et al_JCleanProd_10.1016-j.jclepro.2019.02.212,0,Table 1 Design of experimental treatments and results for the degradation of PAH,conc_like,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P01745,2019_Chen H et al_SciTotalEnviron_10.1016-j.scitotenv.2019.04.417,0,Table 1,conc_like,no_data_rows,type=sample samples=0
P03983,10_3390_environments6080092,0,e related to the level of urban development. This also means is a decreasing tre,conc_like,reject_reference_compilation,"有 References 列, 二手文献对比表"
P04125,2016_Wu H et al_EnvironRes_10.3390-ijerph16132302,1,Table 2. Concentration of surface sediments/soils polycyclic aromatic hydrocarbo,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P04125,2016_Wu H et al_EnvironRes_10.3390-ijerph16132302,3,"ral lands, accounting for approximately 65% of the total concentration, independ",sample_conc,no_data_rows,type=sample samples=0
P04125,2016_Wu H et al_EnvironRes_10.3390-ijerph16132302,5,Table 6. Classification of soil contamination by PAHs [35].,conc_like,ok_samples,"sample 3点, 2条, type=OP"
P05655,2002_Unknown_EnvironGeochemHealth_10.1007_s10653-020-00621-1,1,![](images/7d88484ef584d807c28112d6cdf727914fe5035f20ce2c05deac596e39652380.jpg),conc_like,reject_reference_compilation,"有 References 列, 二手文献对比表"
P07067,2014_Wang Y et al_EnvironPollut_null,0,"Table 1 Concentrations of metals, PBDEs and AHFRs in the surface soil at the bur",summary_conc,no_header,未找到含污染物信号的表头行
P07068,2014_Wang Y et al_EnvironPollut_null_1,0,"Table 1 Concentrations of metals, PBDEs and AHFRs in the surface soil at the bur",summary_conc,no_header,未找到含污染物信号的表头行
P07556,2017_Li X et al_Nature_10.1007-s11356-019-05720-y,0,Table 1 Basic characterization of the sampling sites,summary_conc,no_header,未找到含污染物信号的表头行
P11442,2023_曲凉雨_Unknown_null,5,Table 4.1 Descriptive statistics of concentration and content of 16 PAHs monomer,summary_conc,ok_transposed,转置表 6污染物 × 13采样点 = 61条→聚合22 family={'PAHs'}
P11451,2023_郭玉婷_Unknown_null,4,Table 3.2 Statistical comparison of PAH content in soils in different study area,conc_like,reject_reference_compilation,"有 References 列, 二手文献对比表"
P11451,2023_郭玉婷_Unknown_null,5,Table 3.3 Evaluation and classification of 16 PAHs pollution in soil,conc_like,no_header,未找到含污染物信号的表头行
P01711,10.1016_j.scitotenv.2017.09.271,0,"n based on PAHs was proposed as follows, in a previous study: non-contaminated s",summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P01711,10.1016_j.scitotenv.2017.09.271,3,"g et al., 2013b). Moreover, the water coverage may greatly reduce the contact th",summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P01714,2017_Sun L et al_SciTotalEnviron_10.1016-j.scitotenv.2017.12.169,0,"sing by 45.5% and 87.6%,respectively,compared with the non-inoculated treatment ",conc_like,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P01714,2017_Sun L et al_SciTotalEnviron_10.1016-j.scitotenv.2017.12.169,1,P { < } 0 . 0 1 )$ . It was evident that K may function as an important counter ,conc_like,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P01718,10_1016_j_scitotenv_2018_02_212,0,ion of Tianjin district was divided into six groups according to age and gender ,summary_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P01730,10.1016_j.scitotenv.2018.07.151,0,rticulate matter whose size was less than that for PFOS. Dreyer et al. surveyed ,conc_like,reject_reference_compilation,"有 References 列, 二手文献对比表"
P03186,10.1371_journal.pone.0205680,5,Table 6. Application of the ecological security assessment model on the same far,conc_like,no_header,未找到含污染物信号的表头行
P03209,2021_曾曼等_湖北农业科学_10.14088-j.cnki.issn0439-8114.2021.11.010,3,表4 土壤中污染物浓度,sample_conc,no_pollutant_columns,无列可解析为污染物
P04086,10_3390_ijerph15081785,1,"Table 2. Concentrations of individual PAHs, ∑16PAHs and ∑7PAHs in the samples fr",summary_conc,ok_transposed,转置表 15污染物 × 11采样点 = 110条→聚合16 family={'PAHs'}
P04086,10_3390_ijerph15081785,2,Table 3. Concentration comparison of ΣPAHs in soils from worldwide different cit,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P04086,10_3390_ijerph15081785,5,Table 6. Toxic equivalence quantities (TEQs) of PAHs in petroleum-contaminated s,summary_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P05139,10_1007_978_981_10_6029_8_42,1,Table 2 SVE treatment effects,conc_like,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P05205,10_1016_j_scitotenv_2007_08_026,0,"n based on PAHs was proposed as follows, in a previous study: non-contaminated s",summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P05205,10_1016_j_scitotenv_2007_08_026,3,"g et al., 2013b). Moreover, the water coverage may greatly reduce the contact th",summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P07228,2015_Unknown_SciTotalEnviron_null,0,rticulate matter whose size was less than that for PFOS. Dreyer et al. surveyed ,conc_like,reject_reference_compilation,"有 References 列, 二手文献对比表"
P07639,2017_Wang Y et al_Science_null,0,The total concentrations of PBDEs in the gaseous phase were $1 1 . 0 { - } 4 2 .,sample_conc,ok_transposed,转置表 8污染物 × 4采样点 = 32条→聚合4 family={'PBDEs'}
P01048,2017_Liu G et al_Catena_10.1016-J.CATENA.2017.04.005,0,"Fig. 5. Prediction maps, created using three-dimensional kriging for benzo[a]pyr",sample_conc,no_pollutant_columns,无列可解析为污染物
P01107,10.1016_j.chemosphere.2017.02.151,0,Table 1 Concentrations of OCPs in top soils at and around the site,summary_conc,no_pollutant_columns,无列可解析为污染物
P01302,10.1016_j.envpol.2017.07.035,0,summarized in Tables SIe3. Because APAHs consist of a large number of homologs d,summary_conc,ok_transposed,转置表 13污染物 × 8采样点 = 61条→聚合7 family={'PAHs'}
P04044,1983_Characteristics D_EnvironRes_10.3390-ijerph14010085,1,Table 2. The PAH content in wetlands at home and abroad.Table 2. The PAH content,conc_like,ok_samples,"sample 13点, 12条, type=OP"
P04044,1983_Characteristics D_EnvironRes_10.3390-ijerph14010085,4,Table 5. Biological toxicity assessment form of PAHs in soils of the Momoge Wetl,conc_like,ok_transposed,转置表 5污染物 × 4采样点 = 15条→聚合8 family={'PAHs'}
P05255,10_1080_09593330_2017_1337235,0,"Soil samples were collected in the upper 20 cm of soil at 0, 30, 60, 90, 120, an",conc_like,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P05273,10_1080_10807039_2017_1373249,0,Table 1 Comparison of PAHs concentrations in soils with related study areas,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P05273,10_1080_10807039_2017_1373249,2,"Table 2 Comparison of PAHs concentrations in road dust, surface waters, atmosphe",summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P05273,10_1080_10807039_2017_1373249,3,## ACCEPTED MANUSCRIPT 44 | ## ACCEPTED MANUSCRIPT,summary_conc,no_header,未找到含污染物信号的表头行
P05276,10_1080_10807039_2017_1377595,1,Table 2 PAH concentrations (µg/kg) in agricultural soils reported from literatur,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P05276,10_1080_10807039_2017_1377595,2,Table 3 Ba $\mathrm { P _ { e q } }$ concentration of PAHs in agricultural soils,summary_conc,ok_transposed,转置表 4污染物 × 5采样点 = 19条→聚合10 family={'PAHs'}
P10430,2009_Syed J H et al_null,0,Table S2: Comparison of PAH concentrations (ng $\mathbf { g } ^ { - 1 } \mathbf ,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P00319,10.1007_s10653-016-9899-9,2,originated from technical DDT (Kim and Smith 2001). The concentration peaks of P,sample_conc,ok_samples,"sample 4点, 6条, type=OP"
P03216,2014_He LRHLL et al_Science_10.1515-aep-2016-0025,0,Table 1. Part of soil parameters of the site,conc_like,no_header,未找到含污染物信号的表头行
P05100,10_1002_clen_201500142,0,"_2 (10.0%) and WS\_4 (20.2%), and the third predominant group in WS-6 (11.9%) (F",conc_like,no_pollutant_columns,无列可解析为污染物
P05206,10_1016_j_scitotenv_2015_12_012,0,"as a major source of PAEs in farmland soils (Hu et al., 2003). Among plasticizer",summary_conc,no_pollutant_columns,无列可解析为污染物
P05260,10_1080_10406638_2016_1138972,0,f our sampling sites were under the ‘Weakly contaminated’ classification $( 2 0 ,conc_like,reject_reference_compilation,"有 References 列, 二手文献对比表"
P05295,10_1080_15275922_2015_1133731,0,".02 ng/L), n.d. to 0.25 ng/L (mean 0.07 ng/L), and n.d. to 0.08 ng/L (mean 0.03 ",summary_conc,no_pollutant_columns,无列可解析为污染物
P09811,0000_Peng C et al_null,0,Table S1 Matrix-spiked recoveries and method detect limits for the 16 PAH congen,summary_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11189,2020_毛婷玉_Unknown_null,2,Table 4.1 Contents and percentages of 12 PAHs in soil,conc_like,no_header,未找到含污染物信号的表头行
P11189,2020_毛婷玉_Unknown_null,3,Table 4.2 Primer sequences used in real-time PCR,conc_like,no_header,未找到含污染物信号的表头行
P11189,2020_毛婷玉_Unknown_null,7,Table 4.5 Basic physical and chemical properties of each group of soil in the 35,conc_like,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P11557,2024_翟如康_Unknown_null,2,Table 2 Physical and chemical properties of the test soil,summary_conc,skip_too_small,2x6
P00250,2015_Liao J et al_MicrobEcol_10.1007-s00248-015-0572-0,0,Table 1 The geographical and physicochemical data of the four oil fields,conc_like,no_header,未找到含污染物信号的表头行
P00316,2009_Qu C et al_Water_10.1007-s10653-014-9675-7,0,"Table 1 Concentrations of PAHs in air, water, and soil in Nanjing",summary_conc,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P00622,2015_Teng Y. et al_EnvironSciPollutRes_10.1007-s11356-015-4219-y,2,Table 3 The carbon preference index (CPI) of 30 soil samples,conc_like,no_pollutant_columns,无列可解析为污染物
P00623,10.1007_s11356-015-4401-2,1,Table 2 Summary consumption rates of vegetables used in CLEA according to age cl,conc_like,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P02583,2014_Shao X et al_SoilSedimentContam_10.1080-15320383.2015.958212,1,Table 2 Comparison of PAHs concentration in suburban soil in different cities $\,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P03163,2015_Liu R et al_PLoSONE_10.1371-journal.pone.0120369,0,Table 1. Tested plants and their basic characteristics.,conc_like,reject_non_soil_matrix,非土壤基质 (植物/实验/生物/飞灰)
P03169,2015_Zhang Y et al_PLoSOne_10.1371-journal.pone.0137998,0,"Table 1. Summary of the individual concentrations of PAEs in the WYR water, sedi",summary_conc,no_header,未找到含污染物信号的表头行
P06902,2014_3.89–13 OR et al_Water_null,2,## 3.3 Accumulation of OCPs in terrestrial fauna | The HCHs and DDTs measured in,summary_conc,reject_reference_compilation,"有 References 列, 二手文献对比表"
P10549,2011_Yuan G et al_EnvironPollut_null,0,Table 1,conc_like,no_pollutant_columns,无列可解析为污染物
