sample_id,x_measured_As_mgkg,x_measured_BaP_ngg,x_measured_CTC_ngg,x_measured_Cd_mgkg,x_measured_Cr_mgkg,x_measured_Cu_mgkg,x_measured_DIF_ngg,x_measured_ENRO_ngg,x_measured_Hg_mgkg,x_measured_Ni_mgkg,x_measured_OCP_total_ngg,x_measured_OTC_ngg,x_measured_Pb_mgkg,x_measured_SDZ_ngg,x_measured_SMP_ngg,x_measured_SMZ_ngg,x_measured_SumDDT_ngg,x_measured_SumHCH_ngg,x_measured_SumPBDE_ngg,x_measured_SumPCB_ngg,x_measured_Sum_PAH_ngg,x_measured_TC_ngg,x_measured_Zn_mgkg,source_id,paper_id,matrix,site_type,province,n_hm,n_op,site_mean_pending_auth,site_mean_note,pah_fraction_note
P00258_A,,,,8.07,62.12,98.56,,,,,,,67.0,,,,,,,,1060.0,,240.11,P00258,P00258,soil,agricultural,Gansu,5,1,True,"n=5子样场地均值(甘肃农田), Pi反推验证单位真实但属site汇总","Sum_PAH仅6单体(Nap/Phe/BaA/Chr/Flt/Pyr)非16EPA, 不可比"
P00258_B,,,,0.23,57.24,18.78,,,,,,,18.68,,,,,,,,670.0,,190.0,P00258,P00258,soil,agricultural,Gansu,5,1,True,"n=5子样场地均值(甘肃农田), Pi反推验证单位真实但属site汇总","Sum_PAH仅6单体(Nap/Phe/BaA/Chr/Flt/Pyr)非16EPA, 不可比"
P00258_C,,,,2.8,62.11,39.36,,,,,,,38.9,,,,,,,,790.0,,93.15,P00258,P00258,soil,agricultural,Gansu,5,1,True,"n=5子样场地均值(甘肃农田), Pi反推验证单位真实但属site汇总","Sum_PAH仅6单体(Nap/Phe/BaA/Chr/Flt/Pyr)非16EPA, 不可比"
P00258_D,,,,0.21,58.21,22.15,,,,,,,27.9,,,,,,,,130.0,,88.05,P00258,P00258,soil,agricultural,Gansu,5,1,True,"n=5子样场地均值(甘肃农田), Pi反推验证单位真实但属site汇总","Sum_PAH仅6单体(Nap/Phe/BaA/Chr/Flt/Pyr)非16EPA, 不可比"
P00258_E,,,,,49.13,15.07,,,,,,,16.54,,,,,,,,160.0,,55.1,P00258,P00258,soil,agricultural,Gansu,4,1,True,"n=5子样场地均值(甘肃农田), Pi反推验证单位真实但属site汇总","Sum_PAH仅6单体(Nap/Phe/BaA/Chr/Flt/Pyr)非16EPA, 不可比"
P00303_S0,,100.0,,,68.5,23.9,,,,36.8,,,16.9,,,,,,,,2390.0,,79.0,P00303,P00303,soil,industrial,Jiangsu,5,2,False,,
P00303_S1,,1530.0,,,248.0,103.0,,,,47.4,,,197.0,,,,,,,,25600.0,,903.0,P00303,P00303,soil,industrial,Jiangsu,5,2,False,,
P00303_S2,,6300.0,,,165.0,466.0,,,,62.8,,,394.0,,,,,,,,99020.0,,1729.0,P00303,P00303,soil,industrial,Jiangsu,5,2,False,,
P00303_S3,,350.0,,,289.0,105.0,,,,69.3,,,138.0,,,,,,,,9020.0,,685.0,P00303,P00303,soil,industrial,Jiangsu,5,2,False,,
P00303_S4,,140.0,,,79.7,27.2,,,,35.1,,,31.6,,,,,,,,3160.0,,133.0,P00303,P00303,soil,industrial,Jiangsu,5,2,False,,
P00303_S5,,200.0,,,90.3,48.6,,,,40.2,,,45.1,,,,,,,,5590.0,,161.0,P00303,P00303,soil,industrial,Jiangsu,5,2,False,,
P00303_S6,,430.0,,,67.6,48.6,,,,36.2,,,45.7,,,,,,,,8850.0,,194.0,P00303,P00303,soil,industrial,Jiangsu,5,2,False,,
P00303_S7,,260.0,,,77.0,42.6,,,,37.6,,,45.1,,,,,,,,6530.0,,184.0,P00303,P00303,soil,industrial,Jiangsu,5,2,False,,
P00303_S8,,130.0,,,94.2,20.2,,,,37.5,,,22.2,,,,,,,,2930.0,,98.4,P00303,P00303,soil,industrial,Jiangsu,5,2,False,,
P00303_S9,,200.0,,,82.2,34.3,,,,28.7,,,26.8,,,,,,,,5130.0,,110.0,P00303,P00303,soil,industrial,Jiangsu,5,2,False,,
P00395_Riverbed_0-20cm,,,2375.0,,,287.0,56.0,84.0,,,,81.0,,5.2,68.0,844.0,,,,,,80.0,820.0,P00395,P00395,soil,other,Beijing,2,8,False,,
P00611_S1,11.8,,,0.81,129.0,162.0,,,0.2,107.0,,,102.0,,,,,,,,1230.0,,659.0,P00611,P00611,sediment,urban,Guangdong,8,1,False,,
P00611_S2,12.2,,,0.88,139.0,194.0,,,0.3,133.0,,,82.0,,,,,,,,918.0,,723.0,P00611,P00611,sediment,urban,Guangdong,8,1,False,,
P00612_S2_E.hyemale,147.6,,,248.6,,3786.0,,,,,,,7383.0,,,,,,,,845.0,,11936.0,P00612,P00612,soil,smelting,Hunan,5,1,False,,
P00612_S2_S.davidii,211.3,,,7.4,,376.4,,,,,,,1743.0,,,,,,,,686.0,,224.4,P00612,P00612,soil,smelting,Hunan,5,1,False,,
P01301_C1,,,,,,156.0,,,,,,,81.0,,,,,,85.0,23.0,308.0,,117.0,P01301,P01301,soil,e_waste,广东,3,3,False,,
P01301_C2,,,,,,178.0,,,,,,,52.0,,,,,,708.0,101.0,469.0,,104.0,P01301,P01301,soil,e_waste,广东,3,3,False,,
P01301_C3,,,,,,187.0,,,,,,,165.0,,,,,,1080.0,38.0,307.0,,503.0,P01301,P01301,soil,e_waste,广东,3,3,False,,
P01301_C4,,,,,,371.0,,,,,,,482.0,,,,,,225.0,310.0,680.0,,2110.0,P01301,P01301,soil,e_waste,浙江,3,3,False,,
P01301_C5,,,,,,151.0,,,,,,,122.0,,,,,,13.0,30.0,1010.0,,562.0,P01301,P01301,soil,e_waste,浙江,3,3,False,,
P01524_A,,5.1,,1.7,21.0,77.9,,,0.2,14.3,,,170.3,,,,,,,364.3,719.4,,210.4,P01524,P01524,soil,e_waste,Zhejiang,7,3,False,,
P01524_C,,1.1,,1.9,16.4,155.7,,,0.2,11.7,,,173.7,,,,,,,123.0,607.2,,177.7,P01524,P01524,soil,e_waste,Zhejiang,7,3,False,,
P01524_D,,7.1,,2.4,95.6,205.2,,,0.9,52.6,,,177.2,,,,,,,265.7,764.0,,399.9,P01524,P01524,soil,e_waste,Zhejiang,7,3,False,,
P01524_E,,1.1,,7.4,112.7,140.8,,,0.3,66.3,,,81.3,,,,,,,73.8,672.2,,660.8,P01524,P01524,soil,e_waste,Zhejiang,7,3,False,,
P01524_F,,1.2,,1.7,91.3,227.3,,,0.4,83.8,,,91.5,,,,,,,52.0,488.0,,283.5,P01524,P01524,soil,e_waste,Zhejiang,7,3,False,,
P01524_G,,3.1,,3.3,102.9,161.4,,,0.3,66.1,,,115.2,,,,,,,96.5,684.6,,237.2,P01524,P01524,soil,e_waste,Zhejiang,7,3,False,,
P01524_H,,3.9,,9.6,91.3,576.7,,,3.2,120.4,,,184.4,,,,,,,84.7,850.7,,263.0,P01524,P01524,soil,e_waste,Zhejiang,7,3,False,,
P01524_I,,3.3,,0.6,88.6,272.3,,,0.4,107.4,,,102.8,,,,,,,102.2,371.8,,143.8,P01524,P01524,soil,e_waste,Zhejiang,7,3,False,,
P01524_J,,7.0,,2.8,125.9,222.5,,,1.7,71.0,,,200.1,,,,,,,552.3,730.5,,221.2,P01524,P01524,soil,e_waste,Zhejiang,7,3,False,,
P01524_K,,25.6,,7.9,65.9,361.7,,,654.1,53.3,,,295.2,,,,,,,5789.5,1231.2,,437.3,P01524,P01524,soil,e_waste,Zhejiang,7,3,False,,
P01524_L,,6.7,,12.5,40.5,1641.3,,,9.3,68.6,,,2374.1,,,,,,,826.0,787.3,,518.7,P01524,P01524,soil,e_waste,Zhejiang,7,3,False,,
P01524_M,,5.1,,0.04,56.5,32.3,,,,,,,33.0,,,,,,,24.9,105.0,,157.8,P01524,P01524,soil,other,Zhejiang,5,3,False,,
P01718_S1,,2.28,,,325.0,,,,,135.0,,,,,,,,,,,481.83,,,P01718,P01718,soil,other,Tianjin,2,2,False,,
P01718_S12,10.8,8.86,,0.2,,63.2,,,,,,,28.0,,,,,,,,323.26,,91.5,P01718,P01718,soil,industrial,Tianjin,5,2,False,,
P01993_Acid-strip,,,,3.94,,2841.0,,,,,,,62.1,,,,,,4892.0,726.0,,,1245.0,P01993,P01993,soil,e_waste,Guangdong,4,2,False,,
P01993_Acid-strip_CK,,,,0.7,,9.86,,,,,,,7.38,,,,,,9.58,5.41,,,128.0,P01993,P01993,soil,e_waste,Guangdong,4,2,False,,
P01993_Burn-1,,,,5.03,,1853.0,,,,,,,18.1,,,,,,2399.0,177.0,,,5455.0,P01993,P01993,soil,e_waste,Guangdong,4,2,False,,
P01993_Burn-2,,,,16.7,,7324.0,,,,,,,37.9,,,,,,1992.0,98.6,,,5862.0,P01993,P01993,soil,e_waste,Guangdong,4,2,False,,
P01993_Burn_CK,,,,0.6,,6.4,,,,,,,9.09,,,,,,,0.76,,,49.8,P01993,P01993,soil,e_waste,Guangdong,4,1,False,,
P01993_Dump-1,,,,1.25,,322.0,,,,,,,19.7,,,,,,546.0,158.0,,,795.0,P01993,P01993,soil,e_waste,Guangdong,4,2,False,,
P01993_Dump-2,,,,2.66,,265.0,,,,,,,26.1,,,,,,759.0,119.0,,,1464.0,P01993,P01993,soil,e_waste,Guangdong,4,2,False,,
P01993_Dump_CK,,,,0.93,,8.79,,,,,,,8.54,,,,,,,3.43,,,35.9,P01993,P01993,soil,e_waste,Guangdong,4,1,False,,
P01993_Farmland,,,,4.62,,562.0,,,,,,,22.7,,,,,,2205.0,391.0,,,893.0,P01993,P01993,soil,e_waste,Guangdong,4,2,False,,
P01993_Farmland_CK,,,,0.48,,58.9,,,,,,,7.67,,,,,,8.46,6.61,,,119.0,P01993,P01993,soil,e_waste,Guangdong,4,2,False,,
P01993_Mudflat,,,,0.9,,146.0,,,,,,,15.9,,,,,,98.6,23.9,,,238.0,P01993,P01993,sediment,e_waste,Guangdong,4,2,False,,
P01993_Mudflat_CK,,,,0.49,,15.3,,,,,,,7.98,,,,,,,1.26,,,141.0,P01993,P01993,sediment,e_waste,Guangdong,4,1,False,,
P02270_LB10,11.45,,,0.195,19.33,10.66,,,0.135,7.414,,,29.73,,,,,,60.64,2.098,,,30.07,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LB2.5,9.433,,,0.227,10.91,28.89,,,0.329,6.758,,,56.89,,,,,,35.94,0.734,,,26.49,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LB20,16.86,,,0.847,54.06,20.58,,,0.135,18.86,,,60.23,,,,,,3.301,2.213,,,126.0,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LB30,8.542,,,0.153,40.44,9.697,,,0.153,9.118,,,23.11,,,,,,11.08,1.773,,,63.26,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LB40,12.34,,,0.206,34.9,14.39,,,0.173,12.72,,,28.72,,,,,,65.07,0.59,,,52.91,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LB5,7.682,,,0.401,7.241,15.59,,,0.19,4.417,,,59.79,,,,,,54.4,1.789,,,38.03,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LC10,3.839,,,0.155,12.72,4.743,,,0.122,5.829,,,24.21,,,,,,23.0,1.073,,,16.0,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LC2.5,9.433,,,0.227,10.91,28.89,,,0.329,6.758,,,56.89,,,,,,62.62,1.789,,,26.49,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LC20,2.793,,,0.21,2.761,3.223,,,0.138,2.632,,,56.68,,,,,,3.066,13.3,,,22.41,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LC30,5.162,,,0.2,3.996,3.241,,,0.147,3.526,,,86.01,,,,,,22.96,1.856,,,27.76,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LC40,4.459,,,0.181,9.335,11.4,,,0.062,5.153,,,19.16,,,,,,9.632,2.528,,,32.74,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LC5,7.426,,,0.224,16.09,6.034,,,0.164,7.277,,,16.31,,,,,,14.68,67.68,,,22.94,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LT0,9.615,,,1.343,19.84,287.5,,,0.393,12.91,,,162.5,,,,,,2908.0,1891.0,,,174.9,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LY10,28.99,,,1.268,26.86,19.08,,,0.219,13.8,,,45.45,,,,,,25.46,1.106,,,72.24,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LY2.5,24.06,,,2.564,28.98,21.78,,,0.197,16.32,,,41.7,,,,,,4.659,448.6,,,95.8,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LY20,31.19,,,0.303,40.69,17.18,,,0.107,19.67,,,39.64,,,,,,1.467,1.106,,,54.14,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LY30,6.891,,,0.203,17.88,6.096,,,0.104,6.76,,,30.64,,,,,,1.731,1.812,,,33.22,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LY40,6.143,,,0.086,10.83,15.25,,,0.054,8.235,,,24.51,,,,,,2.988,0.734,,,44.88,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LY5,14.66,,,0.237,39.14,17.84,,,0.127,8.615,,,30.82,,,,,,45.17,7.335,,,29.73,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LZ2.5,11.51,,,0.252,44.21,16.07,,,0.048,9.195,,,29.21,,,,,,2.184,108.9,,,37.84,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LZ20,104.6,,,0.082,50.05,20.02,,,0.1,10.32,,,42.02,,,,,,0.565,0.267,,,7.555,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LZ30,14.55,,,0.194,21.8,13.41,,,0.125,9.396,,,18.98,,,,,,5.905,16.0,,,30.61,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LZ40,3.606,,,0.234,7.257,18.43,,,0.153,4.942,,,50.04,,,,,,3.72,2.755,,,50.59,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02270_LZ5,56.72,,,0.13,20.51,13.68,,,0.182,3.607,,,25.27,,,,,,12.24,137.5,,,11.23,P02270,P02270,soil,e_waste,Guangdong,8,2,False,,
P02272_EW1,,,,0.69,79.3,149.0,,,0.07,22.4,,,106.0,,,,,,111.35,136.12,,,140.0,P02272,P02272,soil,e_waste,Guangdong,7,2,False,,
P02272_EW2,11.2,,,,61.3,,,,,27.3,,,,,,,,,1031.65,63.65,,,469.0,P02272,P02272,soil,e_waste,Guangdong,4,2,False,,
P02272_EW3,11.7,,,2.29,91.5,948.0,,,0.4,34.3,,,514.0,,,,,,707.39,5.78,,,110.0,P02272,P02272,soil,e_waste,Guangdong,8,2,False,,
P02317_S1,,,,0.24,140.0,7.09,,,,,,,50.7,,,,97.5,16.4,,,,,18.8,P02317,P02317,soil,mining,未指明(South China),5,2,True,n=10场地Mean±SD(fuzzy数学评价尾矿周边农田),
P02317_S2,,,,0.23,120.0,6.12,,,,,,,51.4,,,,98.1,17.4,,,,,17.4,P02317,P02317,soil,mining,未指明(South China),5,2,True,n=10场地Mean±SD(fuzzy数学评价尾矿周边农田),
P02317_S3,,,,0.25,80.0,5.57,,,,,,,48.9,,,,91.8,16.4,,,,,17.1,P02317,P02317,soil,mining,未指明(South China),5,2,True,n=10场地Mean±SD(fuzzy数学评价尾矿周边农田),
P02317_S4,,,,0.22,60.0,4.58,,,,,,,48.8,,,,98.6,16.6,,,,,16.3,P02317,P02317,soil,mining,未指明(South China),5,2,True,n=10场地Mean±SD(fuzzy数学评价尾矿周边农田),
P02317_S5,,,,0.22,60.0,4.14,,,,,,,46.5,,,,101.5,17.5,,,,,14.0,P02317,P02317,soil,mining,未指明(South China),5,2,True,n=10场地Mean±SD(fuzzy数学评价尾矿周边农田),
P02317_S6,,,,0.22,40.0,3.89,,,,,,,45.5,,,,93.0,16.2,,,,,11.1,P02317,P02317,soil,mining,未指明(South China),5,2,True,n=10场地Mean±SD(fuzzy数学评价尾矿周边农田),
P02414_1,7.3358,80.8,,0.1178,18.396,24.705,,,0.5492,,,,26.962,,,,,,,,655.4,,,P02414,P02414,soil,agricultural,Guangdong,6,2,False,,
P02414_2,9.3405,20.8,,0.8473,18.443,10.026,,,0.2503,,,,15.812,,,,,,,,325.2,,,P02414,P02414,soil,agricultural,Guangdong,6,2,False,,
P02414_3,2.2826,20.6,,0.0415,17.976,12.315,,,0.1639,,,,37.871,,,,,,,,321.4,,,P02414,P02414,soil,agricultural,Guangdong,6,2,False,,
P02414_4,2.5453,8.0,,0.1178,9.9656,21.121,,,0.3813,,,,50.187,,,,,,,,230.6,,,P02414,P02414,soil,agricultural,Guangdong,6,2,False,,
P02414_5,5.5374,27.2,,0.1265,13.678,23.259,,,0.3448,,,,46.315,,,,,,,,851.8,,,P02414,P02414,soil,agricultural,Guangdong,6,2,False,,
P02414_6,3.5046,146.6,,0.0779,7.1091,5.838,,,0.0859,,,,32.848,,,,,,,,1176.2,,,P02414,P02414,soil,agricultural,Guangdong,6,2,False,,
P02414_7,5.6395,31.0,,0.0685,11.678,7.047,,,0.092,,,,9.6759,,,,,,,,582.6,,,P02414,P02414,soil,agricultural,Guangdong,6,2,False,,
P02414_8,24.069,68.8,,0.5816,64.699,56.388,,,0.2415,,,,93.739,,,,,,,,855.2,,,P02414,P02414,soil,agricultural,Guangdong,6,2,False,,
P02414_9,36.064,73.8,,0.5137,54.984,52.449,,,0.2037,,,,86.475,,,,,,,,1263.0,,,P02414,P02414,soil,agricultural,Guangdong,6,2,False,,
P03118_S1,18.03,123.0,,3.94,95.32,309.77,,,,35.81,,,215.8,,,,,,,,15772.0,,2822.58,P03118,P03118,sediment,urban,Zhejiang,7,2,False,,
P03118_S2,61.77,10.0,,39.91,175.06,2867.4,,,,352.83,,,370.04,,,,,,,,3209.0,,1618.94,P03118,P03118,sediment,urban,Zhejiang,7,2,False,,
P03118_S3,29.03,126.0,,5.38,47.41,361.23,,,,29.9,,,83.22,,,,,,,,20253.0,,1484.52,P03118,P03118,sediment,urban,Zhejiang,7,2,False,,
P03118_S4,24.83,425.0,,8.98,242.38,439.73,,,,132.09,,,98.44,,,,,,,,15729.0,,1150.26,P03118,P03118,sediment,urban,Jiangsu,7,2,False,,
P03118_S5,30.35,110.0,,3.4,59.86,71.33,,,,55.07,,,135.38,,,,,,,,8178.0,,913.49,P03118,P03118,sediment,industrial,Zhejiang,7,2,False,,
P03118_S6,13.24,85.0,,14.68,205.58,238.34,,,,23.74,,,52.7,,,,,,,,23270.0,,796.54,P03118,P03118,sediment,industrial,Jiangsu,7,2,False,,
P03118_S7,4.3,18.0,,3.46,1088.52,75.64,,,,9.4,,,205.42,,,,,,,,10826.0,,246.26,P03118,P03118,sediment,industrial,Jiangsu,7,2,False,,
P03118_S8,6.26,11.0,,0.51,5.49,5.16,,,,86.56,,,4.62,,,,,,,,12645.0,,24.42,P03118,P03118,sediment,industrial,Jiangsu,7,2,False,,
P03118_S9,6.38,43.0,,2.81,15060.66,91.0,,,,8.27,,,480.25,,,,,,,,14809.0,,430.9,P03118,P03118,sediment,industrial,Zhejiang,7,2,False,,
P03207_1,,,,,,,,,,12.0,,,21.0,,,,,,,,62.1,,46.0,P03207,P03207,soil,industrial,Jiangsu,3,1,False,,"Sum_PAH仅4单体(Phe+Flt+Pyr+BbF)非16EPA, 不可比"
P03207_10,,,,,114.0,39.0,,,,23.0,,,37.0,,,,,,,,30.08,,55.0,P03207,P03207,soil,industrial,Jiangsu,5,1,False,,"Sum_PAH仅4单体(Phe+Flt+Pyr+BbF)非16EPA, 不可比"
P03207_11,,,,,80.0,34.0,,,8.0,,,,28.0,,,,,,,,773.1,,48.0,P03207,P03207,soil,industrial,Jiangsu,5,1,False,,"Sum_PAH仅4单体(Phe+Flt+Pyr+BbF)非16EPA, 不可比"
P03207_2,,,,,193.0,58.0,,,,23.0,,,24.0,,,,,,,,25.21,,56.0,P03207,P03207,soil,industrial,Jiangsu,5,1,False,,"Sum_PAH仅4单体(Phe+Flt+Pyr+BbF)非16EPA, 不可比"
P03207_3,,,,,177.0,27.0,,,8.0,,,,20.0,,,,,,,,876.0,,52.0,P03207,P03207,soil,industrial,Jiangsu,5,1,False,,"Sum_PAH仅4单体(Phe+Flt+Pyr+BbF)非16EPA, 不可比"
P03207_4,,,,,164.0,38.0,,,,69.0,,,19.0,,,,,,,,218.1,,202.0,P03207,P03207,soil,industrial,Jiangsu,5,1,False,,"Sum_PAH仅4单体(Phe+Flt+Pyr+BbF)非16EPA, 不可比"
P03207_5,,,,,139.0,,,,,24.0,,,26.0,,,,,,,,466.2,,48.0,P03207,P03207,soil,industrial,Jiangsu,4,1,False,,"Sum_PAH仅4单体(Phe+Flt+Pyr+BbF)非16EPA, 不可比"
P03207_6,,,,,142.0,18.0,,,,30.0,,,18.0,,,,,,,,436.0,,98.0,P03207,P03207,soil,industrial,Jiangsu,5,1,False,,"Sum_PAH仅4单体(Phe+Flt+Pyr+BbF)非16EPA, 不可比"
P03207_7,,,,,98.0,34.0,,,,54.0,,,,,,,,,,,75.3,,46.0,P03207,P03207,soil,industrial,Jiangsu,4,1,False,,"Sum_PAH仅4单体(Phe+Flt+Pyr+BbF)非16EPA, 不可比"
P03207_8,,,,,107.0,22.0,,,,36.0,,,11.0,,,,,,,,1233.0,,85.0,P03207,P03207,soil,industrial,Jiangsu,5,1,False,,"Sum_PAH仅4单体(Phe+Flt+Pyr+BbF)非16EPA, 不可比"
P03207_9,,,,,135.0,41.0,,,,78.0,,,14.0,,,,,,,,2537.0,,81.0,P03207,P03207,soil,industrial,Jiangsu,5,1,False,,"Sum_PAH仅4单体(Phe+Flt+Pyr+BbF)非16EPA, 不可比"
P04017_P1,,,,1.83,60.17,37.17,,,,30.77,,,87.22,,,,,,,12.1,,,95.44,P04017,P04017,soil,e_waste,Zhejiang,6,1,False,,
P04017_P2,,,,2.08,68.17,81.14,,,,32.7,,,92.16,,,,,,,21.6,,,126.53,P04017,P04017,soil,e_waste,Zhejiang,6,1,False,,
P07067_Burnt_site,,,,6.82,318.0,1568.0,,,,362.0,,,1423.0,,,,,,17930.0,,,,2978.0,P07067,P07067,soil,e_waste,Guangdong,6,1,True,"site mean n=5子样(贵屿e_waste焚烧点), 与P07068互为重复",
P07067_Paddy_field,,,,3.15,66.5,154.0,,,,25.4,,,490.0,,,,,,4735.0,,,,3126.0,P07067,P07067,soil,e_waste,Guangdong,6,1,True,"site mean n=5子样(贵屿e_waste焚烧点), 与P07068互为重复",
P07067_Stream,,,,1.54,48.5,167.0,,,,48.2,,,121.0,,,,,,93476.0,,,,215.0,P07067,P07067,sediment,e_waste,Guangdong,6,1,True,"site mean n=5子样(贵屿e_waste焚烧点), 与P07068互为重复",
P07068_burnt_site,,,,6.82,318.0,1568.0,,,,362.0,,,1423.0,,,,,,17930.0,,,,2978.0,P07068,P07068,soil,e_waste,广东,6,1,True,"site mean n=5子样, 与P07067同源(首字母大小写差异)",
P07068_paddy_field,,,,3.15,66.5,154.0,,,,25.4,,,490.0,,,,,,4735.0,,,,3126.0,P07068,P07068,soil,e_waste,广东,6,1,True,"site mean n=5子样, 与P07067同源(首字母大小写差异)",
P07068_stream,,,,1.54,48.5,167.0,,,,48.2,,,121.0,,,,,,93476.0,,,,215.0,P07068,P07068,sediment,e_waste,广东,6,1,True,"site mean n=5子样, 与P07067同源(首字母大小写差异)",
P10369_T1,,94.6,,2.58,77.5,41.5,,,,38.5,,,35.0,,,,,,,,3370.3,,,P10369,P10369,soil,agricultural,Tianjin,5,2,False,,
P10369_T2,,49.2,,1.24,75.5,36.0,,,,35.8,,,38.4,,,,,,,,2879.0,,,P10369,P10369,soil,agricultural,Tianjin,5,2,False,,
P10369_T3,,,,1.35,76.6,61.8,,,,33.8,,,97.9,,,,,,,,1505.6,,,P10369,P10369,soil,agricultural,Tianjin,5,1,False,,
P10369_T4,,69.3,,1.28,67.6,25.3,,,,33.0,,,52.1,,,,,,,,2004.9,,,P10369,P10369,soil,agricultural,Tianjin,5,2,False,,
P10369_T5,,70.5,,0.8,64.2,22.8,,,,28.1,,,29.7,,,,,,,,1203.8,,,P10369,P10369,soil,agricultural,Tianjin,5,2,False,,
P10991_BG1-1,,,,0.6,,1236.0,,,,,,,1.0,,,,,,2735.0,85.0,1192.0,,113.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_BG1-2,,,,0.6,,1115.0,,,,,,,1.3,,,,,,4441.0,59.0,2912.0,,160.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_BG1-3,,,,0.9,,1222.0,,,,,,,1.8,,,,,,7080.0,49.0,4902.0,,384.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_BG2-1,,,,3.9,,442.0,,,,,,,1.6,,,,,,9466.0,51.0,3739.0,,169.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
