sample_id,x_measured_As_mgkg,x_measured_Cd_mgkg,x_measured_Cr_mgkg,x_measured_Cu_mgkg,x_measured_Hg_mgkg,x_measured_Ni_mgkg,x_measured_Pb_mgkg,x_measured_SumDDTs_ngg,x_measured_SumHCHs_ngg,x_measured_SumPBDE_ngg,x_measured_SumPCB_ngg,x_measured_Sum_PAH_ngg,x_measured_TotalPHC_mgkg,x_measured_Zn_mgkg,source_id,paper_id,site_name,land_use,province,n_hm_obs,n_op_obs,hm_elements,op_families,matrix_flag,evidence_level,readiness,qa_flag,site_type,co_contamination_type
P06579_10,,1.3,,0.8,,,0.3,,,,0.09,,,0.5,10.1016/j.envpol.2013.11.020,P06579,-1.0,industrial,,4,1,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg",PCBs,soil,A_sample_table,training_ready_hm_op,,e_waste,HM+PCBs
P06579_242,3.0,0.8,57.0,48.4,0.1,,55.7,,,,46.9,,,179.4,10.1016/j.envpol.2013.11.020,P06579,24.2,industrial,,7,1,"As_mgkg,Cd_mgkg,Cr_mgkg,Cu_mgkg,Hg_mgkg,Pb_mgkg,Zn_mgkg",PCBs,soil,A_sample_table,training_ready_hm_op,,e_waste,HM+PCBs
P06579_718,1.7,1.5,10.3,57.6,0.4,,136.7,,,,49.8,,,99.2,10.1016/j.envpol.2013.11.020,P06579,71.8,industrial,,7,1,"As_mgkg,Cd_mgkg,Cr_mgkg,Cu_mgkg,Hg_mgkg,Pb_mgkg,Zn_mgkg",PCBs,soil,A_sample_table,training_ready_hm_op,,e_waste,HM+PCBs
P06579_s11_228.7,9.1,6.8,89.1,240.8,1.4,,531.5,,,,190.5,,,543.9,10.1016/j.envpol.2013.11.020,P06579,228.7,industrial,,7,1,"As_mgkg,Cd_mgkg,Cr_mgkg,Cu_mgkg,Hg_mgkg,Pb_mgkg,Zn_mgkg",PCBs,soil,A_sample_table,training_ready_hm_op,,e_waste,HM+PCBs
P06579_s2_5557.4,36.6,42.3,771.5,2364.2,4.1,,6082.9,,,,9012.3,,,5995.6,10.1016/j.envpol.2013.11.020,P06579,5557.4,industrial,,7,1,"As_mgkg,Cd_mgkg,Cr_mgkg,Cu_mgkg,Hg_mgkg,Pb_mgkg,Zn_mgkg",PCBs,soil,A_sample_table,training_ready_hm_op,,e_waste,HM+PCBs
P06579_s3_988.9,1.9,8.4,44.9,288.6,0.8,,1972.6,,,,1370.9,,,497.1,10.1016/j.envpol.2013.11.020,P06579,988.9,industrial,,7,1,"As_mgkg,Cd_mgkg,Cr_mgkg,Cu_mgkg,Hg_mgkg,Pb_mgkg,Zn_mgkg",PCBs,soil,A_sample_table,training_ready_hm_op,,e_waste,HM+PCBs
P06579_s4_6510.5,38.6,57.2,821.2,2826.3,4.9,,8547.9,,,,11078.3,,,6741.3,10.1016/j.envpol.2013.11.020,P06579,6510.5,industrial,,7,1,"As_mgkg,Cd_mgkg,Cr_mgkg,Cu_mgkg,Hg_mgkg,Pb_mgkg,Zn_mgkg",PCBs,soil,A_sample_table,training_ready_hm_op,,e_waste,HM+PCBs
P06579_s5_3957.7,33.5,34.4,696.1,2059.2,3.1,,4032.42,,,,7130.4,,,5353.6,10.1016/j.envpol.2013.11.020,P06579,3957.7,industrial,,7,1,"As_mgkg,Cd_mgkg,Cr_mgkg,Cu_mgkg,Hg_mgkg,Pb_mgkg,Zn_mgkg",PCBs,soil,A_sample_table,training_ready_hm_op,,e_waste,HM+PCBs
P06579_s9_111.7,5.3,2.2,69.5,157.3,0.8,,167.4,,,,118.0,,,275.5,10.1016/j.envpol.2013.11.020,P06579,111.7,industrial,,7,1,"As_mgkg,Cd_mgkg,Cr_mgkg,Cu_mgkg,Hg_mgkg,Pb_mgkg,Zn_mgkg",PCBs,soil,A_sample_table,training_ready_hm_op,,e_waste,HM+PCBs
P08598_W,,,,0.0693,,,,,,,,0.613,,0.0614,10.1016/j.scitotenv.2021.147082,P08598,W,other,,2,1,"Cu_mgkg,Zn_mgkg",PAHs,soil,A_sample_table,training_ready_hm_op,,urban,HM+PAHs
P10991_s10_BG3-3,,0.6,,27.0,,,2.3,,,4482.0,6.0,1339.0,,16.0,P10991,P10991,BG3-3,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s11_BG4-1,,5.9,,690.0,,,1.2,,,5265.0,29.0,2091.0,,306.0,P10991,P10991,BG4-1,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s12_BG4-2,,6.3,,647.0,,,1.6,,,10111.0,19.0,1275.0,,308.0,P10991,P10991,BG4-2,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s13_NY1-1,,2.1,,175.0,,,0.8,,,2562.0,102.0,1551.0,,150.0,P10991,P10991,NY1-1,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s14_NY1-2,,2.9,,158.0,,,0.4,,,2684.0,142.0,1375.0,,174.0,P10991,P10991,NY1-2,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s15_NY1-3,,2.0,,234.0,,,0.5,,,5925.0,123.0,2340.0,,131.0,P10991,P10991,NY1-3,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s16_NY2-1,,4.1,,103.0,,,9.5,,,3550.0,32.0,1381.0,,151.0,P10991,P10991,NY2-1,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s17_NY2-2,,5.0,,181.0,,,6.1,,,2942.0,29.0,1612.0,,179.0,P10991,P10991,NY2-2,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s18_NY2-3,,5.3,,223.0,,,8.8,,,5597.0,22.0,1082.0,,155.0,P10991,P10991,NY2-3,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s19_NY3-1,,0.2,,9.0,,,10.3,,,2409.0,10.0,821.0,,3.0,P10991,P10991,NY3-1,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s20_NY3-2,,0.2,,7.0,,,8.6,,,2932.0,14.0,1136.0,,3.0,P10991,P10991,NY3-2,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s21_NY4-1,,0.5,,12.0,,,19.5,,,3098.0,29.0,1276.0,,36.0,P10991,P10991,NY4-1,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s22_NY4-2,,0.5,,12.0,,,20.0,,,2639.0,23.0,2098.0,,34.0,P10991,P10991,NY4-2,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s23_NY4-3,,0.3,,7.0,,,14.6,,,2426.0,9.0,995.0,,31.0,P10991,P10991,NY4-3,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s2_BG1-1,,0.6,,1236.0,,,1.0,,,2735.0,85.0,1192.0,,113.0,P10991,P10991,BG1-1,e_waste,广东,3,3,"Cd_mgkg,Cu_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s3_BG1-2,,0.6,,1115.0,,,1.3,,,4441.0,59.0,2912.0,,160.0,P10991,P10991,BG1-2,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s4_BG1-3,,0.9,,1222.0,,,1.8,,,7080.0,49.0,4902.0,,384.0,P10991,P10991,BG1-3,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s5_BG2-1,,3.9,,442.0,,,1.6,,,9466.0,51.0,3739.0,,169.0,P10991,P10991,BG2-1,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s6_BG2-2,,1.9,,323.0,,,0.7,,,6198.0,71.0,2612.0,,169.0,P10991,P10991,BG2-2,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s7_BG2-3,,2.3,,424.0,,,0.7,,,1561.0,133.0,802.0,,150.0,P10991,P10991,BG2-3,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s8_BG3-1,,0.6,,21.0,,,3.6,,,3196.0,58.0,1261.0,,11.0,P10991,P10991,BG3-1,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
P10991_s9_BG3-2,,0.6,,24.0,,,5.0,,,4255.0,42.0,1876.0,,19.0,P10991,P10991,BG3-2,e_waste,广东,4,3,"Cd_mgkg,Cu_mgkg,Pb_mgkg,Zn_mgkg","PAHs,PBDEs,PCBs",sediment_not_soil,A_sample_table,training_ready_hm_op,sediment_not_soil,e_waste,HM+PAHs
