paper_id,level,stem,md_exists,pdf_exists,table_lines,sep_lines,total_lines,n_figures,n_images_files,has_table,table_density
P01858,B,2024_Zhou M et al_SciTotalEnviron_10.1016-j.scitotenv.2024.175364,True,True,0,0,411,18,0,False,0.0
P03057,B,2017_杨悦锁等_化工学报_10.11949-j.issn.0438-1157.20161805,True,True,0,0,404,12,0,False,0.0
P03100,B,2023_李景铭_土壤_10.13292-j.1000-4890.202312.010_1,True,True,0,0,303,6,0,False,0.0
P03203,B,2025_刘晓英_土壤_10.13758-j.cnki.tr.2025.02.001_1,True,True,0,0,282,9,0,False,0.0
P03286,B,2021_江澜_环境化学_10.16581-j.cnki.issn1671-3206.20210416.003,True,True,0,0,155,0,0,False,0.0
P04324,B,10_3390_land13111798,True,True,0,0,411,84,0,False,0.0
P09090,B,2024_Nie J et al_JEnvironChemEng_null,True,True,0,0,582,17,0,False,0.0
P09092,B,2024_Ouyang K_JHazardMater_null,True,True,0,0,474,66,0,False,0.0
P09208,B,2024_Zhao L et al_JHazardMater_null,True,True,0,0,580,39,0,False,0.0
P09362,B,2025_Liu X et al_EnvironPollut_null,True,True,0,0,596,45,0,False,0.0
P09913,B,10_13292_j_1000_4890_202312_010,True,True,0,0,303,6,0,False,0.0
P11450,B,2023_王晴_土壤_null,True,True,0,0,1079,78,0,False,0.0
P11484,B,2024_Li S et al_EnvironRes_null,True,True,0,0,468,23,0,False,0.0
P11528,B,2024_Unknown_土壤_null,True,True,0,0,1183,136,0,False,0.0
P00829,B,2023_Apportionment IIS_Geomorphology_10.1007-s12403-023-00534-3,True,True,0,0,565,50,0,False,0.0
P01484,B,10.1016_j.jclepro.2022.135380,True,True,0,0,274,53,0,False,0.0
P01826,B,10.1016_j.scitotenv.2022.160637,True,True,0,0,397,55,0,False,0.0
P03062,B,2023_史鹏飞_环境科学_10.12153-j.issn.1674-991X.20220841,True,True,0,0,238,9,0,False,0.0
P03123,B,2021_王汉宇_环境科学_10.13671-j.hjkxxb.2021.0531,True,True,0,0,307,34,0,False,0.0
P04627,B,2023_Su Q_Toxics_10.3390-toxics11020143,True,True,0,0,297,55,0,False,0.0
P04815,B,2023_Hou D et al_JGeosciEnvironProt_10.4236-gep.2023.115017,True,True,0,0,296,37,0,False,0.0
P08800,B,2023_Cui X et al_SciTotalEnviron_null_1,True,True,0,0,36,2,0,False,0.0
P09183,B,2024_Xie X et al_EcotoxicolEnvironSaf_null,True,True,0,0,323,31,0,False,0.0
P11185,B,2020_孙超男_Unknown_null,True,True,0,0,1386,149,0,False,0.0
P11360,B,2022_李程_Unknown_null,True,True,0,0,1434,139,0,False,0.0
P11368,B,2022_高康宁_Unknown_null,True,True,0,0,1555,187,0,False,0.0
P11421,B,2023_Unknown_SciTotalEnviron_null,True,True,0,0,397,55,0,False,0.0
P11543,B,2024_于颖_Unknown_null,True,True,0,0,1056,49,0,False,0.0
P00353,B,10_1007_s10653_022_01306_9,True,True,0,0,360,36,0,False,0.0
P00418,B,2023_Lu Y et al_EnvironMonitAssess_10.1007-s10661-022-10747-9,True,True,0,0,295,50,0,False,0.0
P01174,B,10.1016_j.chemosphere.2022.136084,True,True,0,0,39,2,0,False,0.0
P01384,B,10.1016_j.envpol.2022.118925,True,True,0,0,373,46,0,False,0.0
P01584,B,2022_Wang P et al_JHazardMater_10.1016-j.jhazmat.2022.128301,True,True,0,0,44,2,0,False,0.0
P01589,B,10.1016_j.jhazmat.2022.129338,True,True,0,0,47,2,0,False,0.0
P01880,B,2022_Jiang L et al_EnvironPollut_10.1016-j.soilbio.2022.108726_1,True,True,0,0,35,1,0,False,0.0
P02156,B,10_1038_s41598_022_07577_7,True,True,0,0,411,72,0,False,0.0
P03102,B,2024_廉梅花_土壤_10.13292-j.1000-4890.202409.030_1,True,True,0,0,289,9,0,False,0.0
P03104,B,2025_摘要_土壤_10.13338-j.issn.1674-649x.2025.03.012,True,True,0,0,394,25,0,False,0.0
P03345,B,2022_Lu Y et al_Unknown_10.21203-rs.3.rs-1769519-v1,True,True,0,0,285,27,0,False,0.0
P05165,B,2022_Gao AJ et al_Environments_10.1016-j.chemosphere.2022.133654_2,True,True,0,0,319,33,0,False,0.0
P08696,B,2022_Liang T et al_SciTotalEnviron_null_1,True,True,0,0,52,2,0,False,0.0
P08774,B,2022_Yi S et al_JHazardMater_null,True,True,0,0,330,62,0,False,0.0
P11319,B,2022_Jiao A et al_Chemosphere_null_1,True,True,0,0,319,33,0,False,0.0
P11359,B,2022_易盛炜_Unknown_null,True,True,0,0,980,112,0,False,0.0
P11362,B,2022_赵燊炜_Unknown_null,True,True,0,0,1861,193,0,False,0.0
