paper_id,level,stem,tbl_idx,n_rows,n_cols,title,category,has_unit,is_conc_titled,has_hm,has_op,is_hm_op
P04669,A,2024_Lu Y et al_Unknown_null,1,6,6,Table 2. Service time and maximum breaking concentration of cutoff walls.,other,False,True,True,True,True
P04669,A,2024_Lu Y et al_Unknown_null,2,2,9,![](images/3912093c607e02b423acce1430bc6baf20f8600ee4ad7f556cdc3d5fae010547.jpg) | Standar,other,False,False,True,False,False
P11456,A,2023_魏晓莉_Unknown_null,0,22,10,Key Words: Site soil; Soil aggregates; Polycyclic aromatic compounds; Heavy metals; Distri,other,False,False,True,False,False
P11456,A,2023_魏晓莉_Unknown_null,1,10,10,表1多环芳烃污染物基本信息,other,False,False,True,True,True
P11456,A,2023_魏晓莉_Unknown_null,2,7,9,"d>2</td><td>2.11</td><td>1427.00</td><td>3.81</td></tr><tr><td>1,4-萘醌</td><td>1,4-Naphthoq",other,False,False,True,False,False
P11456,A,2023_魏晓莉_Unknown_null,3,7,17,表2 采样区各土样基本信息,other,False,False,False,False,False
P11456,A,2023_魏晓莉_Unknown_null,4,7,15,表3场地采样区PAHs含量 $\mathrm { ( \mu g \cdot k g ^ { - 1 } ) }$,other,False,True,True,True,True
P11456,A,2023_魏晓莉_Unknown_null,5,7,10,表 4 场地采样区OPAHs含量 $\mathrm { ( \mu g \cdot k g ^ { - 1 } ) }$,other,False,True,True,True,True
P11456,A,2023_魏晓莉_Unknown_null,6,26,13,表5场地各采样区HMs含量 $( \mathbf { m g \cdot k g ^ { - 1 } } )$,other,False,True,True,False,False
P11456,A,2023_魏晓莉_Unknown_null,7,20,20,表6 场地土壤团聚体理化特性,other,False,False,True,False,False
P11456,A,2023_魏晓莉_Unknown_null,8,18,18,表 7葫芦岛场地土壤PAHs与HMs 相关性系数,other,False,False,True,True,True
P11456,A,2023_魏晓莉_Unknown_null,9,8,5,表 8 葫芦岛场地土壤 OPAHs与HMs 相关性系数,other,False,False,True,True,True
P11456,A,2023_魏晓莉_Unknown_null,10,13,8,表9不同粒径团聚体基本理化性质,other,False,False,True,False,False
P11456,A,2023_魏晓莉_Unknown_null,11,13,8,表 10 不同粒径团聚体对PHE 和1-ACE 吸附动力学模型拟合参数,other,False,False,True,False,False
P11456,A,2023_魏晓莉_Unknown_null,12,13,8,表 11 不同粒径团聚体对Pb 和Cd 吸附动力学模型拟合参数,other,False,False,True,False,False
P11456,A,2023_魏晓莉_Unknown_null,13,13,7,表 12 不同粒径团聚体组分中PHE 和1-ACE吸附热力学模型拟合参数,other,False,False,True,False,False
P11456,A,2023_魏晓莉_Unknown_null,14,5,4,表 13不同粒径团聚体组分中Pb和Cd吸附等温线模型拟合参数,other,False,False,True,False,False
P11456,A,2023_魏晓莉_Unknown_null,15,13,6,表 14 团聚体理化性质与其吸附能力的Pearson 相关性分析,other,False,False,True,False,False
P11456,A,2023_魏晓莉_Unknown_null,16,7,6,表 15 不同粒径团聚体组分中PHE 等温吸附曲线模型拟合参数,other,False,False,True,False,False
P11456,A,2023_魏晓莉_Unknown_null,17,13,6,表 16 不同粒径团聚体组分中1-ACE 吸附等温线模型拟合参数,other,False,False,True,False,False
P11456,A,2023_魏晓莉_Unknown_null,18,7,6,表 17不同粒径团聚体组分中Pb吸附等温线模型拟合参数,other,False,False,True,False,False
P11456,A,2023_魏晓莉_Unknown_null,19,7,4,表 18不同粒径团聚体组分中Cd吸附等温线模型拟合参数,other,False,False,True,False,False
P01182,A,2023_Zhang D et al_Chemosphere_10.1016-j.chemosphere.2023.140288,0,26,6,Table 1,conc_like,True,False,True,True,True
P01182,A,2023_Zhang D et al_Chemosphere_10.1016-j.chemosphere.2023.140288,1,63,6,C | ![](images/1b2bfaac42c317928bf27a52f57c349d29690e96242730d5904f08a1edcafb4e.jpg),other,False,False,True,True,True
P01595,A,2023_Hou Y et al_JHazardMater_10.1016-j.jhazmat.2023.130934,0,11,11,Table 1,summary_conc,True,False,True,True,True
P09065,A,2024_Liu Y et al_JHazardMater_null_2,0,3,8,Table 1,other,False,False,True,False,False
P09065,A,2024_Liu Y et al_JHazardMater_null_2,1,16,6,Table 2,other,False,False,True,False,False
P11424,A,2023_Wu J et al_SciTotalEnviron_null,0,30,13,Table 1,summary_conc,True,False,True,True,True
P11424,A,2023_Wu J et al_SciTotalEnviron_null,1,61,23,"plant. Finally, factor 5 accounting for 17.29 % of the total variance is primarily weighte",other,False,False,True,True,True
P11439,A,2023_刘泽浩_土壤_null,0,5,4,Table 1.1 Introduction to the four types of carriers,other,False,False,False,False,False
P11439,A,2023_刘泽浩_土壤_null,1,2,8,表 2.1供试土壤基本理化性质,conc_like,True,False,True,False,False
P11439,A,2023_刘泽浩_土壤_null,2,14,3,表2.2仪器设备,other,False,False,True,False,False
P11439,A,2023_刘泽浩_土壤_null,3,26,3,表2.3试剂药品,other,False,False,True,True,True
P11439,A,2023_刘泽浩_土壤_null,4,4,5,表2.4 $\mathrm { C d } ^ { 2 + }$ 正交试验因素及水平,other,False,False,False,False,False
P11439,A,2023_刘泽浩_土壤_null,5,2,4,表3.1 BBm吸附 $\mathrm { C d } ^ { 2 + }$ 的Langmuir方程参数,other,False,False,False,False,False
P11439,A,2023_刘泽浩_土壤_null,6,2,4,表3.2BBm吸附 $\mathrm { C d } ^ { 2 + }$ 的Freundlich方程参数,other,False,False,False,False,False
P11439,A,2023_刘泽浩_土壤_null,7,3,6,表3.3BBm处理 $\mathrm { C d } ^ { 2 + }$ 的动力学拟合参数,other,False,False,False,False,False
P11439,A,2023_刘泽浩_土壤_null,8,14,6,表3.4 $\mathrm { C d } ^ { 2 + }$ 直观分析表,other,False,False,False,False,False
P11439,A,2023_刘泽浩_土壤_null,9,6,6,表3.5 $\mathrm { C d } ^ { 2 + }$ 方差分析,other,False,False,False,False,False
P11439,A,2023_刘泽浩_土壤_null,10,5,5,表 4.1不同菌剂对Pyr 的降解动力学参数,other,False,False,False,False,False
P11439,A,2023_刘泽浩_土壤_null,11,7,3,表 5.1固定化菌剂对污染土壤pH的影响,other,False,False,False,False,False
P11439,A,2023_刘泽浩_土壤_null,12,7,3,表 5.2固定化菌剂对污染土壤EC 的影响,other,False,False,False,False,False
P01177,A,2022_Hu T et al_Chemosphere_10.1016-j.chemosphere.2022.136788_1,0,17,21,"dle and lower Yangtze River (Li et al., 2020) and the Yellow Sea in South Korea (Tian et a",summary_conc,True,False,True,False,False
P01177,A,2022_Hu T et al_Chemosphere_10.1016-j.chemosphere.2022.136788_1,1,15,18,Note: N.D. stands for not detected or below the detection limit; SD is standard deviation;,conc_like,True,False,True,False,False
P01177,A,2022_Hu T et al_Chemosphere_10.1016-j.chemosphere.2022.136788_1,2,31,14,Table 3,summary_conc,True,False,False,True,False
P01177,A,2022_Hu T et al_Chemosphere_10.1016-j.chemosphere.2022.136788_1,3,18,5,Table 4,other,False,False,True,False,False
P01587,A,2022_Wang X et al_EnvironPollut_10.1016-j.jhazmat.2022.129727,0,3,10,ra and Evosea declined significantly with increasing combined pollutant concentration $( p,risk_or_source,False,True,True,False,False
P03334,A,2025_龚庆碗_生物化工_10.20284-j.cnki.swhg.2025.06.033,0,8,5,表 1 土壤修复的目标值,risk_or_source,True,False,False,True,False
P03334,A,2025_龚庆碗_生物化工_10.20284-j.cnki.swhg.2025.06.033,1,6,5,表2 理论修复范围和工程量,other,False,False,False,True,False
P03334,A,2025_龚庆碗_生物化工_10.20284-j.cnki.swhg.2025.06.033,2,10,4,表 3 潜在二次污染区域的布点数量及检测指标,other,False,False,False,False,False
P03334,A,2025_龚庆碗_生物化工_10.20284-j.cnki.swhg.2025.06.033,3,9,6,表4 清挖后的基坑监测结果,conc_like,True,False,False,True,False
P03334,A,2025_龚庆碗_生物化工_10.20284-j.cnki.swhg.2025.06.033,4,12,6,表5 修复后土壤监测结果,other,False,False,False,True,False
P03780,A,10.3389_fenvs.2022.990471_CrossrefPage,0,7,9,TABLE 1 Physical and chemical properties of the soil at the sampling sites.,other,False,False,True,False,False
P03780,A,10.3389_fenvs.2022.990471_CrossrefPage,1,21,7,TABLE 2 Concentration of 16 p-PAHs in samples of soil (ng/g).,other,False,True,False,True,False
P03780,A,10.3389_fenvs.2022.990471_CrossrefPage,2,26,8,TABLE 3 Concentration of 21 a-PAHs in samples of soil (ng/g).,other,False,True,True,True,True
P03780,A,10.3389_fenvs.2022.990471_CrossrefPage,3,7,7,TABLE 4 Distribution and ration of different kinds of PAHs content in sampling sites.,conc_like,True,False,False,True,False
P03780,A,10.3389_fenvs.2022.990471_CrossrefPage,4,27,5,"TABLE 5 Toxic equivalent factors (TEFs), and BaP equivalent concentration $( \mathsf { B a",sample_conc,True,True,False,True,False
P03780,A,10.3389_fenvs.2022.990471_CrossrefPage,5,23,8,TABLE 6 Concentrations of PAHs in surface soils from different areas in China.,other,False,True,True,True,True
P04243,A,10_3390_ijerph191912860,0,20,7,"Table 1. Concentrations of PCDD/Fs, PCBs, and PCNs of the soil samples and background (BKG",other,False,True,True,True,True
P04243,A,10_3390_ijerph191912860,1,17,6,Table 2. Soil POP concentrations (pg/g) and TEQ (pg WHO-TEQ/g) were reported in previous s,other,False,True,True,True,True
P04243,A,10_3390_ijerph191912860,2,2,5,"tr><td></td><td>Gansu Province, China</td><td>Around the cement kiln co-processing municip",other,False,False,True,False,False
P04258,A,10.3390_ijerph192416930,0,14,12,Table 1. Descriptive statistics of HM contents (mg/kg) in soils inside (n = 53) and around,other,False,True,True,False,False
P04258,A,10.3390_ijerph192416930,1,22,5,Table 2. Non-carcinogenic (HI) and carcinogenic health risks (TCR) of HMs in soils.,risk_or_source,False,False,True,False,False
P10958,A,2017_物联合修_土壤_null,0,4,8,Table2.1 Basic properties of field-contaminated soils,other,False,False,True,False,False
P10958,A,2017_物联合修_土壤_null,1,4,8,Table2.2 Basic properties of artificially contaminated soils,other,False,False,True,False,False
P10958,A,2017_物联合修_土壤_null,2,4,8,Table2.3 Basic properties of biochar aging soils,other,False,False,True,False,False
P10958,A,2017_物联合修_土壤_null,3,17,3,Table2.4 Concentrations of PAHs in field-contaminated soils $\left( \mathbf { \mu } _ { \m,other,False,True,False,True,False
P10958,A,2017_物联合修_土壤_null,4,17,4,Table2.5 Concentrations of PAHs in artificially contaminated soils(μg·kg-1),other,False,True,False,True,False
P10958,A,2017_物联合修_土壤_null,5,17,4,Table2.6 Concentrations of PAHs in biochar aging soils $\left( \mu \mathbf { g } \cdot \ma,other,False,True,True,True,True
P10958,A,2017_物联合修_土壤_null,6,4,7,Table2.7 Concentrations of heavy metals in field-contaminated soils (mg·kg-1),other,False,True,True,False,False
P10958,A,2017_物联合修_土壤_null,7,4,7,Table2.8 Concentrations of heavy metals in artificially contaminated soils(mg·kg-1),other,False,True,True,False,False
P10958,A,2017_物联合修_土壤_null,8,4,7,Table2.9 Concentrations of heavy metals in biochar aging soils (mg·kg-1),other,False,True,True,False,False
P10958,A,2017_物联合修_土壤_null,9,12,4,Table2.10 The wavelength program and gradient elution program of the mobile phase,other,False,False,True,False,False
P10958,A,2017_物联合修_土壤_null,10,16,3,Table2.11 Standard curves of the 15 PAHs,other,False,False,True,True,True
P10958,A,2017_物联合修_土壤_null,11,2,5,Table2.12 Parametric condition of ICP-MS,other,False,False,True,False,False
P10958,A,2017_物联合修_土壤_null,12,2,6,Table3.1 Basic properties of biochar,other,False,False,True,False,False
P10958,A,2017_物联合修_土壤_null,13,2,14,Table3.2 Concentrations of PAHs of biochar $( \mu \ g \cdot \ k g ^ { - 1 } )$,other,False,True,True,True,True
P10958,A,2017_物联合修_土壤_null,14,2,6,Table3.3 Concentrations of heavy metals of biochar $\mathbf { ( m g \cdot k g ^ { - 1 } ) ,other,False,True,True,False,False
P10958,A,2017_物联合修_土壤_null,15,4,5,Table 5.1 Experimental treatment of artificially contaminated soil,other,False,False,False,False,False
P11365,A,2022_陈驰_Unknown_null,0,16,8,Table1.1 Common organic matter-contaminated soil remediation methods,other,False,False,True,False,False
P11365,A,2022_陈驰_Unknown_null,1,3,2,表1.2 有机污染场地修复实例,conc_like,True,False,False,True,False
P11365,A,2022_陈驰_Unknown_null,2,6,2,表1.2 有机污染场地修复实例,other,False,False,False,True,False
P11365,A,2022_陈驰_Unknown_null,3,14,6,表1.3 常用重金属污染土壤修复方式,risk_or_source,False,False,True,False,False
P11365,A,2022_陈驰_Unknown_null,4,7,2,Table1.4 Examples of remediation of common types of heavy metal contaminated sites,conc_like,True,False,True,False,False
P11365,A,2022_陈驰_Unknown_null,5,3,7,表1.5土壤性质与实验条件对热脱附-稳定化联合修复的影响,other,False,False,False,False,False
P11365,A,2022_陈驰_Unknown_null,6,2,6,Table2.1 Soil pollutants contents、physical and chemical properties,conc_like,True,False,True,False,False
P11365,A,2022_陈驰_Unknown_null,7,2,7,Table2.2 Working parameters of indirect thermal desorption furnace,other,False,False,False,False,False
P11365,A,2022_陈驰_Unknown_null,8,11,2,Table2.3 Stabilizing materials and dosage ratios,other,False,False,False,False,False
P11365,A,2022_陈驰_Unknown_null,9,5,2,Table2.3 Stabilizing materials and dosage ratios,other,False,False,False,False,False
P11365,A,2022_陈驰_Unknown_null,10,11,3,Table2.4 instrument used in experiment,other,False,False,False,False,False
P11365,A,2022_陈驰_Unknown_null,11,20,3,Table2.5 Specification information of chemical regents used in the experiment,other,False,False,False,False,False
P11365,A,2022_陈驰_Unknown_null,12,17,7,Table2.6 Characteristics and content of PAHs in contaminated soil in original soil,other,False,False,True,True,True
P11365,A,2022_陈驰_Unknown_null,13,6,6,Table4.1 Comparison of total PAHs removal rate,other,False,False,False,True,False
P11365,A,2022_陈驰_Unknown_null,14,3,6,Table5.1 Morphological composition of Cd-contaminated soil,conc_like,True,False,True,False,False
P11365,A,2022_陈驰_Unknown_null,15,2,6,Table5.2 Corresponding k values of thermal desorption at different temperatures,other,False,False,False,False,False
P11365,A,2022_陈驰_Unknown_null,16,2,6,Table5.3 Bap critical concentration corresponding to thermal desorptionat different temper,sample_conc,True,True,True,False,False
P11365,A,2022_陈驰_Unknown_null,17,3,7,Table5.4 Parameters of critical concentration of Cd leaching,other,False,True,True,False,False
P11365,A,2022_陈驰_Unknown_null,18,4,6,Table5.5 δ ratio under different desorption temperature conditions,other,False,False,False,False,False
P11365,A,2022_陈驰_Unknown_null,19,3,3,"（4）若 $C _ { \mathrm { o r g } } { \le } C V _ { \mathrm { o r g } } ,$ 且 $C _ { \mathrm { ",other,False,False,False,False,False
P11365,A,2022_陈驰_Unknown_null,20,6,4,Table5.6 Total energy consumption required to treat 1kg of soil by thermal desorption,other,False,False,True,False,False
P11365,A,2022_陈驰_Unknown_null,21,11,4,Table5.7 Energy consumption and cost analysis of thermal desorption stabilization experime,other,False,False,False,False,False
P01783,A,2021_Zhouetal_SciTotalEnviron_10.1016-j.scitotenv.2020.141924,0,15,16,Table 1,other,False,False,True,False,False
P01783,A,2021_Zhouetal_SciTotalEnviron_10.1016-j.scitotenv.2020.141924,1,14,14,/td><td> $8 . 4 0 \times 1 0 ^ { 3 }$ </td><td>896</td><td> $1 . 2 8 \times 1 0 ^ { 4 }$ <,other,False,False,False,False,False
P08407,A,2021_Fan G et al_Chemosphere_null,0,5,7,"c pump. As shown in Table 1, four tests with different pollutants were conducted in this t",other,False,False,True,False,False
P08851,A,2023_Lu X et al_EcotoxicolEnvironSaf_null,0,25,3,reatment facilities and water quality monitoring equipment. Solid waste treatment is also ,risk_or_source,False,False,True,False,False
P08851,A,2023_Lu X et al_EcotoxicolEnvironSaf_null,1,12,3,Table 2,risk_or_source,False,False,True,False,False
P08851,A,2023_Lu X et al_EcotoxicolEnvironSaf_null,2,9,3,Accuracy (Acc) and precision (Pre) were used as metrics to evaluate soil pollution identif,other,False,False,True,False,False
P08851,A,2023_Lu X et al_EcotoxicolEnvironSaf_null,3,7,11,"es increases. Panels A, B and C show the results of RF, SVM and MLP models trained on Feat",risk_or_source,False,False,True,False,False
P11214,A,2021_Fan G et al_Chemosphere_null_1,0,5,7,"c pump. As shown in Table 1, four tests with different pollutants were conducted in this t",other,False,False,True,False,False
P11254,A,2021_PAHs et al_EnvironPollut_null_from_sub,0,4,2,"RMi are the ERL and ERM values of the ith pollutant, respectively (Ga˛siorek et al., 2017)",other,False,False,True,False,False
P11254,A,2021_PAHs et al_EnvironPollut_null_from_sub,1,10,2,<table><tr><td>EF value</td><td>Pollutant source identification</td></tr><tr><td> $\mathrm,other,False,False,False,False,False
P11254,A,2021_PAHs et al_EnvironPollut_null_from_sub,2,42,10,"s mainly originate from man-made sources (Da et al., 2013; Nozar et al., 2014; Chai et al.",summary_conc,True,False,True,True,True
P01219,A,10.1016_j.ecoenv.2020.110651,0,15,10,Table 1,other,False,False,True,True,True
P01219,A,10.1016_j.ecoenv.2020.110651,1,15,10,Table 2,other,False,False,True,False,False
P08569,A,2021_Unknown_SciTotalEnviron_null_from_sub,0,15,16,Table 1,other,False,False,True,False,False
P08569,A,2021_Unknown_SciTotalEnviron_null_from_sub,1,14,14,/td><td> $8 . 4 0 \times 1 0 ^ { 3 }$ </td><td>896</td><td> $1 . 2 8 \times 1 0 ^ { 4 }$ <,other,False,False,False,False,False
P00689,A,2019_Hu E et al_EnvironSciPollutRes_10.1007-s11356-019-04308-w,0,8,10,Table 1 Soluble concentrations (mg/kg soil–slag mixture) of heavy metals after oxidation i,risk_or_source,False,True,True,False,False
P01215,A,10.1016_j.ecoenv.2019.05.027,0,9,9,"waste recycling area in Tianjin, northern China: (1) The red star represents the core e-wa",other,False,False,True,False,False
P01545,A,2018_Wu S et al_JHazardMater_10.1016-j.jhazmat.2018.09.082,0,5,6,"sessment as the threshold (probability > 10−5) for health risk [49,50]. The health risk as",risk_or_source,False,False,True,True,True
P01545,A,2018_Wu S et al_JHazardMater_10.1016-j.jhazmat.2018.09.082,1,7,23,n=1 colspan=1>PAHFact3</td><td rowspan=1 colspan=1>-0.3</td><td rowspan=1 colspan=1>0.0</t,other,False,False,True,True,True
P01545,A,2018_Wu S et al_JHazardMater_10.1016-j.jhazmat.2018.09.082,2,8,4,Table 1,risk_or_source,False,False,True,True,True
P01547,A,2018_Wuetal_JHazardMater_10.1016-j.jhazmat.2018.09.094,0,5,6,![](images/3af69f73274adae8b3c552af623ef103809b149d317f1622cb1d60e6f5cf8c5c.jpg) | ![](ima,other,False,False,False,True,False
P01547,A,2018_Wuetal_JHazardMater_10.1016-j.jhazmat.2018.09.094,1,7,22,td rowspan=1 colspan=1>0.2</td><td rowspan=1 colspan=1>0.2</td></tr><tr><td rowspan=1 cols,other,False,False,True,True,True
P01547,A,2018_Wuetal_JHazardMater_10.1016-j.jhazmat.2018.09.094,2,8,4,"Table 1 Identification matrix for combined pollution risk areas combining threat, spatial ",risk_or_source,False,False,True,True,True
P08060,A,2019_Wu Z et al_EcotoxicolEnvironSaf_null,0,9,9,"waste recycling area in Tianjin, northern China: (1) The red star represents the core e-wa",other,False,False,True,False,False
P04105,A,2018_Metal RPT_EnvironRes_10.3390-ijerph15112595,0,5,3,"Table 1. The four in situ solidification/stabilization (ISS) amendments tested, their abbr",other,False,False,True,False,False
P04105,A,2018_Metal RPT_EnvironRes_10.3390-ijerph15112595,1,4,4,Table 2. Bioavailable fraction of heavy metals in soil [37]. EDTA—ethylenediaminetetraacet,other,False,False,True,False,False
P04105,A,2018_Metal RPT_EnvironRes_10.3390-ijerph15112595,2,4,6,Table 3. Basic physical and chemical properties of the soil before and after reaction.,other,False,False,True,False,False
P04105,A,2018_Metal RPT_EnvironRes_10.3390-ijerph15112595,3,4,3,Table 4. Content of Ca and S before and after the experiments.,other,False,False,False,False,False
P04105,A,2018_Metal RPT_EnvironRes_10.3390-ijerph15112595,4,7,7,Table 5. Leaching of toxic contaminants and the unconfined compressive strength (UCS) and ,conc_like,True,False,True,False,False
P01301,A,10.1016_j.envpol.2017.08.003,0,9,11,Fig. 2. Unweighted Pair Group Method with Arithmetic mean (UPGMA) clustering based on phyl,conc_like,True,False,True,False,False
P01301,A,10.1016_j.envpol.2017.08.003,1,3,10,1 8$ </td><td> $3 0 9 0 \pm 1 2 7 . 0$ </td><td> $2 9 4 0 \pm 6 0 . 0$ </td><td> $4 7 3 \p,other,False,False,False,False,False
P01301,A,10.1016_j.envpol.2017.08.003,2,4,11,biological toxicity. It is therefore foreseeable that soil properties have co-effects with,other,False,False,True,True,True
P01301,A,10.1016_j.envpol.2017.08.003,3,6,6,\*represents p < 0.05; \*\* represents p < 0.01. | Five module hubs and their taxonomic in,other,False,False,True,False,False
P07518,A,2017_Distributions_EnvironRes_10.3390-ijerph14101179,0,19,13,"Table 1. Concentrations of individual PAHs, ∑16PAHs and ∑BPAHs in the samples from agricul",risk_or_source,True,True,True,True,True
P07518,A,2017_Distributions_EnvironRes_10.3390-ijerph14101179,1,11,4,Table 2. Diagnostic ratios reported for PAHs in soils.,other,False,False,True,True,True
P11556,A,2024_桂衍瑾_Unknown_null,0,6,3,Table 2.1Evaluation criteria for the potential ecological risk index method,risk_or_source,False,False,True,False,False
P11556,A,2024_桂衍瑾_Unknown_null,1,8,3,Table 2.2Grading criteria for the accumulation index,other,False,False,True,False,False
P11556,A,2024_桂衍瑾_Unknown_null,2,5,3,Table 2.3CF and PLI grading standards in the Pollution Load Index method,other,False,False,False,False,False
P11556,A,2024_桂衍瑾_Unknown_null,3,7,3,Table 2.4 Classification standard of pollution process in the enrichment factor method,other,False,False,True,False,False
