sample_id,x_measured_As_mgkg,x_measured_BaP_ngg,x_measured_CTC_ngg,x_measured_Cd_mgkg,x_measured_Cr_mgkg,x_measured_Cu_mgkg,x_measured_DBP_ngg,x_measured_DEHP_ngg,x_measured_DEP_ngg,x_measured_DiBP_ngg,x_measured_ENRO_ngg,x_measured_Endosulfan_ngg,x_measured_Hg_mgkg,x_measured_Ni_mgkg,x_measured_OTC_ngg,x_measured_Pb_mgkg,x_measured_SDZ_ngg,x_measured_SMZ_ngg,x_measured_SumDDT_ngg,x_measured_SumHCH_ngg,x_measured_SumPAE_ngg,x_measured_SumPBDE_ngg,x_measured_SumPCB_ngg,x_measured_Sum_PAH_ngg,x_measured_Zn_mgkg,source_id,paper_id,matrix,site_type,province,n_hm,n_op,site_mean_pending_auth,site_mean_note,pah_fraction_note
P01718_S9,,10.37,,,,,,,,,,,,,,,,,,,,,,286.0,,P01718,P01718,soil,agricultural,Tianjin,0,2,False,,
P01783_Soil-1,,,,,,,,,,,,,,,,,,,,,,49.1,0.291,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-10,,,,,,,,,,,,,,,,,,,,,,1.61,0.092,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-11,,,,,,,,,,,,,,,,,,,,,,4.92,0.255,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-12,,,,,,,,,,,,,,,,,,,,,,69.3,1.84,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-13,,,,,,,,,,,,,,,,,,,,,,1.8,0.102,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-14,,,,,,,,,,,,,,,,,,,,,,6.21,0.19,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-15,,,,,,,,,,,,,,,,,,,,,,1.57,0.164,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-16,,,,,,,,,,,,,,,,,,,,,,2.26,0.139,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-17,,,,,,,,,,,,,,,,,,,,,,3.03,0.322,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-18,,,,,,,,,,,,,,,,,,,,,,6.14,0.411,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-19,,,,,,,,,,,,,,,,,,,,,,9.71,0.234,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-2,,,,,,,,,,,,,,,,,,,,,,3.16,0.167,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-20,,,,,,,,,,,,,,,,,,,,,,4.91,0.145,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-21,,,,,,,,,,,,,,,,,,,,,,38.8,0.417,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-22,,,,,,,,,,,,,,,,,,,,,,3.74,0.103,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-23,,,,,,,,,,,,,,,,,,,,,,5.88,0.232,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-24,,,,,,,,,,,,,,,,,,,,,,2.47,0.179,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-25,,,,,,,,,,,,,,,,,,,,,,2.08,0.226,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-3,,,,,,,,,,,,,,,,,,,,,,6.71,0.247,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-4,,,,,,,,,,,,,,,,,,,,,,2.84,0.236,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-5,,,,,,,,,,,,,,,,,,,,,,0.344,0.0513,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-6,,,,,,,,,,,,,,,,,,,,,,32.5,0.46,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-7,,,,,,,,,,,,,,,,,,,,,,0.683,0.151,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-8,,,,,,,,,,,,,,,,,,,,,,7.09,0.222,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01783_Soil-9,,,,,,,,,,,,,,,,,,,,,,7.44,0.224,,,P01783,P01783,soil,e_waste,浙江,0,2,False,,
P01797_H1,4547.0,,,20.8,69.7,458.0,,,,,,,,27.6,,10175.0,,,,,,,,,1704.0,P01797,P01797,soil,unknown,unknown,7,0,False,,
P01797_H2,4846.8,,,13.75,152.8,422.7,,,,,,,,45.7,,9484.2,,,,,,,,,1483.3,P01797,P01797,soil,unknown,unknown,7,0,False,,
P01797_H3,2285.0,,,8.87,78.8,253.0,,,,,,,,32.3,,5161.0,,,,,,,,,765.0,P01797,P01797,soil,unknown,unknown,7,0,False,,
P01797_L1,20.0,,,0.2,61.1,28.6,,,,,,,,28.8,,50.3,,,,,,,,,74.805,P01797,P01797,soil,unknown,unknown,7,0,False,,
P01797_L2,30.1,,,0.3,66.2,30.3,,,,,,,,31.0,,67.6,,,,,,,,,84.255,P01797,P01797,soil,unknown,unknown,7,0,False,,
P01797_L3,26.3,,,0.3,65.1,27.2,,,,,,,,30.9,,61.2,,,,,,,,,76.778,P01797,P01797,soil,unknown,unknown,7,0,False,,
P01797_M1,395.0,,,3.31,89.4,120.0,,,,,,,,28.5,,614.0,,,,,,,,,436.0,P01797,P01797,soil,unknown,unknown,7,0,False,,
P01797_M2,527.0,,,4.19,63.1,118.0,,,,,,,,26.1,,811.0,,,,,,,,,405.0,P01797,P01797,soil,unknown,unknown,7,0,False,,
P01797_M3,518.0,,,3.31,85.6,118.0,,,,,,,,25.5,,902.0,,,,,,,,,377.0,P01797,P01797,soil,unknown,unknown,7,0,False,,
P02376_M,,,,,,,,,,,,,,,,,,,,,,64.4,,,,P02376,P02376,soil,e_waste,Zhejiang,0,1,False,,
P02376_S1,,,,,,,,,,,,,,,,,,,,,,1195.1,,,,P02376,P02376,soil,e_waste,Zhejiang,0,1,False,,
P02376_S2,,,,,,,,,,,,,,,,,,,,,,27.9,,,,P02376,P02376,soil,e_waste,Zhejiang,0,1,False,,
P02376_S3,,,,,,,,,,,,,,,,,,,,,,131.1,,,,P02376,P02376,soil,e_waste,Zhejiang,0,1,False,,
P02376_S4,,,,,,,,,,,,,,,,,,,,,,1889.1,,,,P02376,P02376,soil,e_waste,Zhejiang,0,1,False,,
P02376_S5,,,,,,,,,,,,,,,,,,,,,,3128.4,,,,P02376,P02376,soil,e_waste,Zhejiang,0,1,False,,
P02385_W9,,,,,,,,,,,,,,,,,,,,,,,,10000.0,,P02385,P02385,soil,industrial,Inner Mongolia,0,1,False,,
P02763_S1,,,,,,,,,,,,,,,,,,,,,,,,247520.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
P02763_S10,,,,,,,,,,,,,,,,,,,,,,,,634850.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
