paper_id,level,stem,md_exists,n_html_tables,n_tr_rows,has_html_table,n_images,si_dir_exists,n_si_pdfs,total_md_lines,extract_strategy
P11546,A,2024_冯博_土壤_null,True,27,397,True,191,False,0,2034,html_table
P03082,A,2022_李怡佳_环境科学_10.13227-j.hjkx.202112006,True,6,53,True,11,False,0,256,html_table
P00737,A,2010_Tang X et al_JSoilsSediments_10.1007-s11368-010-0252-0,True,6,97,True,10,False,0,276,html_table
P03115,A,2018_田晶_土壤_10.13560-j.cnki.biotech.bull.1985.2018-0125,True,0,0,False,14,False,0,235,figure_only
P06283,A,2009_Xiao J et al_JHazardMater_null,True,4,34,True,13,False,0,204,html_table
P05791,A,2005_Chen L et al_Chemosphere_10.1016-j.chemosphere.2005.01.011,True,4,118,True,8,False,0,284,html_table
P04395,A,2024_Gao L et al_Plants_10.3390-plants13202839,True,2,29,True,14,False,0,286,html_table
P01389,A,10.1016_j.envpol.2022.119716,True,2,57,True,41,True,0,388,html_table
P11640,A,2025_李鹏淼_Unknown_null,True,44,407,True,148,False,0,1431,html_table
P05186,A,2020_Xie Z et al_EnvironSciPollutRes_null,True,0,0,False,6,False,0,416,figure_only
P00289,A,2006_Leung A et al_JMaterCyclesWasteManag_10.1007-s10163-005-0141-6,True,6,180,True,10,False,0,287,html_table
P01788,A,2020_Se C et al_SciTotalEnviron_10.1016-j.scitotenv.2020.143233,True,1,14,True,9,False,0,304,html_table
P00407,A,2019_Liu J et al_EnvironMonitAssess_10.1007-s10661-019-7441-0,True,0,0,False,28,False,0,375,figure_only
P04372,A,2019_Selective H et al_Science_10.3390-molecules24152745,True,0,0,False,12,False,0,205,figure_only
P06949,A,2014_Ethers_EnvironHealth_10.1371-journal.pone.0113699,True,7,141,True,8,False,0,335,html_table
P04614,A,2022_Xue Q et al_Toxics_10.3390-toxics10010032,True,1,30,True,24,False,0,341,html_table
P01268,A,10.1016_j.envint.2020.106162,True,0,0,False,22,True,0,340,figure_only
P00096,A,2018_Wang C Q et al_AIChEJ_10.1002-aic.16519,True,0,0,False,39,False,0,392,figure_only
P01124,A,2018_Li Z et al_Chemosphere_10.1016-j.chemosphere.2018.05.064,True,0,0,False,14,False,0,282,figure_only
P09520,A,2026_Ren Y et al_JHazardMater_10.1016-j.jhazmat.2026.141922_1,True,0,0,False,2,True,0,40,figure_only
P09447,A,"2025_TPHs, CP et al_EnvironRes_null",True,0,0,False,1,False,0,30,figure_only
P08801,A,2023_Cui X et al_SciTotalEnviron_null,True,0,0,False,2,False,0,36,figure_only
P09370,A,2025_Ma J et al_EcotoxicolEnvironSaf_null,True,3,15,True,29,False,0,401,html_table
P00975,A,10.1016_22,True,0,0,False,0,False,0,529,text_only
P05184,A,10_1016_j_envpol_2025_126365,True,0,0,False,41,False,0,25,figure_only
P01509,A,2021_Li M et al_JEnvironSci_10.1016-j.jes.2021.02.002,True,1,13,True,19,False,0,321,html_table
P05201,A,10_1016_j_jhazmat_2026_141922,True,0,0,False,23,False,0,40,figure_only
P08435,A,2021_Hu J et al_EnvironPollut_null,True,0,0,False,13,False,0,285,figure_only
P08461,A,2021_Li G et al_EnvironTechnolInnov_null,True,0,0,False,1,False,0,36,figure_only
P08618,A,2021_Zhang T et al_Ecotoxicology_null,True,3,12,True,7,False,0,427,html_table
P08705,A,2022_Liu Q et al_EnvironPollut_null_1,True,0,0,False,1,False,0,28,figure_only
P05168,A,10_1016_j_ecoenv_2020_110651,True,2,30,True,9,False,0,236,html_table
P07920,A,2019_Elyamine AM et al_IntJMolSci_null,True,2,23,True,13,False,0,330,html_table
P11100,A,2019_Wu Z et al_EcotoxicolEnvironSaf_null_2,True,1,9,True,14,False,0,337,html_table
P00613,A,2014_Sun L et al_EnvironSciPollutRes_10.1007-s11356-014-3166-7,True,2,3,True,7,False,0,325,html_table
P06288,A,2009_Zhang H et al_IntJEnvironSciTechnol_null,True,2,28,True,6,False,0,194,html_table
P09583,A,2008_Tao S et al_EnvironSciTechnol_10.1021-es8019676ccc,False,0,0,False,11,False,0,0,figure_only
P10376,A,2008_Tao S et al_EnvironSciTechnol_null,True,1,13,True,11,False,0,154,html_table
P01249,A,10.1016_j.ecoenv.2025.118925,True,2,52,True,4,True,0,279,html_table
P01501,B,10.1016_j.jenvman.2025.128321,True,2,34,True,1,True,0,414,html_table
P04678,B,10_3390_toxics14050406Toxics,True,4,53,True,12,False,0,527,html_table
P09521,B,2026_Ren Y et al_JHazardMater_10.1016-22,True,0,0,False,53,False,0,529,figure_only
P11024,B,2018_任毅等_土壤_null,True,8,76,True,9,False,0,163,html_table
P11353,B,2022_作者姓名_土壤_null,True,13,188,True,70,False,0,1215,html_table
P11657,B,2026_Zhang K et al_EnvironPollut_null,True,1,18,True,21,False,0,357,html_table
P01404,B,10.1016_j.envpol.2025.126365,True,0,0,False,41,True,0,374,figure_only
P01422,B,10.1016_j.envres.2025.122748,True,0,0,False,16,True,0,28,figure_only
P01514,B,2025_Duan L et al_JEnvironSci_10.1016-j.jes.2023.09.037,True,0,0,False,18,False,0,246,figure_only
P01641,B,10.1016_j.jhazmat.2025.139303,True,0,0,False,23,True,0,41,figure_only
P01868,B,10.1016_j.scitotenv.2025.178384,True,0,0,False,12,True,0,39,figure_only
P03271,B,2014_张倩等_山西师范大学学报自然科学版_10.16207-j.cnki.1009-4490.2014.02.014,True,3,25,True,8,False,0,200,html_table
P03274,B,2016_陈希超_环境科学_10.16241-j.cnki.1001-5914.2016.09.025,True,4,39,True,4,False,0,195,html_table
P03876,B,1957_Bioaccumulation_Land_10.3390-agriculture15181957,True,1,5,True,24,False,0,344,html_table
P09363,B,2025_Liu X et al_EnvironRes_10.1016-61,True,0,0,False,1,False,0,28,figure_only
P11448,B,2023_谢臣臣_Unknown_null,True,26,183,True,119,False,0,1422,html_table
P11592,B,2025_Liu X et al_EnvironRes_null,True,0,0,False,29,False,0,596,figure_only
P11625,B,2025_Wang T et al_EcotoxicolEnvironSaf_null,True,1,10,True,27,False,0,323,html_table
P11638,B,2025_周湘远_Unknown_null,True,23,335,True,104,False,0,1361,html_table
P01010,B,10.1016_61,True,0,0,False,0,False,0,28,text_only
P01184,B,2024_Li M et al_Chemosphere_10.1016-j.chemosphere.2023.140954,True,0,0,False,5,False,0,46,figure_only
P01244,B,10.1016_j.ecoenv.2024.116927,True,2,18,True,4,True,0,350,html_table
P01421,B,10.1016_j.envres.2024.119185,True,0,0,False,16,True,0,30,figure_only
P01612,B,2024_Long X et al_JHazardMater_10.1016-j.jhazmat.2024.134345,True,0,0,False,2,False,0,38,figure_only
P01619,B,10.1016_j.jhazmat.2024.135547,True,0,0,False,2,True,0,474,figure_only
P01624,B,10.1016_j.jhazmat.2024.136315,True,0,0,False,23,True,0,36,figure_only
P01626,B,2024_Liu Y et al_JHazardMater_10.1016-j.jhazmat.2024.136456,True,2,19,True,17,False,0,241,html_table
P01674,B,10.1016_j.pedsph.2023.06.001,True,0,0,False,0,True,0,358,text_only
P01858,B,2024_Zhou M et al_SciTotalEnviron_10.1016-j.scitotenv.2024.175364,True,0,0,False,7,False,0,411,figure_only
P03057,B,2017_杨悦锁等_化工学报_10.11949-j.issn.0438-1157.20161805,True,3,62,True,19,False,0,404,html_table
P03100,B,2023_李景铭_土壤_10.13292-j.1000-4890.202312.010_1,True,2,20,True,2,False,0,303,html_table
P03203,B,2025_刘晓英_土壤_10.13758-j.cnki.tr.2025.02.001_1,True,1,18,True,4,False,0,282,html_table
P03286,B,2021_江澜_环境化学_10.16581-j.cnki.issn1671-3206.20210416.003,True,0,0,False,0,False,0,155,text_only
P04324,B,10_3390_land13111798,True,6,63,True,19,False,0,411,html_table
P09090,B,2024_Nie J et al_JEnvironChemEng_null,True,2,41,True,8,False,0,582,html_table
P09092,B,2024_Ouyang K_JHazardMater_null,True,0,0,False,45,False,0,474,figure_only
P09208,B,2024_Zhao L et al_JHazardMater_null,True,9,230,True,29,False,0,580,html_table
P09362,B,2025_Liu X et al_EnvironPollut_null,True,0,0,False,29,False,0,596,figure_only
P09913,B,10_13292_j_1000_4890_202312_010,True,2,20,True,0,False,0,303,html_table
P11450,B,2023_王晴_土壤_null,True,14,108,True,71,False,0,1079,html_table
P11484,B,2024_Li S et al_EnvironRes_null,True,2,15,True,9,False,0,468,html_table
