source_file,source_version,source_row_id,track_raw,track_normalized,factor_name_raw,level1_category,scenario,land_use_target,threshold_text,unit,standard_source,standard_level,risk_level,notes,factor_name_norm,factor_id,production_applicable,ecology_applicable,factor_name_cn,factor_name_en,factor_type,evidence_level,default_unit
20251015_V1.6合并版,V1.6,740,风险值,both,铍,,第一类用地,生产,15mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中风险,农产品安全关键指标,铍,66,1,1,铍,铍,,A,mg/kg
20251015_V1.6合并版,V1.6,754,管制值,both,11-二氯乙烷,,第二类用地,生产,100mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,11-二氯乙烷,,1,1,11-二氯乙烷,11-二氯乙烷,,A,mg/kg
20251015_V1.6合并版,V1.6,750,管制值,both,11-二氯乙烯,,第二类用地,生产,200mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,11-二氯乙烯,,1,1,11-二氯乙烯,11-二氯乙烯,,A,mg/kg
20251015_V1.6合并版,V1.6,746,管制值,both,锑,,第二类用地,生产,360mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中风险,农产品安全关键指标,锑,64,1,1,锑,锑,,A,mg/kg
20251015_V1.6合并版,V1.6,791,风险值,both,14-二氯苯,,第一类用地,生产,5.6mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,14-二氯苯,,1,1,14-二氯苯,14-二氯苯,,A,mg/kg
20251015_V1.6合并版,V1.6,843,风险值,both,二氯甲烷,,第一类用地,生产,94mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,二氯甲烷,92,1,1,二氯甲烷,二氯甲烷,,A,mg/kg
20251015_V1.6合并版,V1.6,842,风险值,both,乙苯,,第二类用地,生产,28mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,乙苯,120,1,1,乙苯,乙苯,,A,mg/kg
20251015_V1.6合并版,V1.6,838,管制值,both,三氯乙烯,,第二类用地,生产,20mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,三氯乙烯,106,1,1,三氯乙烯,三氯乙烯,,A,mg/kg
20251015_V1.6合并版,V1.6,834,管制值,both,七氯,,第二类用地,生产,3.7mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,七氯,196,1,1,七氯,七氯,,A,mg/kg
20251015_V1.6合并版,V1.6,830,管制值,both,一溴二氯甲烷,,第二类用地,生产,12mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,一溴二氯甲烷,152,1,1,一溴二氯甲烷,一溴二氯甲烷,,A,mg/kg
20251015_V1.6合并版,V1.6,847,风险值,both,二溴氯甲烷,,第一类用地,生产,9.3mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,二溴氯甲烷,156,1,1,二溴氯甲烷,二溴氯甲烷,,A,mg/kg
20251015_V1.6合并版,V1.6,861,风险值,both,六氯环戊二烯,,第二类用地,生产,5.2mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,六氯环戊二烯,160,1,1,六氯环戊二烯,六氯环戊二烯,,A,mg/kg
20251015_V1.6合并版,V1.6,858,风险值,both,五氯酚,,第二类用地,生产,2.7mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,五氯酚,170,1,1,五氯酚,五氯酚,,A,mg/kg
20251015_V1.6合并版,V1.6,853,风险值,both,二苯并[ah]蒽,,第二类用地,生产,1.5mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,二苯并[ah]蒽,,1,1,二苯并[ah]蒽,二苯并[ah]蒽,,A,mg/kg
20251015_V1.6合并版,V1.6,826,风险值,both,33'445-五氯联苯(PCB126),,第一类用地,生产,4×10⁻⁵mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,33'445-五氯联苯(PCB126),,1,1,33'445-五氯联苯(PCB126),33'445-五氯联苯(PCB126),,A,mg/kg
20251015_V1.6合并版,V1.6,807,风险值,both,24-二硝基酚,,第一类用地,生产,78mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中风险,农产品安全关键指标,24-二硝基酚,,1,1,24-二硝基酚,24-二硝基酚,,A,mg/kg
20251015_V1.6合并版,V1.6,806,风险值,both,24-二硝基甲苯,,第一类用地,生产,1.8mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,24-二硝基甲苯,,1,1,24-二硝基甲苯,24-二硝基甲苯,,A,mg/kg
20251015_V1.6合并版,V1.6,802,风险值,both,24-二氯酚,,第一类用地,生产,117mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,24-二氯酚,,1,1,24-二氯酚,24-二氯酚,,A,mg/kg
20251015_V1.6合并版,V1.6,798,管制值,both,2-氯酚,,第二类用地,生产,4500mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,2-氯酚,134,1,1,2-氯酚,2-氯酚,,A,mg/kg
20251015_V1.6合并版,V1.6,811,风险值,both,246-三氯酚,,第一类用地,生产,39mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,246-三氯酚,,1,1,246-三氯酚,246-三氯酚,,A,mg/kg
20251015_V1.6合并版,V1.6,822,管制值,both,33'44'55-六氯联苯(PCB169),,第二类用地,生产,4×10⁻³mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,33'44'55-六氯联苯(PCB169),,1,1,33'44'55-六氯联苯(PCB169),33'44'55-六氯联苯(PCB169),,A,mg/kg
20251015_V1.6合并版,V1.6,817,风险值,both,33'-二氯联苯胺,,第二类用地,生产,3.6mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,33'-二氯联苯胺,,1,1,33'-二氯联苯胺,33'-二氯联苯胺,,A,mg/kg
20251015_V1.6合并版,V1.6,628,管制值,both,铅,,第一类用地,生产,800mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,高风险,重点监测因子；农产品安全关键指标,Pb_mgkg,52,1,1,铅,Pb_mgkg,,A,mg/kg
20251015_V1.6合并版,V1.6,646,风险值,both,砷,,6.5<pH≤7.5,生产,30mg/kg,mg/kg,土壤环境质量农用土壤污染风险管控标准GB15618-2018,国家标准,高风险,重点监测因子；农产品安全关键指标,As_mgkg,36,1,1,砷,As_mgkg,,A,mg/kg
20251015_V1.6合并版,V1.6,592,III级,both,镉,,pH>6.5,生态,≤1.2mg/kg,mg/kg,绿化种植土壤CJ/T340-2016,行业标准,高风险,重点监测因子；生态安全关键指标,Cd_mgkg,40,1,1,镉,Cd_mgkg,,B,mg/kg
20251015_V1.6合并版,V1.6,586,风险值,both,甲基汞,,第一类用地,生产,5mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,高风险,重点监测因子；农产品安全关键指标,甲基汞,72,1,1,甲基汞,甲基汞,,A,mg/kg
20251015_V1.6合并版,V1.6,582,风险值,both,汞,,第二类用地,生产,38mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,高风险,重点监测因子；农产品安全关键指标,Hg_mgkg,56,1,1,汞,Hg_mgkg,,A,mg/kg
20251015_V1.6合并版,V1.6,700,风险值,both,镍,,pH>7.5,生产,190mg/kg,mg/kg,土壤环境质量农用土壤污染风险管控标准GB15618-2018,国家标准,中风险,农产品安全关键指标,Ni_mgkg,60,1,1,镍,Ni_mgkg,,A,mg/kg
20251015_V1.6合并版,V1.6,690,风险值,both,锌,,pH>7.5,生产,300mg/kg,mg/kg,土壤环境质量农用土壤污染风险管控标准GB15618-2018,国家标准,中风险,农产品安全关键指标,Zn_mgkg,62,1,1,锌,Zn_mgkg,,A,mg/kg
20251015_V1.6合并版,V1.6,664,风险值,both,铜,,pH>7.5,生产,100mg/kg,mg/kg,土壤环境质量农用土壤污染风险管控标准GB15618-2018,国家标准,中风险,农产品安全关键指标,Cu_mgkg,48,1,1,铜,Cu_mgkg,,A,mg/kg
20251015_V1.6合并版,V1.6,657,,both,有效铜,,对绿化景观质量要求较高的土壤,生态,0.3-8mg/kg,mg/kg,绿化种植土壤CJ/T340-2016,行业标准,中风险,生态安全关键指标,有效铜,28,1,1,有效铜,有效铜,,B,mg/kg
20251015_V1.6合并版,V1.6,678,,both,有效锌,,对绿化景观质量要求较高的土壤,生态,1-10mg/kg,mg/kg,绿化种植土壤CJ/T340-2016,行业标准,中风险,生态安全关键指标,有效锌,29,1,1,有效锌,有效锌,,B,mg/kg
20251015_V1.6合并版,V1.6,863,管制值,both,六氯苯,,第二类用地,生产,10mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,六氯苯,204,1,1,六氯苯,六氯苯,,A,mg/kg
20251015_V1.6合并版,V1.6,1059,其他林地,both,有机质,,黄淮海平原区,生产,≥1%,%,土壤复垦质量控制标准TD/T1036-2013,行业标准,低风险,一般控制指标,OC_pct,21,1,1,有机质,OC_pct,,B,%
20251015_V1.6合并版,V1.6,1050,,both,有效镁,,对绿化景观质量要求较高的土壤,生态,50-280mg/kg,mg/kg,绿化种植土壤CJ/T340-2016,行业标准,低风险,一般控制指标,有效镁,31,1,1,有效镁,有效镁,,B,mg/kg
20251015_V1.6合并版,V1.6,1049,,both,有效锰,,对绿化景观质量要求较高的土壤,生态,0.6-25mg/kg,mg/kg,绿化种植土壤CJ/T340-2016,行业标准,低风险,一般控制指标,有效锰,30,1,1,有效锰,有效锰,,B,mg/kg
20251015_V1.6合并版,V1.6,1048,,both,有效铁,,对绿化景观质量要求较高的土壤,生态,4-350mg/kg,mg/kg,绿化种植土壤CJ/T340-2016,行业标准,低风险,一般控制指标,有效铁,27,1,1,有效铁,有效铁,,B,mg/kg
20251015_V1.6合并版,V1.6,1047,,both,有效钼,,对绿化景观质量要求较高的土壤,生态,0.04-2mg/kg,mg/kg,绿化种植土壤CJ/T340-2016,行业标准,低风险,一般控制指标,有效钼,26,1,1,有效钼,有效钼,,B,mg/kg
20251015_V1.6合并版,V1.6,1046,,both,有效钙,,对绿化景观质量要求较高的土壤,生态,200-500mg/kg,mg/kg,绿化种植土壤CJ/T340-2016,行业标准,低风险,一般控制指标,有效钙,25,1,1,有效钙,有效钙,,B,mg/kg
20251015_V1.6合并版,V1.6,1045,/,both,有效耕作层厚度,,全区通用,生产,≥20cm,cm,高标准农田建设通则GB/T30600—2022,国家标准,低风险,一般控制指标,有效耕作层厚度,,1,1,有效耕作层厚度,有效耕作层厚度,,A,cm
20251015_V1.6合并版,V1.6,1044,/,both,有效磷,,全区通用,生态,5-60mg/kg,mg/kg,绿化种植土壤CJ/T340-2016,行业标准,低风险,一般控制指标,有效磷,24,1,1,有效磷,有效磷,,B,mg/kg
20251015_V1.6合并版,V1.6,1042,/,both,全氮,,全区通用,生态,0.8-2g/kg,g/kg,基于主成分-聚类分析的植烟土壤障碍因子诊断-周旭东,其他标准,低风险,一般控制指标,TN_gkg,,1,1,全氮,TN_gkg,,B,g/kg
20251015_V1.6合并版,V1.6,1023,管制值,both,氰化物,,第一类用地,生产,44mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中风险,农产品安全关键指标,氰化物,74,1,1,氰化物,氰化物,,A,mg/kg
20251015_V1.6合并版,V1.6,1020,管制值,both,敌敌畏,,第一类用地,生产,18mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中风险,农产品安全关键指标,敌敌畏,190,1,1,敌敌畏,敌敌畏,,A,mg/kg
20251015_V1.6合并版,V1.6,1015,风险值,both,二噁英类(总毒性当量),,第一类用地,生产,1×10⁻⁵mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中风险,农产品安全关键指标,二噁英类(总毒性当量),214,1,1,二噁英类(总毒性当量),二噁英类(总毒性当量),,A,mg/kg
20251015_V1.6合并版,V1.6,1011,管制值,both,乐果,,第二类用地,生产,1240mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,重点监测因子；农产品安全关键指标,乐果,192,1,1,乐果,乐果,,A,mg/kg
20251015_V1.6合并版,V1.6,1016,/,both,六六六总量,,全区通用,生产,0.10mg/kg,mg/kg,土壤环境质量农用土壤污染风险管控标准GB15618-2018,国家标准,中风险,农产品安全关键指标,SumHCHs_ngg,181,1,1,六六六总量,SumHCHs_ngg,,A,mg/kg
20251015_V1.6合并版,V1.6,1043,,both,有效硫,,对绿化景观质量要求较高的土壤,生态,20-500mg/kg,mg/kg,绿化种植土壤CJ/T340-2016,行业标准,低风险,一般控制指标,有效硫,23,1,1,有效硫,有效硫,,B,mg/kg
20251015_V1.6合并版,V1.6,1025,风险值,both,滴滴涕,,第一类用地,生产,2mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中风险,农产品安全关键指标,SumDDTs_ngg,188,1,1,滴滴涕,SumDDTs_ngg,,A,mg/kg
20251015_V1.6合并版,V1.6,1041,风险值,both,阿特拉津,,第二类用地,生产,7.4mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中风险,农产品安全关键指标,阿特拉津,180,1,1,阿特拉津,阿特拉津,,A,mg/kg
20251015_V1.6合并版,V1.6,1037,管制值,both,硫丹,,第二类用地,生产,3400mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中风险,农产品安全关键指标,硫丹,194,1,1,硫丹,硫丹,,A,mg/kg
20251015_V1.6合并版,V1.6,1033,风险值,both,灭蚁灵,,第二类用地,生产,0.09mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中风险,农产品安全关键指标,灭蚁灵,206,1,1,灭蚁灵,灭蚁灵,,A,mg/kg
20251015_V1.6合并版,V1.6,1149,,both,发芽指数,,潜在毒害,生态,>80%,%,绿化种植土壤CJ/T340-2016,行业标准,低风险,一般控制指标,发芽指数,"注：
区域定义（含核心管控导向）：
普通绿化区：以基础生态覆盖为核心的绿地，包括道路绿化带、工厂附属绿地、社区外围绿地等，管控重点为土壤基础理化指标（如 pH、有效土层、入渗率），满足植物存活基本需求（依据 CJ/T 340-2016 “普通绿化区” 阈值）；
耐盐碱种植区：受盐碱化影响的特殊绿地，包括滨海绿地、厂区次生盐碱绿地、盐碱地修复绿地等，管控重点为含盐量、交换性钠、钠吸附比等盐害指标（依据 CJ/T 340-2016 耐盐碱相关要求）；
高景观绿化区：兼具景观展示与生态功能的绿地，包括植物园、城市核心花坛、生物滞留池、公园主景观区等，管控重点为肥力指标（如阳离子交换量、有机质、水解性氮等）与景观适配性（如石砾粒径），需满足 CJ/T 340-2016 “高景观绿化区” 必测 / 选测要求；
设施绿化区：非常规场地绿化，包括屋顶绿化、地下顶面绿化、垂直绿化（构筑物壁面）等，管控重点为有效土层厚度（按植物类型区分：乔木≥80cm、灌木≥45cm、草坪≥15cm）、土壤密度（防荷载超限），依据 CJJ 82-2012 设施绿化相关要求；
自然保育区：以生态保护为首要目标的绿地，包括水源涵养林、自然保护区绿地、生态修复核心区等，管控重点为重金属低限值（CJ/T 340-2016 I 级）与原生土壤结构保护，避免人为干预破坏生态平衡；
一类用地绿地：人群高频接触的敏感绿地，包括住宅区内绿地、学校操场绿地、儿童公园、养老院附属绿地等，管控重点为污染物安全阈值（GB 36600-2018 “一类用地筛选值”），防范重金属、挥发性有机物通过接触 / 扬尘影响人体健康；
二类用地绿地：人群低接触或功能性绿地，包括商业街区绿地、工业厂区绿地、仓储区周边绿地等，管控重点为基础生态功能（如滞尘、降噪），污染物指标可按 GB 36600-2018 “二类用地筛选值” 放宽，优先保障植物存活；
污染管控区：潜在 / 历史污染绿地，包括废弃矿地、工业遗留场地修复绿地、污染土壤改良绿地等，管控重点为毒害重金属（砷、镉、铬、铅、汞）与特征污染物（如挥发性卤代烃），需符合 CJ/T 340-2016 IV 级或 GB 36600-2018 对应污染修复限值。
公园绿地指标选取规则：
应用场景中未单独列明的公园绿地，需按功能分区选取阈值：公园内花坛、专类园、生物滞留池等 “高景观功能区”，按 “高景观绿化区” 阈值执行；公园内普通游步道两侧、非景观核心区等 “基础绿化区”，按 “一般绿地” 阈值执行；儿童活动区、老人休憩区等 “人群高频接触区”，需额外符合 “一类用地绿地” 污染物限值。
一般绿地指标取舍规则：
应用场景中明确不含 “一般绿地”（核心场景为基础生态绿化，如道路基础绿化带、社区非景观绿地）的障碍因子时，仅针对非绿化主导功能区域（如绿地内纯硬化配套区、临时堆土区）可不予考虑；若场景涉及植物种植（即使非核心景观），仍需优先保障一般绿地的主控指标（pH、有效土层、入渗率、有机质）达标，避免因指标缺失导致植物生长异常。",1,1,发芽指数,发芽指数,,B,%
20251015_V1.6合并版,V1.6,1148,/,both,速效钾,,全区通用,生态,60-300mg/kg,mg/kg,绿化种植土壤CJ/T340-2016,行业标准,低风险,一般控制指标,速效钾,32,1,1,速效钾,速效钾,,B,mg/kg
20251015_V1.6合并版,V1.6,1147,/,both,水解性氮,,全区通用,生态,40-200mg/kg,mg/kg,绿化种植土壤CJ/T340-2016,行业标准,低风险,一般控制指标,水解性氮,22,1,1,水解性氮,水解性氮,,B,mg/kg
20251015_V1.6合并版,V1.6,1006,风险值,both,䓛,,第二类用地,生产,1293mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,重点监测因子；农产品安全关键指标,䓛,144,1,1,䓛,䓛,,A,mg/kg
20251015_V1.6合并版,V1.6,915,风险值,both,石油烃(C10-C40),,第一类用地,生产,826mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中风险,农产品安全关键指标,TPH_ngg,218,1,1,石油烃(C10-C40),TPH_ngg,,A,mg/kg
20251015_V1.6合并版,V1.6,914,管制值,both,甲苯,,第二类用地,生产,1200mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,甲苯,124,1,1,甲苯,甲苯,,A,mg/kg
20251015_V1.6合并版,V1.6,910,管制值,both,溴仿,,第二类用地,生产,1030mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,溴仿,154,1,1,溴仿,溴仿,,A,mg/kg
20251015_V1.6合并版,V1.6,906,风险值,both,氯苯,,第一类用地,生产,68mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,氯苯,114,1,1,氯苯,氯苯,,A,mg/kg
20251015_V1.6合并版,V1.6,902,风险值,both,氯甲烷,,第一类用地,生产,12mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,氯甲烷,80,1,1,氯甲烷,氯甲烷,,A,mg/kg
20251015_V1.6合并版,V1.6,919,管制值,both,硝基苯,,第二类用地,生产,760mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,硝基苯,130,1,1,硝基苯,硝基苯,,A,mg/kg
20251015_V1.6合并版,V1.6,933,风险值,both,苯并[a]芘,,第二类用地,生产,1.5mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,BaP_ngg,138,1,1,苯并[a]芘,BaP_ngg,,A,mg/kg
20251015_V1.6合并版,V1.6,930,风险值,both,苯乙烯,,第二类用地,生产,1290mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,苯乙烯,122,1,1,苯乙烯,苯乙烯,,A,mg/kg
20251015_V1.6合并版,V1.6,925,风险值,both,苯,,第二类用地,生产,4mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,苯,112,1,1,苯,苯,,A,mg/kg
20251015_V1.6合并版,V1.6,898,风险值,both,氯仿,,第一类用地,生产,0.3mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,氯仿,78,1,1,氯仿,氯仿,,A,mg/kg
20251015_V1.6合并版,V1.6,879,风险值,both,多氯联苯(总量),,第一类用地,生产,0.14mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,多氯联苯(总量),208,1,1,多氯联苯(总量),多氯联苯(总量),,A,mg/kg
20251015_V1.6合并版,V1.6,878,风险值,both,四氯化碳,,第一类用地,生产,0.9mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,四氯化碳,76,1,1,四氯化碳,四氯化碳,,A,mg/kg
20251015_V1.6合并版,V1.6,874,风险值,both,四氯乙烯,,第二类用地,生产,53mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,四氯乙烯,100,1,1,四氯乙烯,四氯乙烯,,A,mg/kg
20251015_V1.6合并版,V1.6,870,管制值,both,反-12-二氯乙烯,,第二类用地,生产,163mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,反-12-二氯乙烯,,1,1,反-12-二氯乙烯,反-12-二氯乙烯,,A,mg/kg
20251015_V1.6合并版,V1.6,883,管制值,both,多溴联苯(总量),,第二类用地,生产,0.6mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,多溴联苯(总量),216,1,1,多溴联苯(总量),多溴联苯(总量),,A,mg/kg
20251015_V1.6合并版,V1.6,894,风险值,both,氯乙烯,,第一类用地,生产,0.12mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,氯乙烯,110,1,1,氯乙烯,氯乙烯,,A,mg/kg
20251015_V1.6合并版,V1.6,889,风险值,both,氯丹,,第二类用地,生产,6.2mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,氯丹,182,1,1,氯丹,氯丹,,A,mg/kg
20251015_V1.6合并版,V1.6,937,风险值,both,苯并[a]蒽,,第一类用地,生产,5.5mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,农产品安全关键指标,苯并[a]蒽,136,1,1,苯并[a]蒽,苯并[a]蒽,,A,mg/kg
20251015_V1.6合并版,V1.6,987,管制值,both,pp'-滴滴伊,,第二类用地,生产,70mg/kg,mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,中高风险,重点监测因子；农产品安全关键指标,pp'-滴滴伊,,1,1,pp'-滴滴伊,pp'-滴滴伊,,A,mg/kg
