paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Number_of,Nap_ngg,2.0,Unknown,table_p4_ri2_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Maximum,Ace_ngg,0.11,Unknown,table_p4_ri4_ci5,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Standard,Ace_ngg,0.02,Unknown,table_p4_ri4_ci7,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Coefficient_ofvariation_%,Ace_ngg,207.52,Unknown,table_p4_ri4_ci8,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Detectionrate_%,Ace_ngg,16.67,Unknown,table_p4_ri4_ci9,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Number_of,Flu_ngg,3.0,Unknown,table_p4_ri5_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Toxicity_equivalent,Flu_ngg,0.001,Unknown,table_p4_ri5_ci3,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Maximum,Flu_ngg,0.27,Unknown,table_p4_ri5_ci5,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Standard,Flu_ngg,0.05,Unknown,table_p4_ri5_ci7,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Coefficient_ofvariation_%,Flu_ngg,185.54,Unknown,table_p4_ri5_ci8,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Detectionrate_%,Flu_ngg,37.04,Unknown,table_p4_ri5_ci9,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Number_of,Phe_ngg,3.0,Unknown,table_p4_ri6_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Toxicity_equivalent,Phe_ngg,0.001,Unknown,table_p4_ri6_ci3,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Maximum,Phe_ngg,1.67,Unknown,table_p4_ri6_ci5,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Standard,Phe_ngg,0.31,Unknown,table_p4_ri6_ci7,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Coefficient_ofvariation_%,Phe_ngg,178.36,Unknown,table_p4_ri6_ci8,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Detectionrate_%,Phe_ngg,94.44,Unknown,table_p4_ri6_ci9,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Number_of,Ant_ngg,3.0,Unknown,table_p4_ri7_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Toxicity_equivalent,Ant_ngg,0.01,Unknown,table_p4_ri7_ci3,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Maximum,Ant_ngg,0.19,Unknown,table_p4_ri7_ci5,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Standard,Ant_ngg,0.04,Unknown,table_p4_ri7_ci7,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Coefficient_ofvariation_%,Ant_ngg,182.24,Unknown,table_p4_ri7_ci8,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Detectionrate_%,Ant_ngg,31.48,Unknown,table_p4_ri7_ci9,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Number_of,Flt_ngg,4.0,Unknown,table_p4_ri8_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Toxicity_equivalent,Flt_ngg,0.001,Unknown,table_p4_ri8_ci3,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Maximum,Flt_ngg,1.78,Unknown,table_p4_ri8_ci5,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Standard,Flt_ngg,0.37,Unknown,table_p4_ri8_ci7,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Coefficient_ofvariation_%,Flt_ngg,184.18,Unknown,table_p4_ri8_ci8,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Detectionrate_%,Flt_ngg,83.33,Unknown,table_p4_ri8_ci9,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Number_of,Pyr_ngg,4.0,Unknown,table_p4_ri9_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Toxicity_equivalent,Pyr_ngg,0.001,Unknown,table_p4_ri9_ci3,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Maximum,Pyr_ngg,2.18,Unknown,table_p4_ri9_ci5,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Standard,Pyr_ngg,0.47,Unknown,table_p4_ri9_ci7,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Coefficient_ofvariation_%,Pyr_ngg,192.58,Unknown,table_p4_ri9_ci8,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Detectionrate_%,Pyr_ngg,81.48,Unknown,table_p4_ri9_ci9,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Number_of,Ant_ngg,4.0,Unknown,table_p4_ri10_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Toxicity_equivalent,Ant_ngg,0.1,Unknown,table_p4_ri10_ci3,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Maximum,Ant_ngg,0.96,Unknown,table_p4_ri10_ci5,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Standard,Ant_ngg,0.2,Unknown,table_p4_ri10_ci7,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Coefficient_ofvariation_%,Ant_ngg,200.43,Unknown,table_p4_ri10_ci8,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Detectionrate_%,Ant_ngg,74.07,Unknown,table_p4_ri10_ci9,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Number_of,Chr_ngg,4.0,Unknown,table_p4_ri11_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Toxicity_equivalent,Chr_ngg,0.01,Unknown,table_p4_ri11_ci3,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Maximum,Chr_ngg,1.37,Unknown,table_p4_ri11_ci5,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Standard,Chr_ngg,0.29,Unknown,table_p4_ri11_ci7,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Coefficient_ofvariation_%,Chr_ngg,186.49,Unknown,table_p4_ri11_ci8,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Detectionrate_%,Chr_ngg,83.33,Unknown,table_p4_ri11_ci9,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Number_of,Flt_ngg,5.0,Unknown,table_p4_ri12_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Toxicity_equivalent,Flt_ngg,0.1,Unknown,table_p4_ri12_ci3,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Maximum,Flt_ngg,1.76,Unknown,table_p4_ri12_ci5,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Standard,Flt_ngg,0.36,Unknown,table_p4_ri12_ci7,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Coefficient_ofvariation_%,Flt_ngg,204.23,Unknown,table_p4_ri12_ci8,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Detectionrate_%,Flt_ngg,81.48,Unknown,table_p4_ri12_ci9,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Number_of,Flt_ngg,5.0,Unknown,table_p4_ri13_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Toxicity_equivalent,Flt_ngg,0.1,Unknown,table_p4_ri13_ci3,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Maximum,Flt_ngg,1.02,Unknown,table_p4_ri13_ci5,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Standard,Flt_ngg,0.17,Unknown,table_p4_ri13_ci7,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Coefficient_ofvariation_%,Flt_ngg,199.4,Unknown,table_p4_ri13_ci8,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Detectionrate_%,Flt_ngg,75.93,Unknown,table_p4_ri13_ci9,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Number_of,Pyr_ngg,5.0,Unknown,table_p4_ri14_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Toxicity_equivalent,Pyr_ngg,1.0,Unknown,table_p4_ri14_ci3,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Maximum,Pyr_ngg,1.45,Unknown,table_p4_ri14_ci5,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Standard,Pyr_ngg,0.3,Unknown,table_p4_ri14_ci7,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Coefficient_ofvariation_%,Pyr_ngg,212.97,Unknown,table_p4_ri14_ci8,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Detectionrate_%,Pyr_ngg,72.22,Unknown,table_p4_ri14_ci9,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Number_of,Ant_ngg,5.0,Unknown,table_p4_ri15_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Toxicity_equivalent,Ant_ngg,1.0,Unknown,table_p4_ri15_ci3,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Maximum,Ant_ngg,0.3,Unknown,table_p4_ri15_ci5,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Standard,Ant_ngg,0.05,Unknown,table_p4_ri15_ci7,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Coefficient_ofvariation_%,Ant_ngg,209.12,Unknown,table_p4_ri15_ci8,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Detectionrate_%,Ant_ngg,35.19,Unknown,table_p4_ri15_ci9,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Number_of,Pyr_ngg,6.0,Unknown,table_p4_ri17_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Number_of,Cd_mgkg,6.0,Unknown,table_p4_ri17_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Toxicity_equivalent,Pyr_ngg,0.1,Unknown,table_p4_ri17_ci3,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Maximum,Pyr_ngg,1.48,Unknown,table_p4_ri17_ci5,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Maximum,Cd_mgkg,1.48,Unknown,table_p4_ri17_ci5,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Standard,Pyr_ngg,0.27,Unknown,table_p4_ri17_ci7,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Coefficient_ofvariation_%,Pyr_ngg,198.39,Unknown,table_p4_ri17_ci8,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Coefficient_ofvariation_%,Cd_mgkg,198.39,Unknown,table_p4_ri17_ci8,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Detectionrate_%,Pyr_ngg,74.07,Unknown,table_p4_ri17_ci9,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Detectionrate_%,Cd_mgkg,74.07,Unknown,table_p4_ri17_ci9,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Minimum,Sum_PAH_ngg,16.07,Unknown,table_p4_ri18_ci4,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Maximum,Sum_PAH_ngg,1.78,Unknown,table_p4_ri18_ci5,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Standard,Sum_PAH_ngg,184.52,Unknown,table_p4_ri18_ci7,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Coefficient_ofvariation_%,Sum_PAH_ngg,62.62,Unknown,table_p4_ri18_ci8,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_One-factor_index,Nap_ngg,0.0055,Unknown,table_p6_ri2_ci1,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Nemero_composite_index,Nap_ngg,0.0007,Unknown,table_p6_ri2_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Pollution_level,Nap_ngg,0.0039,Unknown,table_p6_ri2_ci3,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_One-factor_index,BaA_ngg,0.064,Unknown,table_p6_ri3_ci1,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
Yong-Jiang Zhang 等 - 2023 - Spatial distribution c,Yong-Jiang Zhang 等 - 2023 - Spatial distribution c_Nemero_composite_index,BaA_ngg,0.0076,Unknown,table_p6_ri3_ci2,soil,,,phase14_batch2; matrix=score=122:high; conf=high; flag=,,
