paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s00477-022-02299-8,s00477-022-02299-8_Onion_root,Ace_ngg,17.59,Unknown,table_p6_ri3_ci2,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Cabbage,Ace_ngg,7.42,Unknown,table_p6_ri3_ci3,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Coriander,Ace_ngg,8.69,Unknown,table_p6_ri3_ci4,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Beans,Ace_ngg,10.11,Unknown,table_p6_ri3_ci5,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Spinach,Ace_ngg,6.36,Unknown,table_p6_ri3_ci6,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Celery,Ace_ngg,8.61,Unknown,table_p6_ri3_ci7,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Lettuce,Ace_ngg,5.35,Unknown,table_p6_ri3_ci8,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_fruit,Ace_ngg,4.52,Unknown,table_p6_ri3_ci9,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_leaves,Ace_ngg,24.11,Unknown,table_p6_ri3_ci10,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_root,Ace_ngg,9.43,Unknown,table_p6_ri3_ci11,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Onion,Flu_ngg,109.01,Unknown,table_p6_ri4_ci1,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Onion_root,Flu_ngg,79.69,Unknown,table_p6_ri4_ci2,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Cabbage,Flu_ngg,38.27,Unknown,table_p6_ri4_ci3,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Coriander,Flu_ngg,27.27,Unknown,table_p6_ri4_ci4,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Beans,Flu_ngg,26.47,Unknown,table_p6_ri4_ci5,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Spinach,Flu_ngg,26.74,Unknown,table_p6_ri4_ci6,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Celery,Flu_ngg,20.25,Unknown,table_p6_ri4_ci7,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Lettuce,Flu_ngg,26.35,Unknown,table_p6_ri4_ci8,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_fruit,Flu_ngg,29.5,Unknown,table_p6_ri4_ci9,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_leaves,Flu_ngg,44.35,Unknown,table_p6_ri4_ci10,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_root,Flu_ngg,34.91,Unknown,table_p6_ri4_ci11,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Onion,Phe_ngg,208.56,Unknown,table_p6_ri5_ci1,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Onion_root,Phe_ngg,181.11,Unknown,table_p6_ri5_ci2,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Cabbage,Phe_ngg,225.42,Unknown,table_p6_ri5_ci3,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Coriander,Phe_ngg,96.84,Unknown,table_p6_ri5_ci4,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Beans,Phe_ngg,136.48,Unknown,table_p6_ri5_ci5,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Spinach,Phe_ngg,106.99,Unknown,table_p6_ri5_ci6,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Celery,Phe_ngg,60.23,Unknown,table_p6_ri5_ci7,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Lettuce,Phe_ngg,222.84,Unknown,table_p6_ri5_ci8,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_fruit,Phe_ngg,135.64,Unknown,table_p6_ri5_ci9,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
