paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,Nap_ngg,2.95,Unknown,table_p3_ri1_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Max,Phe_ngg,478.0,Unknown,table_p3_ri7_ci2,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Mean,Phe_ngg,140.0,Unknown,table_p3_ri7_ci3,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Median,Phe_ngg,87.6,Unknown,table_p3_ri7_ci4,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_SD,Phe_ngg,122.0,Unknown,table_p3_ri7_ci5,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,Ant_ngg,1.01,Unknown,table_p3_ri8_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Max,Ant_ngg,133.0,Unknown,table_p3_ri8_ci2,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Mean,Ant_ngg,30.1,Unknown,table_p3_ri8_ci3,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Median,Ant_ngg,15.2,Unknown,table_p3_ri8_ci4,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_SD,Ant_ngg,32.3,Unknown,table_p3_ri8_ci5,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,Flu_ngg,11.1,Unknown,table_p3_ri10_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Max,Flu_ngg,1260.0,Unknown,table_p3_ri10_ci2,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Mean,Flu_ngg,323.0,Unknown,table_p3_ri10_ci3,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Median,Flu_ngg,197.0,Unknown,table_p3_ri10_ci4,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_SD,Flu_ngg,314.0,Unknown,table_p3_ri10_ci5,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,Pyr_ngg,8.21,Unknown,table_p3_ri11_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Max,Pyr_ngg,1140.0,Unknown,table_p3_ri11_ci2,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Mean,Pyr_ngg,276.0,Unknown,table_p3_ri11_ci3,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Median,Pyr_ngg,169.0,Unknown,table_p3_ri11_ci4,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_SD,Pyr_ngg,267.0,Unknown,table_p3_ri11_ci5,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,BaA_ngg,2.25,Unknown,table_p3_ri12_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Max,BaA_ngg,1540.0,Unknown,table_p3_ri12_ci2,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Mean,BaA_ngg,256.0,Unknown,table_p3_ri12_ci3,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Median,BaA_ngg,119.0,Unknown,table_p3_ri12_ci4,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_SD,BaA_ngg,327.0,Unknown,table_p3_ri12_ci5,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,Chr_ngg,6.98,Unknown,table_p3_ri13_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Max,Chr_ngg,608.0,Unknown,table_p3_ri13_ci2,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Mean,Chr_ngg,173.0,Unknown,table_p3_ri13_ci3,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Median,Chr_ngg,132.0,Unknown,table_p3_ri13_ci4,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_SD,Chr_ngg,160.0,Unknown,table_p3_ri13_ci5,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,BbF_ngg,12.7,Unknown,table_p3_ri14_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Max,BbF_ngg,1190.0,Unknown,table_p3_ri14_ci2,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Mean,BbF_ngg,249.0,Unknown,table_p3_ri14_ci3,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Median,BbF_ngg,186.0,Unknown,table_p3_ri14_ci4,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_SD,BbF_ngg,249.0,Unknown,table_p3_ri14_ci5,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,BkF_ngg,5.37,Unknown,table_p3_ri15_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Max,BkF_ngg,381.0,Unknown,table_p3_ri15_ci2,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Mean,BkF_ngg,104.0,Unknown,table_p3_ri15_ci3,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Median,BkF_ngg,77.4,Unknown,table_p3_ri15_ci4,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_SD,BkF_ngg,86.0,Unknown,table_p3_ri15_ci5,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,BaP_ngg,3.17,Unknown,table_p3_ri17_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Max,BaP_ngg,530.0,Unknown,table_p3_ri17_ci2,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Mean,BaP_ngg,145.0,Unknown,table_p3_ri17_ci3,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Median,BaP_ngg,99.8,Unknown,table_p3_ri17_ci4,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_SD,BaP_ngg,129.0,Unknown,table_p3_ri17_ci5,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,BghiP_ngg,6.28,Unknown,table_p3_ri21_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Max,BghiP_ngg,414.0,Unknown,table_p3_ri21_ci2,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Mean,BghiP_ngg,113.0,Unknown,table_p3_ri21_ci3,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Median,BghiP_ngg,68.1,Unknown,table_p3_ri21_ci4,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_SD,BghiP_ngg,104.0,Unknown,table_p3_ri21_ci5,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,Sum_PAH_ngg,130.0,Unknown,table_p3_ri27_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Max,Sum_PAH_ngg,8600.0,Unknown,table_p3_ri27_ci2,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Mean,Sum_PAH_ngg,2400.0,Unknown,table_p3_ri27_ci3,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Median,Sum_PAH_ngg,1800.0,Unknown,table_p3_ri27_ci4,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_SD,Sum_PAH_ngg,2120.0,Unknown,table_p3_ri27_ci5,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,Sum_PAH_ngg,83.3,Unknown,table_p3_ri28_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Max,Sum_PAH_ngg,7220.0,Unknown,table_p3_ri28_ci2,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Mean,Sum_PAH_ngg,1970.0,Unknown,table_p3_ri28_ci3,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Median,Sum_PAH_ngg,1450.0,Unknown,table_p3_ri28_ci4,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_SD,Sum_PAH_ngg,1780.0,Unknown,table_p3_ri28_ci5,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Min,Sum_PAH_ngg,38.8,Unknown,table_p3_ri29_ci1,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Max,Sum_PAH_ngg,3880.0,Unknown,table_p3_ri29_ci2,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Mean,Sum_PAH_ngg,1040.0,Unknown,table_p3_ri29_ci3,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_Median,Sum_PAH_ngg,795.0,Unknown,table_p3_ri29_ci4,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
j.scitotenv.2012.12.086,j.scitotenv.2012.12.086_SD,Sum_PAH_ngg,965.0,Unknown,table_p3_ri29_ci5,soil,,,phase14_batch2; matrix=score=161:high; conf=medium; flag=,,
