paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Residential,BaA_ngg,0.05,Unknown,table_p3_ri8_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coke_oven,BaA_ngg,0.11,Unknown,table_p3_ri8_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Gasoline,BaA_ngg,0.07,Unknown,table_p3_ri8_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Diesel,BaA_ngg,0.03,Unknown,table_p3_ri8_ci5,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Tunnel,BaA_ngg,0.06,Unknown,table_p3_ri8_ci6,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Irrigation,BaA_ngg,0.11,Unknown,table_p3_ri8_ci7,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Power_plant,Chr_ngg,0.2,Unknown,table_p3_ri9_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Residential,Chr_ngg,0.07,Unknown,table_p3_ri9_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coke_oven,Chr_ngg,0.12,Unknown,table_p3_ri9_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Gasoline,Chr_ngg,0.1,Unknown,table_p3_ri9_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Diesel,Chr_ngg,0.09,Unknown,table_p3_ri9_ci5,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Tunnel,Chr_ngg,0.1,Unknown,table_p3_ri9_ci6,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Power_plant,BbF_ngg,0.08,Unknown,table_p3_ri10_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Residential,BbF_ngg,0.07,Unknown,table_p3_ri10_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coke_oven,BbF_ngg,0.13,Unknown,table_p3_ri10_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Gasoline,BbF_ngg,0.08,Unknown,table_p3_ri10_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Diesel,BbF_ngg,0.04,Unknown,table_p3_ri10_ci5,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Tunnel,BbF_ngg,0.09,Unknown,table_p3_ri10_ci6,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Irrigation,BbF_ngg,0.15,Unknown,table_p3_ri10_ci7,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Power_plant,BkF_ngg,0.02,Unknown,table_p3_ri11_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Residential,BkF_ngg,0.03,Unknown,table_p3_ri11_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coke_oven,BkF_ngg,0.08,Unknown,table_p3_ri11_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Gasoline,BkF_ngg,0.06,Unknown,table_p3_ri11_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Diesel,BkF_ngg,0.02,Unknown,table_p3_ri11_ci5,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Tunnel,BkF_ngg,0.06,Unknown,table_p3_ri11_ci6,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Irrigation,BkF_ngg,0.05,Unknown,table_p3_ri11_ci7,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Power_plant,BaP_ngg,0.04,Unknown,table_p3_ri12_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Residential,BaP_ngg,0.03,Unknown,table_p3_ri12_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coke_oven,BaP_ngg,0.1,Unknown,table_p3_ri12_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Gasoline,BaP_ngg,0.06,Unknown,table_p3_ri12_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Diesel,BaP_ngg,0.03,Unknown,table_p3_ri12_ci5,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Tunnel,BaP_ngg,0.07,Unknown,table_p3_ri12_ci6,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Irrigation,BaP_ngg,0.06,Unknown,table_p3_ri12_ci7,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Power_plant,Ind_ngg,0.03,Unknown,table_p3_ri13_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Residential,Ind_ngg,0.02,Unknown,table_p3_ri13_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coke_oven,Ind_ngg,0.04,Unknown,table_p3_ri13_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Gasoline,Ind_ngg,0.03,Unknown,table_p3_ri13_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Diesel,Ind_ngg,0.03,Unknown,table_p3_ri13_ci5,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
