paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Cd_mgkg,0.03,Unknown,table_p5_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,Flt_ngg,260000.0,Unknown,table_p5_ri6_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Pyr_ngg,3.68,Unknown,table_p5_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Pyr_ngg,150.0,Unknown,table_p5_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Pyr_ngg,1.62,Unknown,table_p5_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Pyr_ngg,1.97,Unknown,table_p5_ri7_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,Pyr_ngg,116.0,Unknown,table_p5_ri7_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,BaA_ngg,0.382,Unknown,table_p5_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,BaA_ngg,86.3,Unknown,table_p5_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,BaA_ngg,1.79,Unknown,table_p5_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,BaA_ngg,2.51,Unknown,table_p5_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,BaA_ngg,135.0,Unknown,table_p5_ri8_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,BaA_ngg,2500.0,Unknown,table_p5_ri8_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Chr_ngg,1.57,Unknown,table_p5_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Chr_ngg,121.0,Unknown,table_p5_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Chr_ngg,1.78,Unknown,table_p5_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Chr_ngg,2.99,Unknown,table_p5_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,Chr_ngg,113.0,Unknown,table_p5_ri9_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,Chr_ngg,35000.0,Unknown,table_p5_ri9_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,BbF_ngg,1.03,Unknown,table_p5_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,BbF_ngg,15554.8,Unknown,table_p5_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,BbF_ngg,1.85,Unknown,table_p5_ri10_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,BbF_ngg,3.26,Unknown,table_p5_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,BbF_ngg,123.0,Unknown,table_p5_ri10_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,BkF_ngg,121.0,Unknown,table_p5_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,BkF_ngg,1.61,Unknown,table_p5_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,BkF_ngg,2.39,Unknown,table_p5_ri11_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,BkF_ngg,109117.0,Unknown,table_p5_ri11_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,BkF_ngg,38000.0,Unknown,table_p5_ri11_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,BaP_ngg,0.331,Unknown,table_p5_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,BaP_ngg,123.0,Unknown,table_p5_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,BaP_ngg,105.0,Unknown,table_p5_ri12_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,BaP_ngg,7000.0,Unknown,table_p5_ri12_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,Ind_ngg,0.125,Unknown,table_p5_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,Ind_ngg,25.4,Unknown,table_p5_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,Ind_ngg,1.58,Unknown,table_p5_ri13_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,Ind_ngg,2.54,Unknown,table_p5_ri13_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,Ind_ngg,103.0,Unknown,table_p5_ri13_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Dutch_standards_(Ecotoxicological_Serious_Risk_Concentrations)b,Ind_ngg,1900.0,Unknown,table_p5_ri13_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Minimum,BghiP_ngg,0.775,Unknown,table_p5_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Maximum,BghiP_ngg,126.0,Unknown,table_p5_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Skewness,BghiP_ngg,1.35,Unknown,table_p5_ri14_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Kurtosis,BghiP_ngg,1.81,Unknown,table_p5_ri14_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_CV(%)_Chinese_standards_(Screening_values_Grade_II)a,BghiP_ngg,94.2,Unknown,table_p5_ri14_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Cd_mgkg,0.17,Unknown,table_p5_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Cu_mgkg,18.8,Unknown,table_p5_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Hg_mgkg,0.1,Unknown,table_p5_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Pb_mgkg,95.6,Unknown,table_p5_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Zn_mgkg,97.3,Unknown,table_p5_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Flt_ngg,22.1,Unknown,table_p5_ri1_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Pyr_ngg,19.9,Unknown,table_p5_ri1_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),BaA_ngg,7.58,Unknown,table_p5_ri1_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Chr_ngg,14.8,Unknown,table_p5_ri1_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),BbF_ngg,17.7,Unknown,table_p5_ri1_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),BkF_ngg,7.8,Unknown,table_p5_ri1_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),BaP_ngg,15.4,Unknown,table_p5_ri1_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),Ind_ngg,20.8,Unknown,table_p5_ri1_ci13,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Median_(this_study),BghiP_ngg,29.2,Unknown,table_p5_ri1_ci15,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_anthropogenic_background_range_(Median,Cd_mgkg,0.314,Unknown,table_p5_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_anthropogenic_background_range_(Median,Cu_mgkg,31.1,Unknown,table_p5_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_anthropogenic_background_range_(Median,Hg_mgkg,0.208,Unknown,table_p5_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_anthropogenic_background_range_(Median,Pb_mgkg,180.0,Unknown,table_p5_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_anthropogenic_background_range_(Median,Zn_mgkg,167.0,Unknown,table_p5_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_anthropogenic_background_range_(Median,Flt_ngg,56.0,Unknown,table_p5_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_anthropogenic_background_range_(Median,Pyr_ngg,51.0,Unknown,table_p5_ri2_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_anthropogenic_background_range_(Median,BaA_ngg,20.9,Unknown,table_p5_ri2_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_anthropogenic_background_range_(Median,Chr_ngg,36.4,Unknown,table_p5_ri2_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_anthropogenic_background_range_(Median,BbF_ngg,46.5,Unknown,table_p5_ri2_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_anthropogenic_background_range_(Median,BkF_ngg,20.1,Unknown,table_p5_ri2_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_anthropogenic_background_range_(Median,BaP_ngg,42.0,Unknown,table_p5_ri2_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_anthropogenic_background_range_(Median,Ind_ngg,55.4,Unknown,table_p5_ri2_ci13,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_Upper_limit_of_anthropogenic_background_range_(Median,BghiP_ngg,72.5,Unknown,table_p5_ri2_ci15,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_W,Cd_mgkg,0.0492,Unknown,table_p6_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_W,Cu_mgkg,0.0693,Unknown,table_p6_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_W,Hg_mgkg,0.142,Unknown,table_p6_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_W,Pb_mgkg,0.0643,Unknown,table_p6_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_W,Zn_mgkg,0.0614,Unknown,table_p6_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_W,Flt_ngg,0.0765,Unknown,table_p6_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_W,Pyr_ngg,0.0665,Unknown,table_p6_ri4_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_W,BaA_ngg,0.0847,Unknown,table_p6_ri4_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_W,Chr_ngg,0.068,Unknown,table_p6_ri4_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_W,BbF_ngg,0.0701,Unknown,table_p6_ri4_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_W,BkF_ngg,0.0601,Unknown,table_p6_ri4_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_W,BaP_ngg,0.0548,Unknown,table_p6_ri4_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_W,Ind_ngg,0.0448,Unknown,table_p6_ri4_ci13,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_W,BghiP_ngg,0.0401,Unknown,table_p6_ri4_ci15,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2021.146263,_dup_j.scitotenv.2021.146263_W,Sum_PAH_ngg,0.613,Unknown,table_p6_ri4_ci17,soil,agricultural,,phase14_auto; confidence=high; flag=,,
