paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
15320383.2015.958212,15320383.2015.958212_Max.,Cd_mgkg,0.348,Unknown,table_p14_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_STDEV,Pyr_ngg,0.064,Unknown,table_p14_ri14_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_STDEV,Cd_mgkg,0.064,Unknown,table_p14_ri14_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Min.,Ant_ngg,0.001,Unknown,table_p14_ri15_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Max.,Ant_ngg,0.775,Unknown,table_p14_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_STDEV,Ant_ngg,0.133,Unknown,table_p14_ri15_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Component_1_(88.27%),Nap_ngg,0.9,Unknown,table_p16_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Component_1_(88.27%),Acy_ngg,0.287,Unknown,table_p16_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Component_1_(88.27%),Ace_ngg,0.842,Unknown,table_p16_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Component_1_(88.27%),Flu_ngg,0.968,Unknown,table_p16_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Component_1_(88.27%),Phe_ngg,0.992,Unknown,table_p16_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Component_1_(88.27%),Ant_ngg,0.923,Unknown,table_p16_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Component_1_(88.27%),Flt_ngg,0.981,Unknown,table_p16_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Component_1_(88.27%),Pyr_ngg,0.989,Unknown,table_p16_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Component_1_(88.27%),Ant_ngg,0.99,Unknown,table_p16_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Component_1_(88.27%),Chr_ngg,0.991,Unknown,table_p16_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Component_1_(88.27%),Flt_ngg,0.994,Unknown,table_p16_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Component_1_(88.27%),Flt_ngg,0.992,Unknown,table_p16_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Component_1_(88.27%),Pyr_ngg,0.991,Unknown,table_p16_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Component_1_(88.27%),Pyr_ngg,0.97,Unknown,table_p16_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Component_1_(88.27%),Cd_mgkg,0.97,Unknown,table_p16_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2015.958212,15320383.2015.958212_Component_1_(88.27%),Ant_ngg,0.989,Unknown,table_p16_ri15_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
