paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
toxics-14-00049,toxics-14-00049_Enrichment_factor,Be_mgkg,1.47,Unknown,table_p7_ri10_ci11,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_T00_(Background_value)__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,As_mgkg,9.0,Unknown,table_p9_ri1_ci1,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_T00_(Background_value)__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Cu_mgkg,33.0,Unknown,table_p9_ri1_ci3,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_T00_(Background_value)__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Pb_mgkg,19.7,Unknown,table_p9_ri1_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_T00_(Background_value)__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Ni_mgkg,108.0,Unknown,table_p9_ri1_ci6,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_T00_(Background_value)__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Mn_mgkg,330.0,Unknown,table_p9_ri1_ci8,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_T00_(Background_value)__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Co_mgkg,14.1,Unknown,table_p9_ri1_ci9,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_T00_(Background_value)__$\left(_\mu_\mathrm_{_g_}_/_\mathrm_{_g_}_\right)$,Be_mgkg,1.66,Unknown,table_p9_ri1_ci11,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),As_mgkg,100.0,Unknown,table_p9_ri1_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),Cd_mgkg,100.0,Unknown,table_p9_ri2_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),Cu_mgkg,100.0,Unknown,table_p9_ri3_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),Pb_mgkg,100.0,Unknown,table_p9_ri4_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),Hg_mgkg,100.0,Unknown,table_p9_ri5_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),Ni_mgkg,100.0,Unknown,table_p9_ri6_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),Zn_mgkg,100.0,Unknown,table_p9_ri7_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),Mn_mgkg,100.0,Unknown,table_p9_ri8_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),Co_mgkg,100.0,Unknown,table_p9_ri9_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),Be_mgkg,100.0,Unknown,table_p9_ri11_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),As_mgkg,100.0,Unknown,table_p10_ri1_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),Cd_mgkg,50.0,Unknown,table_p10_ri2_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Moderate_(%),Cd_mgkg,50.0,Unknown,table_p10_ri2_ci5,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),Cu_mgkg,100.0,Unknown,table_p10_ri3_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),Pb_mgkg,100.0,Unknown,table_p10_ri4_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),Hg_mgkg,25.0,Unknown,table_p10_ri5_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Moderate_(%),Hg_mgkg,50.0,Unknown,table_p10_ri5_ci5,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Intense_(%),Hg_mgkg,25.0,Unknown,table_p10_ri5_ci6,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),Ni_mgkg,100.0,Unknown,table_p10_ri6_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),Zn_mgkg,100.0,Unknown,table_p10_ri7_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
