paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s11356-021-15781-7,s11356-021-15781-7_Minimum,BbF_ngg,0.025,Unknown,table_p7_ri2_ci3,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Standard_deviation_(SD),BbF_ngg,1.145,Unknown,table_p7_ri2_ci5,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Maximum,BaP_ngg,11.0,Unknown,table_p7_ri3_ci2,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Minimum,BaP_ngg,0.025,Unknown,table_p7_ri3_ci3,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Standard_deviation_(SD),BaP_ngg,0.382,Unknown,table_p7_ri3_ci5,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Carcinogenic_risk,BaA_ngg,16.8,Unknown,table_p8_ri3_ci1,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Carcinogenic_risk,BbF_ngg,20.8,Unknown,table_p8_ri4_ci1,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Carcinogenic_risk,BaP_ngg,11.0,Unknown,table_p8_ri5_ci1,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Maximum,BaA_ngg,4.8e-06,Unknown,table_p9_ri2_ci1,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Minimum,BaA_ngg,3.03e-08,Unknown,table_p9_ri2_ci2,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Percentile,BaA_ngg,1.68e-07,Unknown,table_p9_ri2_ci5,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Maximum,BbF_ngg,7.16e-05,Unknown,table_p9_ri3_ci1,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Minimum,BbF_ngg,3.83e-07,Unknown,table_p9_ri3_ci2,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Percentile,BbF_ngg,2.36e-06,Unknown,table_p9_ri3_ci5,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Maximum,BaP_ngg,0.000388,Unknown,table_p9_ri4_ci1,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Minimum,BaP_ngg,2.22e-06,Unknown,table_p9_ri4_ci2,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
s11356-021-15781-7,s11356-021-15781-7_Percentile,BaP_ngg,1.2e-05,Unknown,table_p9_ri4_ci5,soil,,,phase14_batch2; matrix=score=97:high; conf=high; flag=,,
