paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
10807039.2015.1104627,10807039.2015.1104627_S2,DahA_ngg,3.39,Unknown,table_p31_ri2_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S2,Cr_mgkg,3.39,Unknown,table_p31_ri2_ci9,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S3,DahA_ngg,3.27,Unknown,table_p31_ri3_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S3,Cr_mgkg,8.77,Unknown,table_p31_ri3_ci9,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_Ingestion,DahA_ngg,2.1,Unknown,table_p31_ri4_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_Ingestion,Cr_mgkg,2.1,Unknown,table_p31_ri4_ci9,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S5,DahA_ngg,1.96,Unknown,table_p31_ri5_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S5,Cr_mgkg,6.6,Unknown,table_p31_ri5_ci9,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S6,DahA_ngg,1.17,Unknown,table_p31_ri6_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S6,Cr_mgkg,5.45,Unknown,table_p31_ri6_ci9,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S7,DahA_ngg,1.75,Unknown,table_p31_ri7_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2015.1104627,10807039.2015.1104627_S7,Cr_mgkg,1.75,Unknown,table_p31_ri7_ci9,soil,other,,phase14_auto; confidence=high; flag=,,
