paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
b1240206,b1240206_Structure_(#_of_rings),Pyr_ngg,5.0,Unknown,table_p39_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Molecular_weight_(g/mole),Pyr_ngg,252.32,Unknown,table_p39_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Solubility_(mg/L),Pyr_ngg,0.00038,Unknown,table_p39_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Vapor_pressure_(mm_Hg),Pyr_ngg,4.89e-09,Unknown,table_p39_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Structure_(#_of_rings),Flt_ngg,5.0,Unknown,table_p39_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Molecular_weight_(g/mole),Flt_ngg,252.32,Unknown,table_p39_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Solubility_(mg/L),Flt_ngg,0.0015,Unknown,table_p39_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Vapor_pressure_(mm_Hg),Flt_ngg,8.06e-08,Unknown,table_p39_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Structure_(#_of_rings),Flt_ngg,5.0,Unknown,table_p39_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Molecular_weight_(g/mole),Flt_ngg,252.32,Unknown,table_p39_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Solubility_(mg/L),Flt_ngg,0.0008,Unknown,table_p39_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Vapor_pressure_(mm_Hg),Flt_ngg,9.59e-11,Unknown,table_p39_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Structure_(#_of_rings),Ant_ngg,6.0,Unknown,table_p39_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Molecular_weight_(g/mole),Ant_ngg,278.35,Unknown,table_p39_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Solubility_(mg/L),Ant_ngg,0.0005,Unknown,table_p39_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Vapor_pressure_(mm_Hg),Ant_ngg,2.1e-11,Unknown,table_p39_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Structure_(#_of_rings),Pyr_ngg,6.0,Unknown,table_p39_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Structure_(#_of_rings),Cd_mgkg,6.0,Unknown,table_p39_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Molecular_weight_(g/mole),Pyr_ngg,276.34,Unknown,table_p39_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Molecular_weight_(g/mole),Cd_mgkg,276.34,Unknown,table_p39_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Solubility_(mg/L),Pyr_ngg,0.062,Unknown,table_p39_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Solubility_(mg/L),Cd_mgkg,0.062,Unknown,table_p39_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Vapor_pressure_(mm_Hg),Pyr_ngg,1.4e-10,Unknown,table_p39_ri16_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
b1240206,b1240206_Vapor_pressure_(mm_Hg),Cd_mgkg,1.4e-10,Unknown,table_p39_ri16_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
