paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,Ant_ngg,46.77,Unknown,table_p4_ri18_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,Ant_ngg,14.28,Unknown,table_p4_ri18_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_B(a)P_PEF,Pyr_ngg,0.1,Unknown,table_p4_ri20_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_B(a)P_PEF,Cd_mgkg,0.1,Unknown,table_p4_ri20_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Pyr_ngg,7.54,Unknown,table_p4_ri20_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Cd_mgkg,7.54,Unknown,table_p4_ri20_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,Pyr_ngg,7.08,Unknown,table_p4_ri20_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,Cd_mgkg,7.08,Unknown,table_p4_ri20_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,Pyr_ngg,209.5,Unknown,table_p4_ri20_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,Cd_mgkg,209.5,Unknown,table_p4_ri20_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
