paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
211%252F2017-swr,211%252F2017-swr_Northeast,Ni_mgkg,23.5,Unknown,table_p4_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_East,Ni_mgkg,29.4,Unknown,table_p4_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_South_central,Ni_mgkg,43.3,Unknown,table_p4_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Southwest,Ni_mgkg,25.2,Unknown,table_p4_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northwest,Ni_mgkg,40.6,Unknown,table_p4_ri7_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Recommended_value,Ni_mgkg,50.0,Unknown,table_p4_ri7_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_North,Pb_mgkg,24.9,Unknown,table_p4_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northeast,Pb_mgkg,50.2,Unknown,table_p4_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_East,Pb_mgkg,43.9,Unknown,table_p4_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_South_central,Pb_mgkg,75.4,Unknown,table_p4_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Southwest,Pb_mgkg,38.6,Unknown,table_p4_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northwest,Pb_mgkg,39.5,Unknown,table_p4_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Recommended_value,Pb_mgkg,300.0,Unknown,table_p4_ri8_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_North,SumHCH_ngg,0.05,Unknown,table_p4_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northeast,SumHCH_ngg,0.01,Unknown,table_p4_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_East,SumHCH_ngg,0.01,Unknown,table_p4_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_South_central,SumHCH_ngg,0.02,Unknown,table_p4_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Southwest,SumHCH_ngg,0.0,Unknown,table_p4_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northwest,SumHCH_ngg,0.0,Unknown,table_p4_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Recommended_value,SumHCH_ngg,0.5,Unknown,table_p4_ri9_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_North,SumDDT_ngg,0.02,Unknown,table_p4_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northeast,SumDDT_ngg,0.02,Unknown,table_p4_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_East,SumDDT_ngg,0.05,Unknown,table_p4_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_South_central,SumDDT_ngg,0.01,Unknown,table_p4_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Southwest,SumDDT_ngg,0.0,Unknown,table_p4_ri10_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northwest,SumDDT_ngg,0.0,Unknown,table_p4_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Recommended_value,SumDDT_ngg,0.5,Unknown,table_p4_ri10_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_North,Cd_mgkg,12.9,Unknown,table_p5_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northeast,Cd_mgkg,36.8,Unknown,table_p5_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_East,Cd_mgkg,21.9,Unknown,table_p5_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_South_central,Cd_mgkg,42.1,Unknown,table_p5_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Southwest,Cd_mgkg,41.4,Unknown,table_p5_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northwest,Cd_mgkg,55.6,Unknown,table_p5_ri1_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_North,As_mgkg,0.0,Unknown,table_p5_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northeast,As_mgkg,0.0,Unknown,table_p5_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_East,As_mgkg,6.15,Unknown,table_p5_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_South_central,As_mgkg,7.14,Unknown,table_p5_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Southwest,As_mgkg,4.0,Unknown,table_p5_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northwest,As_mgkg,0.0,Unknown,table_p5_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_North,Zn_mgkg,2.22,Unknown,table_p5_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northeast,Zn_mgkg,5.88,Unknown,table_p5_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_East,Zn_mgkg,4.49,Unknown,table_p5_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_South_central,Zn_mgkg,8.82,Unknown,table_p5_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Southwest,Zn_mgkg,6.25,Unknown,table_p5_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northwest,Zn_mgkg,0.0,Unknown,table_p5_ri3_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_North,Cr_mgkg,0.0,Unknown,table_p5_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northeast,Cr_mgkg,0.0,Unknown,table_p5_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_East,Cr_mgkg,1.14,Unknown,table_p5_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_South_central,Cr_mgkg,5.26,Unknown,table_p5_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Southwest,Cr_mgkg,0.0,Unknown,table_p5_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northwest,Cr_mgkg,0.0,Unknown,table_p5_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_North,Hg_mgkg,18.9,Unknown,table_p5_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northeast,Hg_mgkg,9.52,Unknown,table_p5_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_East,Hg_mgkg,7.69,Unknown,table_p5_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_South_central,Hg_mgkg,17.4,Unknown,table_p5_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Southwest,Hg_mgkg,0.0,Unknown,table_p5_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Northwest,Hg_mgkg,28.6,Unknown,table_p5_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
