paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_\dot_{_C_}___{_P_A_H_}_}_2$_ERM(%),BaA_ngg,3.92,Unknown,table_p5_ri10_ci6,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_ERL,BaP_ngg,430.0,Unknown,table_p5_ri11_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_C___{_P_A_H_}_<_E_R_L_}$_(%),BaP_ngg,66.67,Unknown,table_p5_ri11_ci4,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_E_R_L_}_\leq_\mathbf_{_C_}___{_\mathrm_{_P_A_H_}_}_<_\mathbf_{_E_R_M_}_\_(_\%_)$,BaP_ngg,33.33,Unknown,table_p5_ri11_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_ERL,DahA_ngg,63.4,Unknown,table_p5_ri12_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_ERM,DahA_ngg,260.0,Unknown,table_p5_ri12_ci3,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_C___{_P_A_H_}_<_E_R_L_}$_(%),DahA_ngg,45.1,Unknown,table_p5_ri12_ci4,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_E_R_L_}_\leq_\mathbf_{_C_}___{_\mathrm_{_P_A_H_}_}_<_\mathbf_{_E_R_M_}_\_(_\%_)$,DahA_ngg,25.49,Unknown,table_p5_ri12_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_\dot_{_C_}___{_P_A_H_}_}_2$_ERM(%),DahA_ngg,29.41,Unknown,table_p5_ri12_ci6,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_ERM,Sum_PAH_ngg,44792.0,Unknown,table_p5_ri13_ci3,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
