paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,SumHCH_ngg,1758.0,Unknown,table_p4_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Hg_mgkg,1711.0,Unknown,table_p4_ri51_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Mn_mgkg,1762.0,Unknown,table_p4_ri52_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Ni_mgkg,1761.0,Unknown,table_p4_ri53_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Number,Pb_mgkg,1762.0,Unknown,table_p4_ri54_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_HlAdult,As_mgkg,0.291,Unknown,table_p8_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskAdult,As_mgkg,1.15,Unknown,table_p8_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskchild,As_mgkg,0.332,Unknown,table_p8_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_HlAdult,Cd_mgkg,0.197,Unknown,table_p8_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskAdult,Cd_mgkg,0.78,Unknown,table_p8_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskchild,Cd_mgkg,0.113,Unknown,table_p8_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_HlAdult,Co_mgkg,0.00238,Unknown,table_p8_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskAdult,Co_mgkg,0.00461,Unknown,table_p8_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskchild,Co_mgkg,0.00235,Unknown,table_p8_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_HlAdult,Cr_mgkg,0.0731,Unknown,table_p8_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskAdult,Cr_mgkg,0.132,Unknown,table_p8_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskchild,Cr_mgkg,0.0933,Unknown,table_p8_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_HlAdult,Cu_mgkg,0.0012,Unknown,table_p8_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskAdult,Cu_mgkg,0.00213,Unknown,table_p8_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskchild,Cu_mgkg,0.00262,Unknown,table_p8_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_HlAdult,Hg_mgkg,0.000686,Unknown,table_p8_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskAdult,Hg_mgkg,0.00179,Unknown,table_p8_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskchild,Hg_mgkg,0.00125,Unknown,table_p8_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_HlAdult,Mn_mgkg,0.042,Unknown,table_p8_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskAdult,Mn_mgkg,0.0967,Unknown,table_p8_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskchild,Mn_mgkg,0.0394,Unknown,table_p8_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_HlAdult,Ni_mgkg,0.00199,Unknown,table_p8_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskAdult,Ni_mgkg,0.00385,Unknown,table_p8_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskchild,Ni_mgkg,0.00431,Unknown,table_p8_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_HlAdult,Pb_mgkg,0.0177,Unknown,table_p8_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskAdult,Pb_mgkg,0.0338,Unknown,table_p8_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskchild,Pb_mgkg,0.0362,Unknown,table_p8_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_HlAdult,V_mgkg,0.0663,Unknown,table_p8_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskAdult,V_mgkg,0.108,Unknown,table_p8_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskchild,V_mgkg,0.0683,Unknown,table_p8_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_HlAdult,Zn_mgkg,0.000485,Unknown,table_p8_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskAdult,Zn_mgkg,0.000834,Unknown,table_p8_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskchild,Zn_mgkg,0.00103,Unknown,table_p8_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_HlAdult,SumDDT_ngg,0.0521,Unknown,table_p8_ri15_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskAdult,SumDDT_ngg,0.131,Unknown,table_p8_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskchild,SumDDT_ngg,0.072772,Unknown,table_p8_ri15_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_HlAdult,SumHCH_ngg,0.000295,Unknown,table_p8_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_HlAdult,SumHCH_ngg,0.0017,Unknown,table_p8_ri18_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskAdult,SumHCH_ngg,0.00449,Unknown,table_p8_ri18_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.ecoenv.2015.09.005,_dup_j.ecoenv.2015.09.005_Cancer_riskchild,SumHCH_ngg,0.00237,Unknown,table_p8_ri18_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
