factor_id,factor_name,track,land_use_target,standard_source,threshold_type,upper_limit,lower_limit,ideal_min,ideal_max,pH_condition,soil_texture_condition,region_condition,unit,threshold_version,evidence_level,notes
96,"1,1,1,2-四氯乙烷",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,2.6,,,2.6,,,一类用地区≤2.6mg/kg,mg/kg,V1.0,A,特殊绿地
101,"1,1,1-三氯乙烷",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,840.0,,,840.0,,,二类用地区≤840mg/kg,mg/kg,V1.0,A,一般绿地
102,"1,1,1-三氯乙烷",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,701.0,,,701.0,,,一类用地区≤701mg/kg,mg/kg,V1.0,A,特殊绿地
97,"1,1,2,2-四氯乙烷",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,6.8,,,6.8,,,二类用地区≤6.8mg/kg,mg/kg,V1.0,A,一般绿地
98,"1,1,2,2-四氯乙烷",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1.6,,,1.6,,,一类用地区≤1.6mg/kg,mg/kg,V1.0,A,特殊绿地
103,"1,1,2-三氯乙烷",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,2.8,,,2.8,,,二类用地区≤2.8mg/kg,mg/kg,V1.0,A,一般绿地
104,"1,1,2-三氯乙烷",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.6,,,0.6,,,一类用地区≤0.6mg/kg,mg/kg,V1.0,A,特殊绿地
85,"1,1-二氯乙烯",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,66.0,,,66.0,,,二类用地区≤66mg/kg,mg/kg,V1.0,A,一般绿地
86,"1,1-二氯乙烯",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,12.0,,,12.0,,,一类用地区≤12mg/kg,mg/kg,V1.0,A,特殊绿地
81,"1,1-二氯乙烷",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,9.0,,,9.0,,,二类用地区≤9mg/kg,mg/kg,V1.0,A,一般绿地
82,"1,1-二氯乙烷",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,3.0,,,3.0,,,一类用地区≤3mg/kg,mg/kg,V1.0,A,特殊绿地
107,"1,2,3-三氯丙烷",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.5,,,0.5,,,二类用地区≤0.5mg/kg,mg/kg,V1.0,A,一般绿地
108,"1,2,3-三氯丙烷",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.05,,,0.05,,,一类用地区≤0.05mg/kg,mg/kg,V1.0,A,特殊绿地
93,"1,2-二氯丙烷",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,5.0,,,5.0,,,二类用地区≤5mg/kg,mg/kg,V1.0,A,一般绿地
94,"1,2-二氯丙烷",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1.0,,,1.0,,,一类用地区≤1mg/kg,mg/kg,V1.0,A,特殊绿地
83,"1,2-二氯乙烷",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,5.0,,,5.0,,,二类用地区≤5mg/kg,mg/kg,V1.0,A,一般绿地
84,"1,2-二氯乙烷",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.52,,,0.52,,,一类用地区≤0.52mg/kg,mg/kg,V1.0,A,特殊绿地
115,"1,2-二氯苯",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,560.0,,,560.0,,,二类用地区≤560mg/kg,mg/kg,V1.0,A,一般绿地
116,"1,2-二氯苯",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,560.0,,,560.0,,,一类用地区≤560mg/kg,mg/kg,V1.0,A,特殊绿地
157,"1,2-二溴乙烷",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.24,,,0.24,,,二类用地区≤0.24mg/kg,mg/kg,V1.0,A,一般绿地
158,"1,2-二溴乙烷",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.07,,,0.07,,,一类用地区≤0.07mg/kg,mg/kg,V1.0,A,特殊绿地
117,"1,4-二氯苯",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,20.0,,,20.0,,,二类用地区≤20mg/kg,mg/kg,V1.0,A,一般绿地
118,"1,4-二氯苯",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,5.6,,,5.6,,,一类用地区≤5.6mg/kg,mg/kg,V1.0,A,特殊绿地
165,"2,4,6-三氯酚",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,137.0,,,137.0,,,二类用地区≤137mg/kg,mg/kg,V1.0,A,一般绿地
166,"2,4,6-三氯酚",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,39.0,,,39.0,,,一类用地区≤39mg/kg,mg/kg,V1.0,A,特殊绿地
163,"2,4-二氯酚",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,843.0,,,843.0,,,二类用地区≤843mg/kg,mg/kg,V1.0,A,一般绿地
164,"2,4-二氯酚",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,117.0,,,117.0,,,一类用地区≤117mg/kg,mg/kg,V1.0,A,特殊绿地
161,"2,4-二硝基甲苯",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,5.2,,,5.2,,,二类用地区≤5.2mg/kg,mg/kg,V1.0,A,一般绿地
162,"2,4-二硝基甲苯",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1.8,,,1.8,,,一类用地区≤1.8mg/kg,mg/kg,V1.0,A,特殊绿地
167,"2,4-二硝基酚",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,562.0,,,562.0,,,二类用地区≤562mg/kg,mg/kg,V1.0,A,一般绿地
168,"2,4-二硝基酚",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,78.0,,,78.0,,,一类用地区≤78mg/kg,mg/kg,V1.0,A,特殊绿地
133,2-氯酚,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,2256.0,,,2256.0,,,二类用地区≤2256mg/kg,mg/kg,V1.0,A,一般绿地
134,2-氯酚,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,250.0,,,250.0,,,一类用地区≤250mg/kg,mg/kg,V1.0,A,特殊绿地
177,"3,3'-二氯联苯胺",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,3.6,,,3.6,,,二类用地区≤3.6mg/kg,mg/kg,V1.0,A,一般绿地
178,"3,3'-二氯联苯胺",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1.3,,,1.3,,,一类用地区≤1.3mg/kg,mg/kg,V1.0,A,特殊绿地
209,"3,3'4,4',5-五氯联苯(PCB126)",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1.0,,,1.0,,,二类用地区≤1×10⁻⁴mg/kg,mg/kg,V1.0,A,一般绿地
210,"3,3'4,4',5-五氯联苯(PCB126)",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,4.0,,,4.0,,,一类用地区≤4×10⁻⁵mg/kg,mg/kg,V1.0,A,特殊绿地
211,"3,3'4,4'5,5'-六氯联苯(PCB169)",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,4.0,,,4.0,,,二类用地区≤4×10⁻⁴mg/kg,mg/kg,V1.0,A,一般绿地
212,"3,3'4,4'5,5'-六氯联苯(PCB169)",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1.0,,,1.0,,,一类用地区≤1×10⁻⁴mg/kg,mg/kg,V1.0,A,特殊绿地
185,"p,p'-滴滴伊",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,7.0,,,7.0,,,二类用地区≤7mg/kg,mg/kg,V1.0,A,一般绿地
186,"p,p'-滴滴伊",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,2.0,,,2.0,,,一类用地区≤2mg/kg,mg/kg,V1.0,A,特殊绿地
183,"p,p'-滴滴滴",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,7.1,,,7.1,,,二类用地区≤7.1mg/kg,mg/kg,V1.0,A,一般绿地
184,"p,p'-滴滴滴",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,2.5,,,2.5,,,一类用地区≤2.5mg/kg,mg/kg,V1.0,A,特殊绿地
197,α-六六六,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.3,,,0.3,,,二类用地区≤0.3mg/kg,mg/kg,V1.0,A,一般绿地
198,α-六六六,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.09,,,0.09,,,一类用地区≤0.09mg/kg,mg/kg,V1.0,A,特殊绿地
199,β-六六六,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.92,,,0.92,,,二类用地区≤0.92mg/kg,mg/kg,V1.0,A,一般绿地
200,β-六六六,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.32,,,0.32,,,一类用地区≤0.32mg/kg,mg/kg,V1.0,A,特殊绿地
201,γ-六六六,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1.9,,,1.9,,,二类用地区≤1.9mg/kg,mg/kg,V1.0,A,一般绿地
202,γ-六六六,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.62,,,0.62,,,一类用地区≤0.62mg/kg,mg/kg,V1.0,A,特殊绿地
143,䓛,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1293.0,,,1293.0,,,二类用地区≤1293mg/kg,mg/kg,V1.0,A,一般绿地
144,䓛,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,490.0,,,490.0,,,一类用地区≤490mg/kg,mg/kg,V1.0,A,特殊绿地
151,一溴二氯甲烷,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1.2,,,1.2,,,二类用地区≤1.2mg/kg,mg/kg,V1.0,A,一般绿地
152,一溴二氯甲烷,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.29,,,0.29,,,一类用地区≤0.29mg/kg,mg/kg,V1.0,A,特殊绿地
195,七氯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.37,,,0.37,,,二类用地区≤0.37mg/kg,mg/kg,V1.0,A,一般绿地
196,七氯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.13,,,0.13,,,一类用地区≤0.13mg/kg,mg/kg,V1.0,A,特殊绿地
105,三氯乙烯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,2.8,,,2.8,,,二类用地区≤2.8mg/kg,mg/kg,V1.0,A,一般绿地
106,三氯乙烯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.7,,,0.7,,,一类用地区≤0.7mg/kg,mg/kg,V1.0,A,特殊绿地
191,乐果,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,619.0,,,619.0,,,二类用地区≤619mg/kg,mg/kg,V1.0,A,一般绿地
192,乐果,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,86.0,,,86.0,,,一类用地区≤86mg/kg,mg/kg,V1.0,A,特殊绿地
119,乙苯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,28.0,,,28.0,,,二类用地区≤28mg/kg,mg/kg,V1.0,A,一般绿地
120,乙苯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,7.2,,,7.2,,,一类用地区≤7.2mg/kg,mg/kg,V1.0,A,特殊绿地
213,二噁英类(总毒性当量),ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,4.0,,,4.0,,,二类用地区≤4×10⁻⁵mg/kg,mg/kg,V1.0,A,一般绿地
214,二噁英类(总毒性当量),ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1.0,,,1.0,,,一类用地区≤1×10⁻⁵mg/kg,mg/kg,V1.0,A,特殊绿地
91,二氯甲烷,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,616.0,,,616.0,,,二类用地区≤616mg/kg,mg/kg,V1.0,A,一般绿地
92,二氯甲烷,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,94.0,,,94.0,,,一类用地区≤94mg/kg,mg/kg,V1.0,A,特殊绿地
155,二溴氯甲烷,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,33.0,,,33.0,,,二类用地区≤33mg/kg,mg/kg,V1.0,A,一般绿地
156,二溴氯甲烷,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,9.3,,,9.3,,,一类用地区≤9.3mg/kg,mg/kg,V1.0,A,特殊绿地
145,"二苯并[a,h]蒽",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1.5,,,1.5,,,二类用地区≤1.5mg/kg,mg/kg,V1.0,A,一般绿地
146,"二苯并[a,h]蒽",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.55,,,0.55,,,一类用地区≤0.55mg/kg,mg/kg,V1.0,A,特殊绿地
169,五氯酚,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,2.7,,,2.7,,,二类用地区≤2.7mg/kg,mg/kg,V1.0,A,一般绿地
170,五氯酚,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1.1,,,1.1,,,一类用地区≤1.1mg/kg,mg/kg,V1.0,A,特殊绿地
159,六氯环戊二烯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,5.2,,,5.2,,,二类用地区≤5.2mg/kg,mg/kg,V1.0,A,一般绿地
160,六氯环戊二烯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1.1,,,1.1,,,一类用地区≤1.1mg/kg,mg/kg,V1.0,A,特殊绿地
203,六氯苯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1.0,,,1.0,,,二类用地区≤1mg/kg,mg/kg,V1.0,A,一般绿地
204,六氯苯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.33,,,0.33,,,一类用地区≤0.33mg/kg,mg/kg,V1.0,A,特殊绿地
89,"反-1,2-二氯乙烯",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,54.0,,,54.0,,,二类用地区≤54mg/kg,mg/kg,V1.0,A,一般绿地
90,"反-1,2-二氯乙烯",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,10.0,,,10.0,,,一类用地区≤10mg/kg,mg/kg,V1.0,A,特殊绿地
99,四氯乙烯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,53.0,,,53.0,,,二类用地区≤53mg/kg,mg/kg,V1.0,A,一般绿地
100,四氯乙烯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,11.0,,,11.0,,,一类用地区≤11mg/kg,mg/kg,V1.0,A,特殊绿地
75,四氯化碳,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,2.8,,,2.8,,,二类用地区≤2.8mg/kg,mg/kg,V1.0,A,一般绿地
76,四氯化碳,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.9,,,0.9,,,一类用地区≤0.9mg/kg,mg/kg,V1.0,A,特殊绿地
207,多氯联苯(总量),ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.38,,,0.38,,,二类用地区≤0.38mg/kg,mg/kg,V1.0,A,一般绿地
208,多氯联苯(总量),ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.14,,,0.14,,,一类用地区≤0.14mg/kg,mg/kg,V1.0,A,特殊绿地
215,多溴联苯(总量),ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.06,,,0.06,,,二类用地区≤0.06mg/kg,mg/kg,V1.0,A,一般绿地
216,多溴联苯(总量),ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.02,,,0.02,,,一类用地区≤0.02mg/kg,mg/kg,V1.0,A,特殊绿地
189,敌敌畏,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,5.0,,,5.0,,,二类用地区≤5mg/kg,mg/kg,V1.0,A,一般绿地
190,敌敌畏,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1.8,,,1.8,,,一类用地区≤1.8mg/kg,mg/kg,V1.0,A,特殊绿地
181,氯丹,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,6.2,,,6.2,,,二类用地区≤6.2mg/kg,mg/kg,V1.0,A,一般绿地
182,氯丹,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,2.0,,,2.0,,,一类用地区≤2mg/kg,mg/kg,V1.0,A,特殊绿地
109,氯乙烯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.43,,,0.43,,,二类用地区≤0.43mg/kg,mg/kg,V1.0,A,一般绿地
110,氯乙烯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.12,,,0.12,,,一类用地区≤0.12mg/kg,mg/kg,V1.0,A,特殊绿地
77,氯仿,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.9,,,0.9,,,二类用地区≤0.9mg/kg,mg/kg,V1.0,A,一般绿地
78,氯仿,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.3,,,0.3,,,一类用地区≤0.3mg/kg,mg/kg,V1.0,A,特殊绿地
79,氯甲烷,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,12.0,,,12.0,,,一类用地区≤12mg/kg,mg/kg,V1.0,A,一般绿地
80,氯甲烷,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,37.0,,,37.0,,,二类用地区≤37mg/kg,mg/kg,V1.0,A,特殊绿地
113,氯苯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,68.0,,,68.0,,,一类用地区≤68mg/kg,mg/kg,V1.0,A,一般绿地
114,氯苯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,270.0,,,270.0,,,二类用地区≤270mg/kg,mg/kg,V1.0,A,特殊绿地
73,氰化物,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,135.0,,,135.0,,,二类用地区≤135mg/kg,mg/kg,V1.0,A,一般绿地
74,氰化物,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,22.0,,,22.0,,,一类用地区≤22mg/kg,mg/kg,V1.0,A,特殊绿地
53,汞,ecology,生态,绿化种植土壤CJ/T340-2016,interval,2.0,0.6,0.6,2.0,,,其他绿地0.6-2mg/kg,mg/kg,V1.0,B,一般绿地
54,汞,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,38.0,,,38.0,,,二类用地区≤38mg/kg,mg/kg,V1.0,A,nan
55,汞,ecology,生态,绿化种植土壤CJ/T340-2016,upper,0.4,,,0.4,,,自然保育区≤0.40mg/kg,mg/kg,V1.0,B,特殊绿地
56,汞,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,8.0,,,8.0,,,一类用地区≤8mg/kg,mg/kg,V1.0,A,nan
153,溴仿,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,103.0,,,103.0,,,二类用地区≤103mg/kg,mg/kg,V1.0,A,一般绿地
154,溴仿,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,32.0,,,32.0,,,一类用地区≤32mg/kg,mg/kg,V1.0,A,特殊绿地
187,滴滴涕,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,6.7,,,6.7,,,二类用地区≤6.7mg/kg,mg/kg,V1.0,A,一般绿地
188,滴滴涕,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,2.0,,,2.0,,,一类用地区≤2mg/kg,mg/kg,V1.0,A,特殊绿地
205,灭蚁灵,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.09,,,0.09,,,二类用地区≤0.09mg/kg,mg/kg,V1.0,A,一般绿地
206,灭蚁灵,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.03,,,0.03,,,一类用地区≤0.03mg/kg,mg/kg,V1.0,A,特殊绿地
71,甲基汞,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,45.0,,,45.0,,,二类用地区≤45mg/kg,mg/kg,V1.0,A,一般绿地
72,甲基汞,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,5.0,,,5.0,,,一类用地区≤5mg/kg,mg/kg,V1.0,A,特殊绿地
123,甲苯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1200.0,,,1200.0,,,二类用地区≤1200mg/kg,mg/kg,V1.0,A,一般绿地
124,甲苯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1200.0,,,1200.0,,,一类用地区≤1200mg/kg,mg/kg,V1.0,A,特殊绿地
217,石油烃(C10-C40),ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,4500.0,,,4500.0,,,二类用地区≤4500mg/kg,mg/kg,V1.0,A,一般绿地
218,石油烃(C10-C40),ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,826.0,,,826.0,,,一类用地区≤826mg/kg,mg/kg,V1.0,A,特殊绿地
33,砷,ecology,生态,绿化种植土壤CJ/T340-2016,interval,45.0,35.0,35.0,45.0,,,其他绿地35-45mg/kg,mg/kg,V1.0,B,一般绿地
34,砷,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,60.0,,,60.0,,,二类用地区≤60mg/kg,mg/kg,V1.0,A,nan
35,砷,ecology,生态,绿化种植土壤CJ/T340-2016,upper,30.0,,,30.0,,,自然保育区≤30mg/kg,mg/kg,V1.0,B,特殊绿地
36,砷,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,20.0,,,20.0,,,一类用地区≤20mg/kg,mg/kg,V1.0,A,nan
129,硝基苯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,76.0,,,76.0,,,二类用地区≤76mg/kg,mg/kg,V1.0,A,一般绿地
130,硝基苯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,34.0,,,34.0,,,一类用地区≤34mg/kg,mg/kg,V1.0,A,特殊绿地
193,硫丹,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1687.0,,,1687.0,,,二类用地区≤1687mg/kg,mg/kg,V1.0,A,一般绿地
194,硫丹,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,234.0,,,234.0,,,一类用地区≤234mg/kg,mg/kg,V1.0,A,特殊绿地
111,苯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,4.0,,,4.0,,,二类用地区≤4mg/kg,mg/kg,V1.0,A,一般绿地
112,苯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1.0,,,1.0,,,一类用地区≤1mg/kg,mg/kg,V1.0,A,特殊绿地
121,苯乙烯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1290.0,,,1290.0,,,二类用地区≤1290mg/kg,mg/kg,V1.0,A,一般绿地
122,苯乙烯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1290.0,,,1290.0,,,一类用地区≤1290mg/kg,mg/kg,V1.0,A,特殊绿地
137,苯并[a]芘,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,1.5,,,1.5,,,二类用地区≤1.5mg/kg,mg/kg,V1.0,A,一般绿地
138,苯并[a]芘,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,0.55,,,0.55,,,一类用地区≤0.55mg/kg,mg/kg,V1.0,A,特殊绿地
135,苯并[a]蒽,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,15.0,,,15.0,,,二类用地区≤15mg/kg,mg/kg,V1.0,A,一般绿地
