factor_id,factor_name_norm,factor_name_raw,track,diagnosis_layer,threshold_role,land_use_target,scenario,standard_source,standard_level,threshold_type,upper_limit,lower_limit,ideal_min,ideal_max,unit,threshold_version,evidence_level,source_file,source_version,source_row_id,notes
62,Zn_mgkg,锌,production,formal,direct_standard,生产,pH>7.5,土壤环境质量农用土壤污染风险管控标准GB15618-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,690,农产品安全关键指标
48,Cu_mgkg,铜,production,formal,direct_standard,生产,pH>7.5,土壤环境质量农用土壤污染风险管控标准GB15618-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,664,农产品安全关键指标
28,有效铜,有效铜,production,formal,direct_standard,生态,对绿化景观质量要求较高的土壤,绿化种植土壤CJ/T340-2016,行业标准,interval,,,,,mg/kg,v0.7,B,20251015_V1.6合并版,V1.6,657,生态安全关键指标
29,有效锌,有效锌,production,formal,direct_standard,生态,对绿化景观质量要求较高的土壤,绿化种植土壤CJ/T340-2016,行业标准,interval,,,,,mg/kg,v0.7,B,20251015_V1.6合并版,V1.6,678,生态安全关键指标
204,六氯苯,六氯苯,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,863,农产品安全关键指标
21,OC_pct,有机质,production,formal,direct_standard,生产,黄淮海平原区,土壤复垦质量控制标准TD/T1036-2013,行业标准,lower,,≥1%,,,%,v0.7,B,20251015_V1.6合并版,V1.6,1059,一般控制指标
31,有效镁,有效镁,production,formal,direct_standard,生态,对绿化景观质量要求较高的土壤,绿化种植土壤CJ/T340-2016,行业标准,interval,,,,,mg/kg,v0.7,B,20251015_V1.6合并版,V1.6,1050,一般控制指标
30,有效锰,有效锰,production,formal,direct_standard,生态,对绿化景观质量要求较高的土壤,绿化种植土壤CJ/T340-2016,行业标准,interval,,,,,mg/kg,v0.7,B,20251015_V1.6合并版,V1.6,1049,一般控制指标
27,有效铁,有效铁,production,formal,direct_standard,生态,对绿化景观质量要求较高的土壤,绿化种植土壤CJ/T340-2016,行业标准,interval,,,,,mg/kg,v0.7,B,20251015_V1.6合并版,V1.6,1048,一般控制指标
26,有效钼,有效钼,production,formal,direct_standard,生态,对绿化景观质量要求较高的土壤,绿化种植土壤CJ/T340-2016,行业标准,interval,,,,,mg/kg,v0.7,B,20251015_V1.6合并版,V1.6,1047,一般控制指标
