paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72401_s10661-011-1913-1,72401_s10661-011-1913-1_BaA,BbF_ngg,0.96,Unknown,table_p6_ri11_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Acy,BkF_ngg,0.78,Unknown,table_p6_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Ace_Fl,BkF_ngg,0.69,Unknown,table_p6_ri12_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Phe,BkF_ngg,0.48,Unknown,table_p6_ri12_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Pyr,BkF_ngg,0.95,Unknown,table_p6_ri12_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_BaA,BkF_ngg,0.93,Unknown,table_p6_ri12_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Chr_BbF,BkF_ngg,0.98,Unknown,table_p6_ri12_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_1-MN,BaP_ngg,0.52,Unknown,table_p6_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Acy,BaP_ngg,0.8,Unknown,table_p6_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Ace_Fl,BaP_ngg,0.73,Unknown,table_p6_ri14_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Phe,BaP_ngg,0.44,Unknown,table_p6_ri14_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Ant,BaP_ngg,0.84,Unknown,table_p6_ri14_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Pyr,BaP_ngg,0.97,Unknown,table_p6_ri14_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_BaA,BaP_ngg,0.93,Unknown,table_p6_ri14_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_Chr_BbF,BaP_ngg,0.98,Unknown,table_p6_ri14_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_BkF,BaP_ngg,0.99,Unknown,table_p6_ri14_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72401_s10661-011-1913-1,72401_s10661-011-1913-1_BeP,BaP_ngg,0.83,Unknown,table_p6_ri14_ci13,soil,agricultural,,phase14_auto; confidence=high; flag=,,
