paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Ring_numbera,Nap_ngg,2.0,Unknown,table_p3_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Ring_numbera,Phe_ngg,4.0,Unknown,table_p3_ri25_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_MDLb_(ng/g),Phe_ngg,0.06,Unknown,table_p3_ri25_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Detection_rate_(%),Phe_ngg,100.0,Unknown,table_p3_ri25_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Min_(ng/g),Phe_ngg,0.1,Unknown,table_p3_ri25_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Max_(ng/g),Phe_ngg,21.5,Unknown,table_p3_ri25_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Ring_numbera,Phe_ngg,4.0,Unknown,table_p3_ri27_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_MDLb_(ng/g),Phe_ngg,0.08,Unknown,table_p3_ri27_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Detection_rate_(%),Phe_ngg,33.3,Unknown,table_p3_ri27_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Max_(ng/g),Phe_ngg,1.4,Unknown,table_p3_ri27_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Ring_numbera,Phe_ngg,44.0,Unknown,table_p3_ri28_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Detection_rate_(%),Phe_ngg,87.21,Unknown,table_p3_ri28_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Mean_(ng/g),Phe_ngg,0.6,Unknown,table_p3_ri28_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Median_(ng/g),Phe_ngg,0.6,Unknown,table_p3_ri28_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Min_(ng/g),Phe_ngg,0.1,Unknown,table_p3_ri28_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Max_(ng/g),Phe_ngg,1.3,Unknown,table_p3_ri28_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Ring_numbera,Phe_ngg,4.0,Unknown,table_p3_ri29_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_MDLb_(ng/g),Phe_ngg,0.07,Unknown,table_p3_ri29_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Detection_rate_(%),Phe_ngg,90.1,Unknown,table_p3_ri29_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Max_(ng/g),Phe_ngg,6.8,Unknown,table_p3_ri29_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Ring_numbera,Phe_ngg,4.0,Unknown,table_p3_ri30_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_MDLb_(ng/g),Phe_ngg,0.05,Unknown,table_p3_ri30_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Mean_(ng/g),Phe_ngg,0.1,Unknown,table_p3_ri30_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Median_(ng/g),Phe_ngg,0.2,Unknown,table_p3_ri30_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Max_(ng/g),Phe_ngg,2.2,Unknown,table_p3_ri30_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Detection_rate_(%),Sum_PAH_ngg,51.0,Unknown,table_p3_ri33_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Mean_(ng/g),Sum_PAH_ngg,51.8,Unknown,table_p3_ri33_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Median_(ng/g),Sum_PAH_ngg,5.5,Unknown,table_p3_ri33_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2017.07.035,_dup_j.envpol.2017.07.035_Min_(ng/g),Sum_PAH_ngg,696.2,Unknown,table_p3_ri33_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
