paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_中位值,Nap_ngg,33.9,Unknown,table_p2_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_变异系数1%,Acy_ngg,193.0,Unknown,table_p2_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_检出率/%,Acy_ngg,40.9,Unknown,table_p2_ri3_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_中位值,Phe_ngg,52.2,Unknown,table_p2_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_平均值,Phe_ngg,251.0,Unknown,table_p2_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_变异系数1%,Phe_ngg,235.0,Unknown,table_p2_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_检出率/%,Phe_ngg,90.9,Unknown,table_p2_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_荷兰土壤目标值,Phe_ngg,50.0,Unknown,table_p2_ri5_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_筛选值,Phe_ngg,40000.0,Unknown,table_p2_ri5_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_中位值,Ant_ngg,22.1,Unknown,table_p2_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_平均值,Ant_ngg,84.4,Unknown,table_p2_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_变异系数1%,Ant_ngg,191.0,Unknown,table_p2_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_检出率/%,Ant_ngg,68.2,Unknown,table_p2_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_荷兰土壤目标值,Ant_ngg,50.0,Unknown,table_p2_ri6_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_筛选值,Ant_ngg,400000.0,Unknown,table_p2_ri6_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_中位值,Flu_ngg,121.0,Unknown,table_p2_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_平均值,Flu_ngg,492.0,Unknown,table_p2_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_变异系数1%,Flu_ngg,210.0,Unknown,table_p2_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_检出率/%,Flu_ngg,95.5,Unknown,table_p2_ri7_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_荷兰土壤目标值,Flu_ngg,15.0,Unknown,table_p2_ri7_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_筛选值,Flu_ngg,400000.0,Unknown,table_p2_ri7_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_中位值,Pyr_ngg,92.0,Unknown,table_p2_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_平均值,Pyr_ngg,401.0,Unknown,table_p2_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_变异系数1%,Pyr_ngg,214.0,Unknown,table_p2_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_检出率/%,Pyr_ngg,95.5,Unknown,table_p2_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_筛选值,Pyr_ngg,400000.0,Unknown,table_p2_ri8_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_平均值,Sum_PAH_ngg,2564.7,Unknown,table_p2_ri17_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72218_j.hjkx.2016.09.036,72218_j.hjkx.2016.09.036_平均值,Sum_PAH_ngg,1051.8,Unknown,table_p2_ri18_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
