paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_30_m,BaP_ngg,70.36,Unknown,table_p6_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_100_m,BaP_ngg,94.1,Unknown,table_p6_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_200_m,BaP_ngg,76.75,Unknown,table_p6_ri13_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_30_m,DahA_ngg,45.88,Unknown,table_p6_ri15_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_100_m,DahA_ngg,43.67,Unknown,table_p6_ri15_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_200_m,DahA_ngg,27.26,Unknown,table_p6_ri15_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_100_m,Ind_ngg,19.14,Unknown,table_p6_ri16_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_200_m,Ind_ngg,20.11,Unknown,table_p6_ri16_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_30_m,BghiP_ngg,2951.56,Unknown,table_p6_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_100_m,BghiP_ngg,51.67,Unknown,table_p6_ri17_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_200_m,BghiP_ngg,50.23,Unknown,table_p6_ri17_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_${_\mathsf_{_T_E_F_S_}_}_^_{_\mathsf_{_b_}_}$,BghiP_ngg,0.01,Unknown,table_p11_ri17_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_15320383.2021.1913572,_dup_15320383.2021.1913572_Soil_(ng/g),BghiP_ngg,757500.0,Unknown,table_p11_ri17_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
