paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Chr_ngg,118.0,Unknown,table_p4_ri12_ci10,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,BbF_ngg,118.0,Unknown,table_p4_ri12_ci10,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,BkF_ngg,30.3,Unknown,table_p4_ri12_ci11,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,BaP_ngg,55.0,Unknown,table_p4_ri12_ci12,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Ind_ngg,61.1,Unknown,table_p4_ri12_ci13,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,BghiP_ngg,66.1,Unknown,table_p4_ri12_ci15,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Sum_PAH_ngg,145.0,Unknown,table_p4_ri12_ci16,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Sum_PAH_ngg,684.0,Unknown,table_p4_ri12_ci18,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_Handan,Ant_ngg,10.2,Unknown,table_p4_ri13_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Nap_ngg,56.9,Unknown,table_p4_ri18_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Phe_ngg,915152.0,Unknown,table_p4_ri18_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Ant_ngg,67.7517,Unknown,table_p4_ri18_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Flt_ngg,317.0,Unknown,table_p4_ri18_ci7,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Pyr_ngg,179.0,Unknown,table_p4_ri18_ci8,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,BaA_ngg,234.0,Unknown,table_p4_ri18_ci9,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Chr_ngg,508.0,Unknown,table_p4_ri18_ci10,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,BbF_ngg,508.0,Unknown,table_p4_ri18_ci10,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,BkF_ngg,143.0,Unknown,table_p4_ri18_ci11,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,BaP_ngg,185.0,Unknown,table_p4_ri18_ci12,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Ind_ngg,228.0,Unknown,table_p4_ri18_ci13,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,BghiP_ngg,234.0,Unknown,table_p4_ri18_ci15,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Sum_PAH_ngg,1795.0,Unknown,table_p4_ri18_ci16,soil,industrial,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723070638,1-s2.0-S0048969723070638_S.D.,Sum_PAH_ngg,4163.0,Unknown,table_p4_ri18_ci18,soil,industrial,,phase14_auto; confidence=high; flag=,,
