paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC1,Phe_ngg,0.61,Unknown,table_p5_ri4_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC2,Phe_ngg,0.7,Unknown,table_p5_ri4_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC1,Ant_ngg,0.74,Unknown,table_p5_ri5_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC2,Ant_ngg,0.59,Unknown,table_p5_ri5_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC1,Pyr_ngg,0.47,Unknown,table_p5_ri7_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC2,Pyr_ngg,0.82,Unknown,table_p5_ri7_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC1,BaA_ngg,0.75,Unknown,table_p5_ri8_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC2,BaA_ngg,0.63,Unknown,table_p5_ri8_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC1,Chr_ngg,0.74,Unknown,table_p5_ri9_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC2,Chr_ngg,0.64,Unknown,table_p5_ri9_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC1,BbF_ngg,0.9,Unknown,table_p5_ri10_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC2,BbF_ngg,0.39,Unknown,table_p5_ri10_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC1,BkF_ngg,0.87,Unknown,table_p5_ri11_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC2,BkF_ngg,0.45,Unknown,table_p5_ri11_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC1,BaP_ngg,0.85,Unknown,table_p5_ri12_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC2,BaP_ngg,0.46,Unknown,table_p5_ri12_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC1,Ind_ngg,0.82,Unknown,table_p5_ri13_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC2,Ind_ngg,0.14,Unknown,table_p5_ri13_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC1,BghiP_ngg,0.87,Unknown,table_p5_ri15_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC2,BghiP_ngg,0.45,Unknown,table_p5_ri15_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
