paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Standard_deviation,SumHCH_ngg,0.38,Unknown,table_p2_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Maximum,SumHCH_ngg,1.46,Unknown,table_p2_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RV,SumHCH_ngg,2.5,Unknown,table_p2_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Standard_deviation,SumHCH_ngg,1.81,Unknown,table_p2_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Maximum,SumHCH_ngg,9.52,Unknown,table_p2_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RV,SumHCH_ngg,1.0,Unknown,table_p2_ri7_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Standard_deviation,SumHCH_ngg,0.78,Unknown,table_p2_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Maximum,SumHCH_ngg,4.15,Unknown,table_p2_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RV,SumHCH_ngg,0.5,Unknown,table_p2_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Standard_deviation,SumHCH_ngg,0.34,Unknown,table_p2_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Maximum,SumHCH_ngg,1.76,Unknown,table_p2_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
