paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72217_s11783-011-0354-y,72217_s11783-011-0354-y_α-HCH,SumHCH_ngg,0.354,Unknown,table_p4_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_β-HCH,SumHCH_ngg,1.0,Unknown,table_p4_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_β-HCH,SumHCH_ngg,0.323,Unknown,table_p4_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_y-HCH,SumHCH_ngg,1.0,Unknown,table_p4_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_8-HCH,SumHCH_ngg,1.0,Unknown,table_p4_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_β-HCH,SumHCH_ngg,0.442,Unknown,table_p4_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_HCHs,SumHCH_ngg,1.0,Unknown,table_p4_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_β-HCH,SumDDT_ngg,0.109,Unknown,table_p4_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,"72217_s11783-011-0354-y_p,p&#x27;-DDD",SumDDT_ngg,0.138,Unknown,table_p4_ri8_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,"72217_s11783-011-0354-y_p,p&#x27;-DDT",SumDDT_ngg,1.0,Unknown,table_p4_ri8_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,"72217_s11783-011-0354-y_0,p&#x27;-DDT",SumDDT_ngg,1.0,Unknown,table_p4_ri9_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_β-HCH,SumDDT_ngg,0.169,Unknown,table_p4_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,"72217_s11783-011-0354-y_p,p&#x27;-DDD",SumDDT_ngg,0.146,Unknown,table_p4_ri10_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_DDTs,SumDDT_ngg,1.0,Unknown,table_p4_ri10_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_β-HCH,OC_pct,0.196,Unknown,table_p4_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_8-HCH,OC_pct,0.077,Unknown,table_p4_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_HCHs,OC_pct,0.101,Unknown,table_p4_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,"72217_s11783-011-0354-y_0,p&#x27;-DDT",OC_pct,0.146,Unknown,table_p4_ri11_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
