paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S1,Sum_PAH_ngg,70.15,Unknown,table_p2_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_Upper_limit_(ng/g),Ant_ngg,50.0,Unknown,table_p3_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_Upper_limit_(ng/g),Chr_ngg,20.0,Unknown,table_p3_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_Upper_limit_(ng/g),BaA_ngg,20.0,Unknown,table_p3_ri1_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_Upper_limit_(ng/g),BaP_ngg,25.0,Unknown,table_p3_ri1_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_Upper_limit_(ng/g),BkF_ngg,25.0,Unknown,table_p3_ri1_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S1,SumOCP_ngg,12.05,Unknown,table_p4_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S1,SumHCH_ngg,6.9,Unknown,table_p4_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S1,SumDDT_ngg,5.15,Unknown,table_p4_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S1,SumDDT_ngg,0.38,Unknown,table_p4_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S1,SumHCH_ngg,0.85,Unknown,table_p4_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S2,SumOCP_ngg,8.73,Unknown,table_p4_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S2,SumHCH_ngg,2.93,Unknown,table_p4_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S2,SumDDT_ngg,5.8,Unknown,table_p4_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S2,SumDDT_ngg,0.6,Unknown,table_p4_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S2,SumHCH_ngg,0.84,Unknown,table_p4_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S3,SumOCP_ngg,6.17,Unknown,table_p4_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S3,SumHCH_ngg,2.36,Unknown,table_p4_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S3,SumDDT_ngg,3.64,Unknown,table_p4_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S3,SumDDT_ngg,1.0,Unknown,table_p4_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S3,SumHCH_ngg,0.72,Unknown,table_p4_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S4,SumOCP_ngg,23.44,Unknown,table_p4_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S4,SumHCH_ngg,3.62,Unknown,table_p4_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S4,SumDDT_ngg,19.82,Unknown,table_p4_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S4,SumDDT_ngg,0.16,Unknown,table_p4_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S4,SumHCH_ngg,0.8,Unknown,table_p4_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S5,SumOCP_ngg,5.58,Unknown,table_p4_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S5,SumHCH_ngg,3.18,Unknown,table_p4_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S5,SumDDT_ngg,2.4,Unknown,table_p4_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S5,SumDDT_ngg,0.51,Unknown,table_p4_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S5,SumHCH_ngg,0.82,Unknown,table_p4_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S6,SumOCP_ngg,7.29,Unknown,table_p4_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S6,SumHCH_ngg,1.33,Unknown,table_p4_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S6,SumDDT_ngg,5.96,Unknown,table_p4_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S6,SumDDT_ngg,0.81,Unknown,table_p4_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S6,SumHCH_ngg,0.41,Unknown,table_p4_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S7,SumOCP_ngg,7.52,Unknown,table_p4_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S7,SumHCH_ngg,4.89,Unknown,table_p4_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S7,SumDDT_ngg,2.62,Unknown,table_p4_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S7,SumDDT_ngg,0.49,Unknown,table_p4_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S7,SumHCH_ngg,0.89,Unknown,table_p4_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S8,SumOCP_ngg,9.95,Unknown,table_p4_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S8,SumHCH_ngg,0.76,Unknown,table_p4_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S8,SumDDT_ngg,9.19,Unknown,table_p4_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S8,SumDDT_ngg,0.49,Unknown,table_p4_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S8,SumHCH_ngg,0.4,Unknown,table_p4_ri10_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S9,SumOCP_ngg,5.48,Unknown,table_p4_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S9,SumHCH_ngg,0.94,Unknown,table_p4_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S9,SumDDT_ngg,4.54,Unknown,table_p4_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S9,SumDDT_ngg,0.57,Unknown,table_p4_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S9,SumHCH_ngg,0.73,Unknown,table_p4_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_R0,SumOCP_ngg,11.19,Unknown,table_p4_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_R0,SumHCH_ngg,3.49,Unknown,table_p4_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_R0,SumDDT_ngg,7.51,Unknown,table_p4_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_R0,SumDDT_ngg,0.49,Unknown,table_p4_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_R0,SumHCH_ngg,0.86,Unknown,table_p4_ri13_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_R1,SumOCP_ngg,27.39,Unknown,table_p4_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_R1,SumHCH_ngg,1.56,Unknown,table_p4_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_R1,SumDDT_ngg,25.83,Unknown,table_p4_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_R1,SumDDT_ngg,0.97,Unknown,table_p4_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_R1,SumHCH_ngg,0.67,Unknown,table_p4_ri14_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
