paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_BFPP_18MWh,BaA_ngg,1.24,Unknown,table_p7_ri3_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_BFPP_18MWh,Chr_ngg,1.24,Unknown,table_p7_ri3_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_BFPP_18MWh,BbF_ngg,0.64,Unknown,table_p7_ri4_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_BFPP_18MWh,BkF_ngg,0.64,Unknown,table_p7_ri4_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_BFPP__$7_._5_\mathrm_{_M_W_}_^_{_\mathrm_{_h_}_}$,BbF_ngg,2.04,Unknown,table_p7_ri4_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_BFPP__$7_._5_\mathrm_{_M_W_}_^_{_\mathrm_{_h_}_}$,BkF_ngg,2.04,Unknown,table_p7_ri4_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_BFPP_18MWh,Ind_ngg,0.29,Unknown,table_p7_ri5_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_BFPP_18MWh,BghiP_ngg,0.29,Unknown,table_p7_ri5_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_Cement_Productionº,BaP_ngg,0.85,Unknown,table_p7_ri7_ci4,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_Cement_Productionº,BghiP_ngg,0.85,Unknown,table_p7_ri7_ci4,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_BFPP_18MWh,BaP_ngg,0.87,Unknown,table_p7_ri7_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_BFPP_18MWh,BghiP_ngg,0.87,Unknown,table_p7_ri7_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_Indian_5_CFPPsj,BaP_ngg,2.67,Unknown,table_p7_ri7_ci7,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_Indian_5_CFPPsj,BghiP_ngg,2.67,Unknown,table_p7_ri7_ci7,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_BFPP_18MWh,Pyr_ngg,1.72,Unknown,table_p7_ri9_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_BFPP_18MWh,BaP_ngg,1.72,Unknown,table_p7_ri9_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_BFPP__$7_._5_\mathrm_{_M_W_}_^_{_\mathrm_{_h_}_}$,Pyr_ngg,241.91,Unknown,table_p7_ri9_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_BFPP__$7_._5_\mathrm_{_M_W_}_^_{_\mathrm_{_h_}_}$,BaP_ngg,241.91,Unknown,table_p7_ri9_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_Indian_5_CFPPsj,Pyr_ngg,0.59,Unknown,table_p7_ri9_ci7,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_Indian_5_CFPPsj,BaP_ngg,0.59,Unknown,table_p7_ri9_ci7,soil,industrial,,phase14_auto; confidence=high; flag=,,
