paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s41598-022-08906-6,s41598-022-08906-6_Y6,pH,1.15,Unknown,table_p7_ri28_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y10,pH,2.34,Unknown,table_p7_ri32_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y10,pH,0.84,Unknown,table_p7_ri32_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y15,pH,1.93,Unknown,table_p7_ri37_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y15,pH,1.27,Unknown,table_p7_ri37_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y20,pH,2.25,Unknown,table_p7_ri42_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y20,pH,1.24,Unknown,table_p7_ri42_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y21,pH,0.56,Unknown,table_p7_ri43_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y21,pH,0.88,Unknown,table_p7_ri43_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y23,pH,0.57,Unknown,table_p7_ri45_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y23,pH,0.95,Unknown,table_p7_ri45_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y24,pH,2.82,Unknown,table_p7_ri46_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y24,pH,1.58,Unknown,table_p7_ri46_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Dutch_Soil_Standard_(μg/kg),Nap_ngg,15.0,Unknown,table_p10_ri2_ci1,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEF,Nap_ngg,0.001,Unknown,table_p10_ri2_ci2,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_petro-related_area_soils_(μg/kg),Nap_ngg,0.39,Unknown,table_p10_ri2_ci3,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=range_mean,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_grassland_soils_(μg/kg),Nap_ngg,0.42,Unknown,table_p10_ri2_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_farmland_soils_(μg/kg),Nap_ngg,0.02,Unknown,table_p10_ri2_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Dutch_Soil_Standard_(μg/kg),Acy_ngg,1.0,Unknown,table_p10_ri3_ci1,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEF,Acy_ngg,0.001,Unknown,table_p10_ri3_ci2,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_petro-related_area_soils_(μg/kg),Acy_ngg,0.78,Unknown,table_p10_ri3_ci3,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=range_mean,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_grassland_soils_(μg/kg),Acy_ngg,0.83,Unknown,table_p10_ri3_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_farmland_soils_(μg/kg),Acy_ngg,0.03,Unknown,table_p10_ri3_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEF,Ace_ngg,0.001,Unknown,table_p10_ri4_ci2,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_petro-related_area_soils_(μg/kg),Ace_ngg,1.155,Unknown,table_p10_ri4_ci3,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=range_mean,,
