paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_surface_soil_into_theoutdoor_air_$_{_\mathtt_{_N_F_}_}___{_\mathtt_{_s_u_r_o_a_}_}_)$,Nap_ngg,3.80518e-05,Unknown,table_p3_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_lower_soil_into_the_outdoor_air_$(_\mathsf_{_v_}_\mathsf_{_F_}___{_\mathsf_{_s_u_b_o_a_}_}_)$,Ind_ngg,3.6713e-14,Unknown,table_p3_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_PH,BaA_ngg,25.06,Unknown,table_p6_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Moisturecontent%,BaA_ngg,0.000894,Unknown,table_p6_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_types_ofpollutant,BaA_ngg,1.21,Unknown,table_p6_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Averagecontent_(mg/kg）,BaA_ngg,1.8e-06,Unknown,table_p6_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Oral_intake,BaA_ngg,0.38,Unknown,table_p6_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Skin_contact,BaA_ngg,2.56e-06,Unknown,table_p6_ri3_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soilsurface,BaA_ngg,0.99,Unknown,table_p6_ri3_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soillower_layer,BaA_ngg,1.66e-11,Unknown,table_p6_ri3_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_PH,BbF_ngg,27.68,Unknown,table_p6_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Moisturecontent%,BbF_ngg,0.000987,Unknown,table_p6_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_types_ofpollutant,BbF_ngg,1.33,Unknown,table_p6_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Averagecontent_(mg/kg）,BbF_ngg,1.98e-06,Unknown,table_p6_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Oral_intake,BbF_ngg,0.42,Unknown,table_p6_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Skin_contact,BbF_ngg,4.26e-07,Unknown,table_p6_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soilsurface,BbF_ngg,0.17,Unknown,table_p6_ri4_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soillower_layer,BbF_ngg,4.15e-13,Unknown,table_p6_ri4_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_PH,BaP_ngg,8.48,Unknown,table_p6_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Moisturecontent%,BaP_ngg,0.000303,Unknown,table_p6_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_types_ofpollutant,BaP_ngg,0.41,Unknown,table_p6_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Averagecontent_(mg/kg）,BaP_ngg,6.08e-07,Unknown,table_p6_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Oral_intake,BaP_ngg,0.13,Unknown,table_p6_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Skin_contact,BaP_ngg,1.18e-07,Unknown,table_p6_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soilsurface,BaP_ngg,0.05,Unknown,table_p6_ri5_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soillower_layer,BaP_ngg,1.04e-13,Unknown,table_p6_ri5_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_PH,BaA_ngg,45.15,Unknown,table_p6_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Moisturecontent%,BaA_ngg,0.00161,Unknown,table_p6_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_types_ofpollutant,BaA_ngg,2.17,Unknown,table_p6_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Averagecontent_(mg/kg）,BaA_ngg,3.24e-06,Unknown,table_p6_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Oral_intake,BaA_ngg,0.69,Unknown,table_p6_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Skin_contact,BaA_ngg,4.61e-06,Unknown,table_p6_ri7_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soilsurface,BaA_ngg,1.79,Unknown,table_p6_ri7_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soillower_layer,BaA_ngg,2.98e-11,Unknown,table_p6_ri7_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_PH,BbF_ngg,8.21,Unknown,table_p6_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Moisturecontent%,BbF_ngg,0.000293,Unknown,table_p6_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_types_ofpollutant,BbF_ngg,0.4,Unknown,table_p6_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Averagecontent_(mg/kg）,BbF_ngg,5.89e-07,Unknown,table_p6_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Oral_intake,BbF_ngg,0.13,Unknown,table_p6_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Skin_contact,BbF_ngg,1.26e-07,Unknown,table_p6_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soilsurface,BbF_ngg,0.05,Unknown,table_p6_ri8_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soillower_layer,BbF_ngg,1.23e-13,Unknown,table_p6_ri8_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_PH,BaP_ngg,11.45,Unknown,table_p6_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Moisturecontent%,BaP_ngg,0.000409,Unknown,table_p6_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_types_ofpollutant,BaP_ngg,0.55,Unknown,table_p6_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Averagecontent_(mg/kg）,BaP_ngg,8.21e-07,Unknown,table_p6_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Oral_intake,BaP_ngg,0.18,Unknown,table_p6_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Skin_contact,BaP_ngg,1.59e-07,Unknown,table_p6_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soilsurface,BaP_ngg,0.06,Unknown,table_p6_ri9_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soillower_layer,BaP_ngg,1.41e-13,Unknown,table_p6_ri9_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_PH,BaA_ngg,447.24,Unknown,table_p6_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Moisturecontent%,BaA_ngg,0.016,Unknown,table_p6_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_types_ofpollutant,BaA_ngg,21.54,Unknown,table_p6_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Averagecontent_(mg/kg）,BaA_ngg,3.21e-05,Unknown,table_p6_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Oral_intake,BaA_ngg,6.87,Unknown,table_p6_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Skin_contact,BaA_ngg,4.57e-05,Unknown,table_p6_ri11_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soilsurface,BaA_ngg,17.71,Unknown,table_p6_ri11_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soillower_layer,BaA_ngg,2.96e-10,Unknown,table_p6_ri11_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_PH,BbF_ngg,380.29,Unknown,table_p6_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Moisturecontent%,BbF_ngg,0.0136,Unknown,table_p6_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_types_ofpollutant,BbF_ngg,18.32,Unknown,table_p6_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Averagecontent_(mg/kg）,BbF_ngg,2.73e-05,Unknown,table_p6_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Oral_intake,BbF_ngg,5.84,Unknown,table_p6_ri12_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Skin_contact,BbF_ngg,5.85e-06,Unknown,table_p6_ri12_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soilsurface,BbF_ngg,2.27,Unknown,table_p6_ri12_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soillower_layer,BbF_ngg,5.7e-12,Unknown,table_p6_ri12_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_PH,BaP_ngg,91.49,Unknown,table_p6_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Moisturecontent%,BaP_ngg,0.00326,Unknown,table_p6_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_types_ofpollutant,BaP_ngg,4.41,Unknown,table_p6_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Averagecontent_(mg/kg）,BaP_ngg,6.56e-06,Unknown,table_p6_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Oral_intake,BaP_ngg,1.4,Unknown,table_p6_ri13_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Skin_contact,BaP_ngg,1.27e-06,Unknown,table_p6_ri13_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soilsurface,BaP_ngg,0.49,Unknown,table_p6_ri13_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soillower_layer,BaP_ngg,1.12e-12,Unknown,table_p6_ri13_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_PH,BaA_ngg,104.48,Unknown,table_p6_ri15_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Moisturecontent%,BaA_ngg,0.00373,Unknown,table_p6_ri15_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_types_ofpollutant,BaA_ngg,5.03,Unknown,table_p6_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Averagecontent_(mg/kg）,BaA_ngg,7.49e-06,Unknown,table_p6_ri15_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Oral_intake,BaA_ngg,1.6,Unknown,table_p6_ri15_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Skin_contact,BaA_ngg,1.07e-05,Unknown,table_p6_ri15_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soilsurface,BaA_ngg,4.14,Unknown,table_p6_ri15_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soillower_layer,BaA_ngg,6.91e-11,Unknown,table_p6_ri15_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_PH,BbF_ngg,112.09,Unknown,table_p6_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Moisturecontent%,BbF_ngg,0.004,Unknown,table_p6_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_types_ofpollutant,BbF_ngg,5.4,Unknown,table_p6_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Averagecontent_(mg/kg）,BbF_ngg,8.04e-06,Unknown,table_p6_ri16_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Oral_intake,BbF_ngg,1.72,Unknown,table_p6_ri16_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Skin_contact,BbF_ngg,1.72e-06,Unknown,table_p6_ri16_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soilsurface,BbF_ngg,0.67,Unknown,table_p6_ri16_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soillower_layer,BbF_ngg,1.68e-12,Unknown,table_p6_ri16_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_PH,BaP_ngg,58.02,Unknown,table_p6_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Moisturecontent%,BaP_ngg,0.00207,Unknown,table_p6_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_types_ofpollutant,BaP_ngg,2.79,Unknown,table_p6_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Averagecontent_(mg/kg）,BaP_ngg,4.16e-06,Unknown,table_p6_ri17_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Oral_intake,BaP_ngg,0.89,Unknown,table_p6_ri17_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Skin_contact,BaP_ngg,8.08e-07,Unknown,table_p6_ri17_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soilsurface,BaP_ngg,0.31,Unknown,table_p6_ri17_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soillower_layer,BaP_ngg,7.13e-13,Unknown,table_p6_ri17_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_PH,BaA_ngg,10.71,Unknown,table_p6_ri19_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Moisturecontent%,BaA_ngg,0.000382,Unknown,table_p6_ri19_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_types_ofpollutant,BaA_ngg,0.52,Unknown,table_p6_ri19_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Averagecontent_(mg/kg）,BaA_ngg,7.68e-07,Unknown,table_p6_ri19_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Oral_intake,BaA_ngg,0.16,Unknown,table_p6_ri19_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Skin_contact,BaA_ngg,1.09e-06,Unknown,table_p6_ri19_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
