paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col2,Nap_ngg,144.41000000000003,Unknown,table_p8_ri2_ci2,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col2,Chr_ngg,422.2,Unknown,table_p8_ri11_ci2,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col4,Chr_ngg,666.625,Unknown,table_p8_ri11_ci4,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col2,BbF_ngg,719.0,Unknown,table_p8_ri12_ci2,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col4,BbF_ngg,1127.1,Unknown,table_p8_ri12_ci4,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col2,BaP_ngg,136.39499999999998,Unknown,table_p8_ri14_ci2,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col4,BaP_ngg,460.76,Unknown,table_p8_ri14_ci4,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col2,Ind_ngg,406.105,Unknown,table_p8_ri15_ci2,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col4,Ind_ngg,910.685,Unknown,table_p8_ri15_ci4,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col2,BghiP_ngg,333.465,Unknown,table_p8_ri17_ci2,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col4,BghiP_ngg,785.895,Unknown,table_p8_ri17_ci4,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col2,Sum_PAH_ngg,2707.82,Unknown,table_p8_ri20_ci2,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col4,Sum_PAH_ngg,86.14,Unknown,table_p8_ri20_ci4,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
