paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
file,file_VGaomiao,Sum_PAH_ngg,2.3,Unknown,table_p9_ri1_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VDujia,BaA_ngg,0.5,Unknown,table_p9_ri13_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VDujia,Chr_ngg,0.5,Unknown,table_p9_ri13_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SGaomiao,Sum_PAH_ngg,0.8,Unknown,table_p9_ri14_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SGaomiao,Phe_ngg,0.4,Unknown,table_p9_ri14_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SGaomiao,Ant_ngg,0.4,Unknown,table_p9_ri14_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SGaomiao,Pyr_ngg,0.7,Unknown,table_p9_ri14_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SGaomiao,BaA_ngg,0.5,Unknown,table_p9_ri14_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SGaomiao,Chr_ngg,0.5,Unknown,table_p9_ri14_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SJiangwu,Sum_PAH_ngg,0.5,Unknown,table_p9_ri15_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SJiangwu,Phe_ngg,0.6,Unknown,table_p9_ri15_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SJiangwu,Ant_ngg,0.6,Unknown,table_p9_ri15_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SJiangwu,Pyr_ngg,0.5,Unknown,table_p9_ri15_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SJiangwu,BaA_ngg,0.2,Unknown,table_p9_ri15_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SJiangwu,Chr_ngg,0.2,Unknown,table_p9_ri15_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SLiulin,Sum_PAH_ngg,0.8,Unknown,table_p9_ri16_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SLiulin,Phe_ngg,0.3,Unknown,table_p9_ri16_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SLiulin,Ant_ngg,0.3,Unknown,table_p9_ri16_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SLiulin,Pyr_ngg,0.3,Unknown,table_p9_ri16_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SLiulin,BaA_ngg,0.1,Unknown,table_p9_ri16_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SLiulin,Chr_ngg,0.1,Unknown,table_p9_ri16_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SMoling,Sum_PAH_ngg,0.9,Unknown,table_p9_ri17_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SMoling,Phe_ngg,0.2,Unknown,table_p9_ri17_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SMoling,Ant_ngg,0.2,Unknown,table_p9_ri17_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SMoling,Pyr_ngg,0.6,Unknown,table_p9_ri17_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SMoling,BaA_ngg,0.3,Unknown,table_p9_ri17_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SMoling,Chr_ngg,0.3,Unknown,table_p9_ri17_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SShijia,Sum_PAH_ngg,1.0,Unknown,table_p9_ri18_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SShijia,Phe_ngg,0.3,Unknown,table_p9_ri18_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SShijia,Ant_ngg,0.3,Unknown,table_p9_ri18_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SShijia,Pyr_ngg,0.6,Unknown,table_p9_ri18_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SShijia,BaA_ngg,0.3,Unknown,table_p9_ri18_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SShijia,Chr_ngg,0.3,Unknown,table_p9_ri18_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SWeijia,Sum_PAH_ngg,0.7,Unknown,table_p9_ri19_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SWeijia,Phe_ngg,0.5,Unknown,table_p9_ri19_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SWeijia,Ant_ngg,0.5,Unknown,table_p9_ri19_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SWeijia,Pyr_ngg,0.7,Unknown,table_p9_ri19_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SWeijia,BaA_ngg,0.4,Unknown,table_p9_ri19_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SWeijia,Chr_ngg,0.4,Unknown,table_p9_ri19_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SXicha,Sum_PAH_ngg,0.5,Unknown,table_p9_ri20_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SXicha,Phe_ngg,0.1,Unknown,table_p9_ri20_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SXicha,Ant_ngg,0.1,Unknown,table_p9_ri20_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SXicha,Pyr_ngg,0.6,Unknown,table_p9_ri20_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SXicha,BaA_ngg,0.3,Unknown,table_p9_ri20_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SXicha,Chr_ngg,0.3,Unknown,table_p9_ri20_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SXiwang,Sum_PAH_ngg,0.6,Unknown,table_p9_ri21_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SXiwang,Phe_ngg,0.4,Unknown,table_p9_ri21_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SXiwang,Ant_ngg,0.4,Unknown,table_p9_ri21_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SXiwang,Pyr_ngg,0.5,Unknown,table_p9_ri21_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SXiwang,BaA_ngg,0.3,Unknown,table_p9_ri21_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SXiwang,Chr_ngg,0.3,Unknown,table_p9_ri21_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SXingnan,Sum_PAH_ngg,0.7,Unknown,table_p9_ri22_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SXingnan,Phe_ngg,0.1,Unknown,table_p9_ri22_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SXingnan,Ant_ngg,0.1,Unknown,table_p9_ri22_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SXingnan,Pyr_ngg,0.6,Unknown,table_p9_ri22_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SXingnan,BaA_ngg,0.3,Unknown,table_p9_ri22_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SXingnan,Chr_ngg,0.3,Unknown,table_p9_ri22_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SChangjia,Sum_PAH_ngg,0.5,Unknown,table_p9_ri23_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SChangjia,Phe_ngg,0.1,Unknown,table_p9_ri23_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SChangjia,Ant_ngg,0.1,Unknown,table_p9_ri23_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SChangjia,Pyr_ngg,0.6,Unknown,table_p9_ri23_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SChangjia,BaA_ngg,0.2,Unknown,table_p9_ri23_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SChangjia,Chr_ngg,0.2,Unknown,table_p9_ri23_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SGuanmiao,Sum_PAH_ngg,0.5,Unknown,table_p9_ri24_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SGuanmiao,Phe_ngg,0.9,Unknown,table_p9_ri24_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SGuanmiao,Ant_ngg,0.9,Unknown,table_p9_ri24_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SGuanmiao,Pyr_ngg,0.1,Unknown,table_p9_ri24_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SGuanmiao,BaA_ngg,0.4,Unknown,table_p9_ri24_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SGuanmiao,Chr_ngg,0.4,Unknown,table_p9_ri24_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SLiangzhao,Sum_PAH_ngg,0.7,Unknown,table_p9_ri25_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SLiangzhao,Phe_ngg,0.7,Unknown,table_p9_ri25_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SLiangzhao,Ant_ngg,0.7,Unknown,table_p9_ri25_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SLiangzhao,Pyr_ngg,0.6,Unknown,table_p9_ri25_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SLiangzhao,BaA_ngg,0.2,Unknown,table_p9_ri25_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SLiangzhao,Chr_ngg,0.2,Unknown,table_p9_ri25_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SDujia,Sum_PAH_ngg,0.3,Unknown,table_p9_ri26_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SDujia,Phe_ngg,0.2,Unknown,table_p9_ri26_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SDujia,Ant_ngg,0.2,Unknown,table_p9_ri26_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SDujia,Pyr_ngg,0.5,Unknown,table_p9_ri26_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SDujia,BaA_ngg,0.4,Unknown,table_p9_ri26_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_SDujia,Chr_ngg,0.4,Unknown,table_p9_ri26_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_Particle_composition,Sum_PAH_ngg,0.347,Unknown,table_p10_ri2_ci5,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_CEC,Sum_PAH_ngg,0.269,Unknown,table_p10_ri5_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
