paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B1,OC_pct,82.0,Unknown,table_p8_ri3_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B1,Sum_PAH_ngg,23.0,Unknown,table_p8_ri3_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B1,OC_pct,23.0,Unknown,table_p8_ri3_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B1,BaA_ngg,0.4,Unknown,table_p8_ri3_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B1,Chr_ngg,0.4,Unknown,table_p8_ri3_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B1,BghiP_ngg,0.46,Unknown,table_p8_ri3_ci8,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B2,Sum_PAH_ngg,370.0,Unknown,table_p8_ri4_ci1,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B2,Sum_PAH_ngg,338.0,Unknown,table_p8_ri4_ci2,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B2,Sum_PAH_ngg,32.0,Unknown,table_p8_ri4_ci3,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B2,Sum_PAH_ngg,168.0,Unknown,table_p8_ri4_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B2,Sum_PAH_ngg,15.0,Unknown,table_p8_ri4_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B2,OC_pct,15.0,Unknown,table_p8_ri4_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B2,BaA_ngg,0.23,Unknown,table_p8_ri4_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B2,Chr_ngg,0.23,Unknown,table_p8_ri4_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B2,BghiP_ngg,0.41,Unknown,table_p8_ri4_ci8,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B3,Sum_PAH_ngg,462.0,Unknown,table_p8_ri5_ci1,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B3,Sum_PAH_ngg,429.0,Unknown,table_p8_ri5_ci2,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B3,Sum_PAH_ngg,34.0,Unknown,table_p8_ri5_ci3,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B3,Sum_PAH_ngg,420.0,Unknown,table_p8_ri5_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B3,Sum_PAH_ngg,31.0,Unknown,table_p8_ri5_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B3,OC_pct,31.0,Unknown,table_p8_ri5_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B3,BaA_ngg,0.23,Unknown,table_p8_ri5_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B3,Chr_ngg,0.23,Unknown,table_p8_ri5_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B3,BghiP_ngg,0.38,Unknown,table_p8_ri5_ci8,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C1,Sum_PAH_ngg,601.0,Unknown,table_p8_ri6_ci1,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C1,Sum_PAH_ngg,402.0,Unknown,table_p8_ri6_ci2,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C1,Sum_PAH_ngg,200.0,Unknown,table_p8_ri6_ci3,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C1,Sum_PAH_ngg,27.0,Unknown,table_p8_ri6_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C1,OC_pct,27.0,Unknown,table_p8_ri6_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C1,Sum_PAH_ngg,9.0,Unknown,table_p8_ri6_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C1,OC_pct,9.0,Unknown,table_p8_ri6_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C1,BaA_ngg,0.38,Unknown,table_p8_ri6_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C1,Chr_ngg,0.38,Unknown,table_p8_ri6_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C1,BghiP_ngg,0.49,Unknown,table_p8_ri6_ci8,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C2,Sum_PAH_ngg,451.0,Unknown,table_p8_ri7_ci1,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
