paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
15275922.2013.814180,15275922.2013.814180_Background_soil_13,TotalPHC_mgkg,0.27,Unknown,table_p6_ri13_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_13,TotalPHC_mgkg,1.45,Unknown,table_p6_ri13_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_13,TotalPHC_mgkg,9.54,Unknown,table_p6_ri13_ci5,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_13,TotalPHC_mgkg,51.5,Unknown,table_p6_ri13_ci6,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_13,TotalPHC_mgkg,46.4,Unknown,table_p6_ri13_ci7,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_14,TotalPHC_mgkg,0.24,Unknown,table_p6_ri14_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_14,TotalPHC_mgkg,0.1,Unknown,table_p6_ri14_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_14,TotalPHC_mgkg,0.09,Unknown,table_p6_ri14_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_14,TotalPHC_mgkg,40.1,Unknown,table_p6_ri14_ci5,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_14,TotalPHC_mgkg,38.6,Unknown,table_p6_ri14_ci6,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_14,TotalPHC_mgkg,20.8,Unknown,table_p6_ri14_ci7,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_15,TotalPHC_mgkg,0.29,Unknown,table_p6_ri15_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_15,TotalPHC_mgkg,0.02,Unknown,table_p6_ri15_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_15,TotalPHC_mgkg,0.23,Unknown,table_p6_ri15_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_15,TotalPHC_mgkg,7.22,Unknown,table_p6_ri15_ci5,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_15,TotalPHC_mgkg,78.1,Unknown,table_p6_ri15_ci6,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_15,TotalPHC_mgkg,30.2,Unknown,table_p6_ri15_ci7,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_16,TotalPHC_mgkg,0.13,Unknown,table_p6_ri16_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_16,TotalPHC_mgkg,0.03,Unknown,table_p6_ri16_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_16,TotalPHC_mgkg,0.08,Unknown,table_p6_ri16_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_16,TotalPHC_mgkg,20.8,Unknown,table_p6_ri16_ci5,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_16,TotalPHC_mgkg,63.9,Unknown,table_p6_ri16_ci6,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_16,TotalPHC_mgkg,55.9,Unknown,table_p6_ri16_ci7,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_17,TotalPHC_mgkg,0.08,Unknown,table_p6_ri17_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_17,TotalPHC_mgkg,0.03,Unknown,table_p6_ri17_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_17,TotalPHC_mgkg,0.04,Unknown,table_p6_ri17_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_17,TotalPHC_mgkg,34.0,Unknown,table_p6_ri17_ci5,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_17,TotalPHC_mgkg,45.5,Unknown,table_p6_ri17_ci6,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_17,TotalPHC_mgkg,36.2,Unknown,table_p6_ri17_ci7,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_18,TotalPHC_mgkg,0.09,Unknown,table_p6_ri18_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_18,TotalPHC_mgkg,0.03,Unknown,table_p6_ri18_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_18,TotalPHC_mgkg,0.05,Unknown,table_p6_ri18_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_18,TotalPHC_mgkg,28.3,Unknown,table_p6_ri18_ci5,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_18,TotalPHC_mgkg,53.3,Unknown,table_p6_ri18_ci6,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_18,TotalPHC_mgkg,47.1,Unknown,table_p6_ri18_ci7,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_19,TotalPHC_mgkg,2.57,Unknown,table_p6_ri19_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_19,TotalPHC_mgkg,0.21,Unknown,table_p6_ri19_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_19,TotalPHC_mgkg,2.15,Unknown,table_p6_ri19_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_19,TotalPHC_mgkg,8.03,Unknown,table_p6_ri19_ci5,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_19,TotalPHC_mgkg,83.6,Unknown,table_p6_ri19_ci6,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_19,TotalPHC_mgkg,68.4,Unknown,table_p6_ri19_ci7,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_20,TotalPHC_mgkg,0.09,Unknown,table_p6_ri20_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_20,TotalPHC_mgkg,0.02,Unknown,table_p6_ri20_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_20,TotalPHC_mgkg,0.07,Unknown,table_p6_ri20_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_20,TotalPHC_mgkg,24.1,Unknown,table_p6_ri20_ci5,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_20,TotalPHC_mgkg,75.1,Unknown,table_p6_ri20_ci6,soil,mining,,phase14_auto; confidence=high; flag=,,
