paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Experimental_area_(n_=_26),Nap_ngg,5.93,Unknown,table_p5_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Experimental_area_(n_=_26),Ant_ngg,11.7,Unknown,table_p5_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),Ant_ngg,27.0,Unknown,table_p5_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),Ant_ngg,14.9,Unknown,table_p5_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Area_outside_the_reserve_(n_=_8),Ant_ngg,12.0,Unknown,table_p5_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Experimental_area_(n_=_26),Pyr_ngg,13.0,Unknown,table_p5_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),Pyr_ngg,48.0,Unknown,table_p5_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),Pyr_ngg,17.4,Unknown,table_p5_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Area_outside_the_reserve_(n_=_8),Pyr_ngg,12.9,Unknown,table_p5_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Experimental_area_(n_=_26),BaA_ngg,0.255,Unknown,table_p5_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),BaA_ngg,3.26,Unknown,table_p5_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),BaA_ngg,0.921,Unknown,table_p5_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Area_outside_the_reserve_(n_=_8),BaA_ngg,0.228,Unknown,table_p5_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),Chr_ngg,4.56,Unknown,table_p5_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),Chr_ngg,1.62,Unknown,table_p5_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Area_outside_the_reserve_(n_=_8),Chr_ngg,1.27,Unknown,table_p5_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Experimental_area_(n_=_26),BbF_ngg,2.41,Unknown,table_p5_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),BbF_ngg,4.99,Unknown,table_p5_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),BbF_ngg,3.16,Unknown,table_p5_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Area_outside_the_reserve_(n_=_8),BbF_ngg,2.43,Unknown,table_p5_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Experimental_area_(n_=_26),BkF_ngg,2.16,Unknown,table_p5_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),BkF_ngg,2.63,Unknown,table_p5_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),BkF_ngg,2.32,Unknown,table_p5_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Area_outside_the_reserve_(n_=_8),BkF_ngg,2.17,Unknown,table_p5_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),BaP_ngg,2.96,Unknown,table_p5_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),BaP_ngg,1.11,Unknown,table_p5_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Experimental_area_(n_=_26),BghiP_ngg,4.26,Unknown,table_p5_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),BghiP_ngg,16.1,Unknown,table_p5_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),BghiP_ngg,5.84,Unknown,table_p5_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Area_outside_the_reserve_(n_=_8),BghiP_ngg,4.06,Unknown,table_p5_ri17_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Experimental_area_(n_=_26),Sum_PAH_ngg,42.6,Unknown,table_p5_ri25_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),Sum_PAH_ngg,247.0,Unknown,table_p5_ri25_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),Sum_PAH_ngg,82.4,Unknown,table_p5_ri25_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Area_outside_the_reserve_(n_=_8),Sum_PAH_ngg,44.8,Unknown,table_p5_ri25_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Experimental_area_(n_=_26),Sum_PAH_ngg,22.3,Unknown,table_p5_ri26_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),Sum_PAH_ngg,99.2,Unknown,table_p5_ri26_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),Sum_PAH_ngg,34.0,Unknown,table_p5_ri26_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Area_outside_the_reserve_(n_=_8),Sum_PAH_ngg,28.0,Unknown,table_p5_ri26_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Experimental_area_(n_=_26),Sum_PAH_ngg,16.5,Unknown,table_p5_ri27_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),Sum_PAH_ngg,119.0,Unknown,table_p5_ri27_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),Sum_PAH_ngg,30.1,Unknown,table_p5_ri27_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Area_outside_the_reserve_(n_=_8),Sum_PAH_ngg,13.3,Unknown,table_p5_ri27_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Experimental_area_(n_=_26),Sum_PAH_ngg,96.2,Unknown,table_p5_ri28_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),Sum_PAH_ngg,319.0,Unknown,table_p5_ri28_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),Sum_PAH_ngg,147.0,Unknown,table_p5_ri28_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Area_outside_the_reserve_(n_=_8),Sum_PAH_ngg,93.5,Unknown,table_p5_ri28_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Experimental_area_(n_=_26),Sum_PAH_ngg,80.6,Unknown,table_p5_ri29_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),Sum_PAH_ngg,311.0,Unknown,table_p5_ri29_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),Sum_PAH_ngg,131.0,Unknown,table_p5_ri29_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Area_outside_the_reserve_(n_=_8),Sum_PAH_ngg,86.6,Unknown,table_p5_ri29_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Experimental_area_(n_=_26),Sum_PAH_ngg,6.76,Unknown,table_p5_ri30_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),Sum_PAH_ngg,19.7,Unknown,table_p5_ri30_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),Sum_PAH_ngg,14.0,Unknown,table_p5_ri30_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Area_outside_the_reserve_(n_=_8),Sum_PAH_ngg,6.94,Unknown,table_p5_ri30_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC1,Nap_ngg,0.921,Unknown,table_p8_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC2,Nap_ngg,0.026,Unknown,table_p8_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC4,Nap_ngg,0.07,Unknown,table_p8_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC5,Nap_ngg,0.084,Unknown,table_p8_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC6,Nap_ngg,0.096,Unknown,table_p8_ri1_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC1,Acy_ngg,0.781,Unknown,table_p8_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC2,Acy_ngg,0.212,Unknown,table_p8_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC4,Acy_ngg,0.414,Unknown,table_p8_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC7,Acy_ngg,0.615,Unknown,table_p8_ri2_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC1,Ace_ngg,0.525,Unknown,table_p8_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC2,Ace_ngg,0.7,Unknown,table_p8_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC3,Ace_ngg,0.038,Unknown,table_p8_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC4,Ace_ngg,0.317,Unknown,table_p8_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC5,Ace_ngg,0.005,Unknown,table_p8_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC6,Ace_ngg,0.111,Unknown,table_p8_ri3_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC1,Flu_ngg,0.933,Unknown,table_p8_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC2,Flu_ngg,0.026,Unknown,table_p8_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC4,Flu_ngg,0.014,Unknown,table_p8_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC5,Flu_ngg,0.159,Unknown,table_p8_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC6,Flu_ngg,0.077,Unknown,table_p8_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC1,Phe_ngg,0.948,Unknown,table_p8_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC2,Phe_ngg,0.084,Unknown,table_p8_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC4,Phe_ngg,0.096,Unknown,table_p8_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC5,Phe_ngg,0.196,Unknown,table_p8_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC6,Phe_ngg,0.04,Unknown,table_p8_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC1,Ant_ngg,0.761,Unknown,table_p8_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC2,Ant_ngg,0.511,Unknown,table_p8_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC4,Ant_ngg,0.202,Unknown,table_p8_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC5,Ant_ngg,0.264,Unknown,table_p8_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC6,Ant_ngg,0.021,Unknown,table_p8_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC1,Pyr_ngg,0.604,Unknown,table_p8_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC2,Pyr_ngg,0.19,Unknown,table_p8_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC3,Pyr_ngg,0.256,Unknown,table_p8_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC4,Pyr_ngg,0.596,Unknown,table_p8_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC5,Pyr_ngg,0.283,Unknown,table_p8_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC6,Pyr_ngg,0.008,Unknown,table_p8_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC7,Pyr_ngg,0.013,Unknown,table_p8_ri8_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC1,BaA_ngg,0.438,Unknown,table_p8_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC2,BaA_ngg,0.101,Unknown,table_p8_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC3,BaA_ngg,0.075,Unknown,table_p8_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC4,BaA_ngg,0.125,Unknown,table_p8_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC5,BaA_ngg,0.711,Unknown,table_p8_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC6,BaA_ngg,0.107,Unknown,table_p8_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC1,Chr_ngg,0.757,Unknown,table_p8_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC2,Chr_ngg,0.059,Unknown,table_p8_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC3,Chr_ngg,0.23,Unknown,table_p8_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC7,Chr_ngg,0.382,Unknown,table_p8_ri10_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC1,BbF_ngg,0.498,Unknown,table_p8_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC2,BbF_ngg,0.426,Unknown,table_p8_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC3,BbF_ngg,0.165,Unknown,table_p8_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC4,BbF_ngg,0.393,Unknown,table_p8_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC5,BbF_ngg,0.241,Unknown,table_p8_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC6,BbF_ngg,0.194,Unknown,table_p8_ri11_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC1,BkF_ngg,0.469,Unknown,table_p8_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC2,BkF_ngg,0.467,Unknown,table_p8_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC3,BkF_ngg,0.432,Unknown,table_p8_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC5,BkF_ngg,0.198,Unknown,table_p8_ri12_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC7,BkF_ngg,0.148,Unknown,table_p8_ri12_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC6,BaP_ngg,0.151,Unknown,table_p8_ri13_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC1,BghiP_ngg,0.246,Unknown,table_p8_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC2,BghiP_ngg,0.777,Unknown,table_p8_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC4,BghiP_ngg,0.141,Unknown,table_p8_ri16_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC5,BghiP_ngg,0.137,Unknown,table_p8_ri16_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_PC6,BghiP_ngg,0.048,Unknown,table_p8_ri16_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_BaPeq,Nap_ngg,0.013,Unknown,table_p9_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_BaPeq,Acy_ngg,0.003,Unknown,table_p9_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_BaPeq,Ace_ngg,0.001,Unknown,table_p9_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_BaPeq,Flu_ngg,0.01,Unknown,table_p9_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_BaPeq,Phe_ngg,0.03,Unknown,table_p9_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_BaPeq,Ant_ngg,0.141,Unknown,table_p9_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
