paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR1,Phe_ngg,0.07,Unknown,table_p3_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_RU1,Ant_ngg,0.08,Unknown,table_p3_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_RU1,BaA_ngg,0.36,Unknown,table_p3_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_RU1,Chr_ngg,0.36,Unknown,table_p3_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_RU2,Phe_ngg,0.12,Unknown,table_p3_ri15_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_RU2,Ant_ngg,0.12,Unknown,table_p3_ri15_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_RU2,BaA_ngg,0.49,Unknown,table_p3_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_RU2,Chr_ngg,0.49,Unknown,table_p3_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_RU3,Phe_ngg,0.07,Unknown,table_p3_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_RU3,Ant_ngg,0.07,Unknown,table_p3_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_RU3,BaA_ngg,0.26,Unknown,table_p3_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_RU3,Chr_ngg,0.26,Unknown,table_p3_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_BA1,Phe_ngg,0.07,Unknown,table_p3_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_BA1,Ant_ngg,0.07,Unknown,table_p3_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_BA1,BaA_ngg,0.17,Unknown,table_p3_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_BA1,Chr_ngg,0.17,Unknown,table_p3_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
