paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s11356-017-8553-0,s11356-017-8553-0_AS-RS_(CD),Nap_ngg,0.338,Unknown,table_p11_ri1_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_P_A_H_s_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,Ant_ngg,69.8,Unknown,table_p14_ri7_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_B_a_p_e_q_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,Ant_ngg,588.0,Unknown,table_p14_ri7_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_P_A_H_s_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,Pyr_ngg,316.0,Unknown,table_p14_ri9_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_P_A_H_s_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,BaA_ngg,333.0,Unknown,table_p14_ri10_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_B_a_p_e_q_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,BaA_ngg,905.0,Unknown,table_p14_ri10_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_P_A_H_s_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,Chr_ngg,392.0,Unknown,table_p14_ri11_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_P_A_H_s_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,BbF_ngg,338.0,Unknown,table_p14_ri12_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_B_a_p_e_q_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,BbF_ngg,594.0,Unknown,table_p14_ri12_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_P_A_H_s_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,BkF_ngg,372.0,Unknown,table_p14_ri13_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_P_A_H_s_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,BaP_ngg,298.0,Unknown,table_p14_ri14_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_P_A_H_s_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,Ind_ngg,20.0,Unknown,table_p14_ri15_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_B_a_p_e_q_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,Ind_ngg,5.0,Unknown,table_p14_ri15_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_B_a_p_e_q_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,Sum_PAH_ngg,12245.0,Unknown,table_p14_ri18_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
