paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,Nap_ngg,22.9,Unknown,table_p3_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,Pyr_ngg,257.0,Unknown,table_p3_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,BaA_ngg,7.08,Unknown,table_p3_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,BaA_ngg,70.9,Unknown,table_p3_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Minimum,BaA_ngg,0.16,Unknown,table_p3_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,BaA_ngg,806.0,Unknown,table_p3_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,Chr_ngg,17.9,Unknown,table_p3_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,Chr_ngg,68.3,Unknown,table_p3_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Minimum,Chr_ngg,0.49,Unknown,table_p3_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,Chr_ngg,437.0,Unknown,table_p3_ri10_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,BbF_ngg,23.3,Unknown,table_p3_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,BbF_ngg,95.8,Unknown,table_p3_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Minimum,BbF_ngg,0.45,Unknown,table_p3_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,BbF_ngg,566.0,Unknown,table_p3_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,BkF_ngg,8.54,Unknown,table_p3_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,BkF_ngg,44.4,Unknown,table_p3_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Minimum,BkF_ngg,0.16,Unknown,table_p3_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,BkF_ngg,307.0,Unknown,table_p3_ri12_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,BaP_ngg,24.0,Unknown,table_p3_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,BaP_ngg,175.0,Unknown,table_p3_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Minimum,BaP_ngg,0.64,Unknown,table_p3_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,BaP_ngg,1330.0,Unknown,table_p3_ri13_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,Ind_ngg,20.9,Unknown,table_p3_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,Ind_ngg,116.0,Unknown,table_p3_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Minimum,Ind_ngg,0.72,Unknown,table_p3_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,Ind_ngg,775.0,Unknown,table_p3_ri14_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,DahA_ngg,5.32,Unknown,table_p3_ri15_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,DahA_ngg,35.6,Unknown,table_p3_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,DahA_ngg,235.0,Unknown,table_p3_ri15_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,BghiP_ngg,32.9,Unknown,table_p3_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,BghiP_ngg,186.0,Unknown,table_p3_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Minimum,BghiP_ngg,1.12,Unknown,table_p3_ri16_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,BghiP_ngg,1100.0,Unknown,table_p3_ri16_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,Sum_PAH_ngg,34.4,Unknown,table_p3_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,Sum_PAH_ngg,50.3,Unknown,table_p3_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Minimum,Sum_PAH_ngg,0.4,Unknown,table_p3_ri17_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,Sum_PAH_ngg,323.0,Unknown,table_p3_ri17_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,Sum_PAH_ngg,23.6,Unknown,table_p3_ri18_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,Sum_PAH_ngg,129.0,Unknown,table_p3_ri18_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Minimum,Sum_PAH_ngg,0.45,Unknown,table_p3_ri18_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,Sum_PAH_ngg,1420.0,Unknown,table_p3_ri18_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,Sum_PAH_ngg,68.2,Unknown,table_p3_ri19_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,Sum_PAH_ngg,296.0,Unknown,table_p3_ri19_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Minimum,Sum_PAH_ngg,1.92,Unknown,table_p3_ri19_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,Sum_PAH_ngg,2010.0,Unknown,table_p3_ri19_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,Sum_PAH_ngg,51.9,Unknown,table_p3_ri20_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,Sum_PAH_ngg,309.0,Unknown,table_p3_ri20_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Minimum,Sum_PAH_ngg,1.7,Unknown,table_p3_ri20_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,Sum_PAH_ngg,2090.0,Unknown,table_p3_ri20_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,Sum_PAH_ngg,32.9,Unknown,table_p3_ri21_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,Sum_PAH_ngg,185.0,Unknown,table_p3_ri21_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Minimum,Sum_PAH_ngg,1.12,Unknown,table_p3_ri21_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,Sum_PAH_ngg,1100.0,Unknown,table_p3_ri21_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,Sum_PAH_ngg,227.0,Unknown,table_p3_ri22_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,Sum_PAH_ngg,907.0,Unknown,table_p3_ri22_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Minimum,Sum_PAH_ngg,5.6,Unknown,table_p3_ri22_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,Sum_PAH_ngg,5230.0,Unknown,table_p3_ri22_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
