paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Mid.__$\left(_\mathbf_{_n_g_\thinspace_g_^_{_-_1_}_}_\right)$,Pyr_ngg,29.9,Unknown,table_p4_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Std.__$(_\mathbf_{_n_g_\thinspace_g_^_{_-_1_}_}_)$,Pyr_ngg,68.8,Unknown,table_p4_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_CV_%,Pyr_ngg,141.0,Unknown,table_p4_ri8_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_DR_%,Pyr_ngg,100.0,Unknown,table_p4_ri8_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Dagang(38),Nap_ngg,119.0,Unknown,table_p6_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Dagang(38),Phe_ngg,45.8,Unknown,table_p6_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Dagang(38),Flu_ngg,28.6,Unknown,table_p6_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Hangu(38a),Pyr_ngg,140.645,Unknown,table_p6_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Dagang(38),Pyr_ngg,18.5,Unknown,table_p6_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Dagang(38),BaA_ngg,9.29,Unknown,table_p6_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Hangu(38a),Chr_ngg,123.27,Unknown,table_p6_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Dagang(38),Chr_ngg,20.1,Unknown,table_p6_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Dagang(38),BbF_ngg,28.5,Unknown,table_p6_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Dagang(38),BkF_ngg,11.1,Unknown,table_p6_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Dagang(38),BaP_ngg,14.5,Unknown,table_p6_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Hangu(38a),Sum_PAH_ngg,53.5,Unknown,table_p6_ri18_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Dagang(38),Sum_PAH_ngg,479.0,Unknown,table_p6_ri18_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_0.2–0.35,Sum_PAH_ngg,0.275,Unknown,table_p9_ri5_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
