paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S102,Nap_ngg,243.1,Unknown,table_p25_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_G12,Acy_ngg,542.1,Unknown,table_p25_ri3_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S101,Acy_ngg,563.7,Unknown,table_p25_ri3_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,Acy_ngg,41.0,Unknown,table_p25_ri3_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_$\overline_{_{_\mathrm_{_C_G_}_^_{_\mathrm_{_b_}_}_}_}$,Acy_ngg,108.1,Unknown,table_p25_ri3_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S102,Phe_ngg,179.6,Unknown,table_p25_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S104,Phe_ngg,191.3,Unknown,table_p25_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S26,Phe_ngg,203.0,Unknown,table_p25_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_s105,Phe_ngg,217.3,Unknown,table_p25_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S106,Phe_ngg,239.7,Unknown,table_p25_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_G12,Phe_ngg,372.9,Unknown,table_p25_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S101,Phe_ngg,338.9,Unknown,table_p25_ri5_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,Phe_ngg,30.0,Unknown,table_p25_ri5_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_$\overline_{_{_\mathrm_{_C_G_}_^_{_\mathrm_{_b_}_}_}_}$,Phe_ngg,33.5,Unknown,table_p25_ri5_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S102,Ant_ngg,196.7,Unknown,table_p25_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S104,Ant_ngg,239.9,Unknown,table_p25_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S26,Ant_ngg,508.1,Unknown,table_p25_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_s105,Ant_ngg,201.7,Unknown,table_p25_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S106,Ant_ngg,588.4,Unknown,table_p25_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_G12,Ant_ngg,331.2,Unknown,table_p25_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S101,Ant_ngg,471.1,Unknown,table_p25_ri6_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,Ant_ngg,44.0,Unknown,table_p25_ri6_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_$\overline_{_{_\mathrm_{_C_G_}_^_{_\mathrm_{_b_}_}_}_}$,Ant_ngg,66.2,Unknown,table_p25_ri6_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S102,Pyr_ngg,89.3,Unknown,table_p25_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S104,Pyr_ngg,72.1,Unknown,table_p25_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S26,Pyr_ngg,407.1,Unknown,table_p25_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_s105,Pyr_ngg,101.1,Unknown,table_p25_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S106,Pyr_ngg,498.7,Unknown,table_p25_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_G12,Pyr_ngg,283.3,Unknown,table_p25_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S101,Pyr_ngg,259.6,Unknown,table_p25_ri8_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,Pyr_ngg,68.0,Unknown,table_p25_ri8_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_$\overline_{_{_\mathrm_{_C_G_}_^_{_\mathrm_{_b_}_}_}_}$,Pyr_ngg,31.2,Unknown,table_p25_ri8_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S102,BaA_ngg,72.1,Unknown,table_p25_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S104,BaA_ngg,67.2,Unknown,table_p25_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S26,BaA_ngg,317.4,Unknown,table_p25_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_s105,BaA_ngg,48.6,Unknown,table_p25_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S106,BaA_ngg,354.4,Unknown,table_p25_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_G12,BaA_ngg,107.3,Unknown,table_p25_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S101,BaA_ngg,288.7,Unknown,table_p25_ri9_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,BaA_ngg,75.0,Unknown,table_p25_ri9_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_$\overline_{_{_\mathrm_{_C_G_}_^_{_\mathrm_{_b_}_}_}_}$,BaA_ngg,32.0,Unknown,table_p25_ri9_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S102,Chr_ngg,308.1,Unknown,table_p25_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S104,Chr_ngg,393.3,Unknown,table_p25_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S26,Chr_ngg,128.1,Unknown,table_p25_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_s105,Chr_ngg,165.5,Unknown,table_p25_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S106,Chr_ngg,185.1,Unknown,table_p25_ri10_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_G12,Chr_ngg,116.7,Unknown,table_p25_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S101,Chr_ngg,140.1,Unknown,table_p25_ri10_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,Chr_ngg,51.0,Unknown,table_p25_ri10_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_$\overline_{_{_\mathrm_{_C_G_}_^_{_\mathrm_{_b_}_}_}_}$,Chr_ngg,65.7,Unknown,table_p25_ri10_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S102,BbF_ngg,51.2,Unknown,table_p25_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S104,BbF_ngg,52.7,Unknown,table_p25_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S26,BbF_ngg,261.7,Unknown,table_p25_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_s105,BbF_ngg,51.3,Unknown,table_p25_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S106,BbF_ngg,273.2,Unknown,table_p25_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_G12,BbF_ngg,176.8,Unknown,table_p25_ri11_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S101,BbF_ngg,97.8,Unknown,table_p25_ri11_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,BbF_ngg,72.0,Unknown,table_p25_ri11_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_$\overline_{_{_\mathrm_{_C_G_}_^_{_\mathrm_{_b_}_}_}_}$,BbF_ngg,65.0,Unknown,table_p25_ri11_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S102,BkF_ngg,77.1,Unknown,table_p25_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S104,BkF_ngg,166.8,Unknown,table_p25_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S26,BkF_ngg,303.9,Unknown,table_p25_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_s105,BkF_ngg,70.9,Unknown,table_p25_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S106,BkF_ngg,339.1,Unknown,table_p25_ri12_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_G12,BkF_ngg,165.5,Unknown,table_p25_ri12_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S101,BkF_ngg,102.7,Unknown,table_p25_ri12_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,BkF_ngg,61.0,Unknown,table_p25_ri12_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_$\overline_{_{_\mathrm_{_C_G_}_^_{_\mathrm_{_b_}_}_}_}$,BkF_ngg,67.0,Unknown,table_p25_ri12_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S102,BaP_ngg,70.3,Unknown,table_p25_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S104,BaP_ngg,54.2,Unknown,table_p25_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S26,BaP_ngg,108.2,Unknown,table_p25_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_s105,BaP_ngg,49.2,Unknown,table_p25_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S106,BaP_ngg,118.7,Unknown,table_p25_ri13_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_G12,BaP_ngg,84.6,Unknown,table_p25_ri13_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S101,BaP_ngg,99.8,Unknown,table_p25_ri13_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,BaP_ngg,32.0,Unknown,table_p25_ri13_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_$\overline_{_{_\mathrm_{_C_G_}_^_{_\mathrm_{_b_}_}_}_}$,BaP_ngg,11.7,Unknown,table_p25_ri13_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S102,DahA_ngg,50.7,Unknown,table_p25_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S104,DahA_ngg,164.4,Unknown,table_p25_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S26,DahA_ngg,247.8,Unknown,table_p25_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_s105,DahA_ngg,77.4,Unknown,table_p25_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S106,DahA_ngg,293.7,Unknown,table_p25_ri14_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_G12,DahA_ngg,233.4,Unknown,table_p25_ri14_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S101,DahA_ngg,171.3,Unknown,table_p25_ri14_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,DahA_ngg,51.0,Unknown,table_p25_ri14_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_$\overline_{_{_\mathrm_{_C_G_}_^_{_\mathrm_{_b_}_}_}_}$,DahA_ngg,32.1,Unknown,table_p25_ri14_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S26,Ind_ngg,214.4,Unknown,table_p25_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S106,Ind_ngg,247.8,Unknown,table_p25_ri15_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_G12,Ind_ngg,109.7,Unknown,table_p25_ri15_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,Ind_ngg,38.0,Unknown,table_p25_ri15_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S102,BghiP_ngg,35.4,Unknown,table_p25_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_s105,BghiP_ngg,76.4,Unknown,table_p25_ri16_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S106,BghiP_ngg,93.7,Unknown,table_p25_ri16_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,BghiP_ngg,44.0,Unknown,table_p25_ri16_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S102,Sum_PAH_ngg,1572.4,Unknown,table_p25_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S104,Sum_PAH_ngg,2499.6,Unknown,table_p25_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S26,Sum_PAH_ngg,3820.3,Unknown,table_p25_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_s105,Sum_PAH_ngg,2149.0,Unknown,table_p25_ri17_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S106,Sum_PAH_ngg,4390.2,Unknown,table_p25_ri17_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_G12,Sum_PAH_ngg,3023.9,Unknown,table_p25_ri17_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S101,Sum_PAH_ngg,3229.1,Unknown,table_p25_ri17_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,Sum_PAH_ngg,33.0,Unknown,table_p25_ri17_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_$\overline_{_{_\mathrm_{_C_G_}_^_{_\mathrm_{_b_}_}_}_}$,Sum_PAH_ngg,630.3,Unknown,table_p25_ri17_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S102,Nap_ngg,20.8,Unknown,table_p26_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S104,Nap_ngg,35.7,Unknown,table_p26_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S26,Nap_ngg,59.7,Unknown,table_p26_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S105,Nap_ngg,37.8,Unknown,table_p26_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S106,Nap_ngg,70.4,Unknown,table_p26_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_G12,Nap_ngg,47.4,Unknown,table_p26_ri1_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S101,Nap_ngg,63.2,Unknown,table_p26_ri1_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_C.V%,Nap_ngg,37.0,Unknown,table_p26_ri1_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_CG,Nap_ngg,4.3,Unknown,table_p26_ri1_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S102,Ace_ngg,2.8,Unknown,table_p26_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S104,Ace_ngg,2.6,Unknown,table_p26_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S26,Ace_ngg,5.6,Unknown,table_p26_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S105,Ace_ngg,2.4,Unknown,table_p26_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S106,Ace_ngg,5.7,Unknown,table_p26_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_G12,Ace_ngg,3.7,Unknown,table_p26_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S101,Ace_ngg,4.5,Unknown,table_p26_ri2_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_C.V%,Ace_ngg,36.0,Unknown,table_p26_ri2_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_CG,Ace_ngg,0.9,Unknown,table_p26_ri2_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S102,Acy_ngg,14.3,Unknown,table_p26_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
