paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Rings,Ace_ngg,3.0,Unknown,table_p2_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Rings,BbF_ngg,5.0,Unknown,table_p2_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Standarddeviation,BbF_ngg,1698.82,Unknown,table_p2_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Maximum,BbF_ngg,5129.28,Unknown,table_p2_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Proportion_(%）,BbF_ngg,7.53,Unknown,table_p2_ri10_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Rings,BkF_ngg,5.0,Unknown,table_p2_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Standarddeviation,BkF_ngg,1816.58,Unknown,table_p2_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Maximum,BkF_ngg,5159.7,Unknown,table_p2_ri11_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Proportion_(%）,BkF_ngg,7.78,Unknown,table_p2_ri11_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Rings,BaP_ngg,5.0,Unknown,table_p2_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Standarddeviation,BaP_ngg,1816.36,Unknown,table_p2_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Maximum,BaP_ngg,7567.56,Unknown,table_p2_ri12_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Proportion_(%）,BaP_ngg,6.27,Unknown,table_p2_ri12_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Rings,BghiP_ngg,6.0,Unknown,table_p2_ri15_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Standarddeviation,BghiP_ngg,1506.97,Unknown,table_p2_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Maximum,BghiP_ngg,5611.32,Unknown,table_p2_ri15_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Proportion_(%）,BghiP_ngg,4.97,Unknown,table_p2_ri15_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Standarddeviation,Sum_PAH_ngg,20978.07,Unknown,table_p2_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Minimum,Sum_PAH_ngg,1788.93,Unknown,table_p2_ri16_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Maximum,Sum_PAH_ngg,71788.86,Unknown,table_p2_ri16_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_TEFs,Ace_ngg,0.001,Unknown,table_p3_ri3_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_TEFs,Ace_ngg,0.001,Unknown,table_p3_ri3_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_TEFs,Ace_ngg,0.1,Unknown,table_p3_ri3_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_TEFs,Ace_ngg,0.01,Unknown,table_p3_ri3_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
