paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72134_es071162z,72134_es071162z_col2,OC_pct,0.0003,Unknown,table_p3_ri19_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col2,SumPCB_ngg,1.7,Unknown,table_p3_ri31_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col3,SumPCB_ngg,1.5,Unknown,table_p3_ri31_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col4,SumPCB_ngg,0.9,Unknown,table_p3_ri31_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col5,SumPCB_ngg,0.7,Unknown,table_p3_ri31_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col8,SumPCB_ngg,4.9,Unknown,table_p3_ri31_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col10,SumPCB_ngg,2.3,Unknown,table_p3_ri31_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col12,SumPCB_ngg,0.4,Unknown,table_p3_ri31_ci12,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col1,SumPCB_ngg,3e-05,Unknown,table_p3_ri32_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col2,SumPCB_ngg,1.3,Unknown,table_p3_ri32_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col7,SumPCB_ngg,2.3,Unknown,table_p3_ri32_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col8,SumPCB_ngg,1.3,Unknown,table_p3_ri32_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col10,SumPCB_ngg,2.5,Unknown,table_p3_ri32_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col12,SumPCB_ngg,0.4,Unknown,table_p3_ri32_ci12,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col1,SumPCB_ngg,0.03,Unknown,table_p3_ri33_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col3,SumPCB_ngg,1.4,Unknown,table_p3_ri33_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col4,SumPCB_ngg,1.1,Unknown,table_p3_ri33_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col5,SumPCB_ngg,1.4,Unknown,table_p3_ri33_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col1,SumPCB_ngg,3e-05,Unknown,table_p3_ri34_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col3,SumPCB_ngg,0.8,Unknown,table_p3_ri34_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col4,SumPCB_ngg,0.6,Unknown,table_p3_ri34_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col5,SumPCB_ngg,0.9,Unknown,table_p3_ri34_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col8,SumPCB_ngg,1.0,Unknown,table_p3_ri34_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col11,SumPCB_ngg,0.5,Unknown,table_p3_ri34_ci11,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col2,SumPCB_ngg,67.2,Unknown,table_p3_ri35_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col3,SumPCB_ngg,73.4,Unknown,table_p3_ri35_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col4,SumPCB_ngg,28.9,Unknown,table_p3_ri35_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col5,SumPCB_ngg,95.3,Unknown,table_p3_ri35_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col6,SumPCB_ngg,24.8,Unknown,table_p3_ri35_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col8,SumPCB_ngg,297.2,Unknown,table_p3_ri35_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col10,SumPCB_ngg,12.9,Unknown,table_p3_ri35_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col2,SumPCB_ngg,154.5,Unknown,table_p3_ri36_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col3,SumPCB_ngg,190.8,Unknown,table_p3_ri36_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col4,SumPCB_ngg,161.7,Unknown,table_p3_ri36_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col5,SumPCB_ngg,168.0,Unknown,table_p3_ri36_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col6,SumPCB_ngg,118.5,Unknown,table_p3_ri36_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col7,SumPCB_ngg,347.6,Unknown,table_p3_ri36_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col8,SumPCB_ngg,377.5,Unknown,table_p3_ri36_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col9,SumPCB_ngg,311.4,Unknown,table_p3_ri36_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col11,SumPCB_ngg,1.1,Unknown,table_p3_ri36_ci11,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col3,Sum_PAH_ngg,687.2,Unknown,table_p3_ri44_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col4,Sum_PAH_ngg,296.7,Unknown,table_p3_ri44_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col5,Sum_PAH_ngg,128.8,Unknown,table_p3_ri44_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col6,Sum_PAH_ngg,135.3,Unknown,table_p3_ri44_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col7,Sum_PAH_ngg,142.6,Unknown,table_p3_ri44_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col8,Sum_PAH_ngg,228.8,Unknown,table_p3_ri44_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
