paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Topsoil_(n_=_15),Nap_ngg,54.0,Unknown,table_p5_ri2_ci1,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),Ant_ngg,83.0,Unknown,table_p5_ri7_ci2,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Residential_Area_Topsoil_(n_=_6),Ant_ngg,15.0,Unknown,table_p5_ri7_ci3,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_(n_=_1),Ant_ngg,209.0,Unknown,table_p5_ri7_ci5,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),Ant_ngg,14.0,Unknown,table_p5_ri7_ci6,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),Pyr_ngg,372.0,Unknown,table_p5_ri9_ci2,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Residential_Area_Topsoil_(n_=_6),Pyr_ngg,75.0,Unknown,table_p5_ri9_ci3,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_(n_=_1),Pyr_ngg,840.0,Unknown,table_p5_ri9_ci5,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),Pyr_ngg,89.0,Unknown,table_p5_ri9_ci6,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),BaA_ngg,176.0,Unknown,table_p5_ri10_ci2,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Residential_Area_Topsoil_(n_=_6),BaA_ngg,37.0,Unknown,table_p5_ri10_ci3,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_(n_=_1),BaA_ngg,349.0,Unknown,table_p5_ri10_ci5,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),BaA_ngg,33.0,Unknown,table_p5_ri10_ci6,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Topsoil_(n_=_15),Chr_ngg,14.0,Unknown,table_p5_ri11_ci1,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),Chr_ngg,347.0,Unknown,table_p5_ri11_ci2,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Residential_Area_Topsoil_(n_=_6),Chr_ngg,104.0,Unknown,table_p5_ri11_ci3,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),Chr_ngg,97.0,Unknown,table_p5_ri11_ci6,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),BbF_ngg,179.0,Unknown,table_p5_ri12_ci2,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Residential_Area_Topsoil_(n_=_6),BbF_ngg,55.0,Unknown,table_p5_ri12_ci3,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_(n_=_1),BbF_ngg,995.0,Unknown,table_p5_ri12_ci5,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),BbF_ngg,73.0,Unknown,table_p5_ri12_ci6,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),BkF_ngg,61.0,Unknown,table_p5_ri13_ci2,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Residential_Area_Topsoil_(n_=_6),BkF_ngg,18.0,Unknown,table_p5_ri13_ci3,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_(n_=_1),BkF_ngg,215.0,Unknown,table_p5_ri13_ci5,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),BkF_ngg,30.0,Unknown,table_p5_ri13_ci6,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),BaP_ngg,249.0,Unknown,table_p5_ri14_ci2,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Residential_Area_Topsoil_(n_=_6),BaP_ngg,42.0,Unknown,table_p5_ri14_ci3,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_(n_=_1),BaP_ngg,505.0,Unknown,table_p5_ri14_ci5,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),BaP_ngg,47.0,Unknown,table_p5_ri14_ci6,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),Ant_ngg,75.0,Unknown,table_p5_ri20_ci2,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Residential_Area_Topsoil_(n_=_6),Ant_ngg,33.0,Unknown,table_p5_ri20_ci3,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_(n_=_1),Ant_ngg,527.0,Unknown,table_p5_ri20_ci5,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),Ant_ngg,36.0,Unknown,table_p5_ri20_ci6,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),Flu_ngg,333.0,Unknown,table_p5_ri21_ci2,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Residential_Area_Topsoil_(n_=_6),Flu_ngg,93.0,Unknown,table_p5_ri21_ci3,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_(n_=_1),Flu_ngg,581.0,Unknown,table_p5_ri21_ci5,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),Flu_ngg,48.0,Unknown,table_p5_ri21_ci6,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),Pyr_ngg,516.0,Unknown,table_p5_ri24_ci2,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Residential_Area_Topsoil_(n_=_6),Pyr_ngg,20768.0,Unknown,table_p5_ri24_ci3,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),Pyr_ngg,15847.0,Unknown,table_p5_ri24_ci6,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_(n_=_1),BaP_ngg,456.0,Unknown,table_p5_ri25_ci5,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Topsoil_(n_=_15),Sum_PAH_ngg,307.0,Unknown,table_p5_ri26_ci1,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),Sum_PAH_ngg,16270.0,Unknown,table_p5_ri26_ci2,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Agricultural_Area_Topsoil_(n_=_45),Sum_PAH_ngg,152.0,Unknown,table_p5_ri26_ci4,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),Sum_PAH_ngg,896.0,Unknown,table_p5_ri26_ci6,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Agricultural_Area_Topsoil_(n_=_45),Sum_PAH_ngg,114.0,Unknown,table_p5_ri27_ci4,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
