paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
10807039.2017.1362545,10807039.2017.1362545_$\mathrm_{_L_O_D_s_}_(_\mathrm_{_n_g_}_{_\cdot_}_\mathrm_{_g_}_^_{_-_1_}_)$,SumHCH_ngg,0.08,Unknown,table_p27_ri5_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_KurtosiS,SumHCH_ngg,24.6,Unknown,table_p28_ri7_ci8,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Detection_frequencies(%),SumHCH_ngg,98.04,Unknown,table_p28_ri8_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Maximum,SumHCH_ngg,7.39,Unknown,table_p28_ri8_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_CV（%）,SumHCH_ngg,86.54,Unknown,table_p28_ri8_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Skewness,SumHCH_ngg,2.45,Unknown,table_p28_ri8_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_KurtosiS,SumHCH_ngg,7.17,Unknown,table_p28_ri8_ci8,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Detection_frequencies(%),SumHCH_ngg,100.0,Unknown,table_p28_ri9_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Minimum,SumHCH_ngg,0.2,Unknown,table_p28_ri9_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Maximum,SumHCH_ngg,13.0,Unknown,table_p28_ri9_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_CV（%）,SumHCH_ngg,125.73,Unknown,table_p28_ri9_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Skewness,SumHCH_ngg,3.42,Unknown,table_p28_ri9_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_KurtosiS,SumHCH_ngg,14.86,Unknown,table_p28_ri9_ci8,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Minimum,SumHCH_ngg,0.89,Unknown,table_p28_ri10_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Maximum,SumHCH_ngg,98.29,Unknown,table_p28_ri10_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_CV（%）,SumHCH_ngg,146.21,Unknown,table_p28_ri10_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Skewness,SumHCH_ngg,3.82,Unknown,table_p28_ri10_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_KurtosiS,SumHCH_ngg,16.24,Unknown,table_p28_ri10_ci8,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_nd,SumOCP_ngg,2.44,Unknown,table_p29_ri4_ci2,soil,other,,phase14_auto; confidence=medium; flag=,,
10807039.2017.1362545,10807039.2017.1362545_nd,OC_pct,2.44,Unknown,table_p29_ri4_ci2,soil,other,,phase14_auto; confidence=medium; flag=,,
10807039.2017.1362545,10807039.2017.1362545_6.62,SumOCP_ngg,177.06,Unknown,table_p29_ri4_ci3,soil,other,,phase14_auto; confidence=medium; flag=,,
10807039.2017.1362545,10807039.2017.1362545_0.49,SumOCP_ngg,31.95,Unknown,table_p29_ri4_ci4,soil,other,,phase14_auto; confidence=medium; flag=,,
10807039.2017.1362545,10807039.2017.1362545_0.49,OC_pct,31.95,Unknown,table_p29_ri4_ci4,soil,other,,phase14_auto; confidence=medium; flag=,,
10807039.2017.1362545,10807039.2017.1362545_1.06,SumOCP_ngg,37.78,Unknown,table_p29_ri4_ci5,soil,other,,phase14_auto; confidence=medium; flag=,,
10807039.2017.1362545,10807039.2017.1362545_1.06,OC_pct,37.78,Unknown,table_p29_ri4_ci5,soil,other,,phase14_auto; confidence=medium; flag=,,
10807039.2017.1362545,10807039.2017.1362545_216.33,SumOCP_ngg,118.25,Unknown,table_p29_ri4_ci6,soil,other,,phase14_auto; confidence=medium; flag=,,
10807039.2017.1362545,10807039.2017.1362545_4.28,SumOCP_ngg,2.57,Unknown,table_p29_ri4_ci7,soil,other,,phase14_auto; confidence=medium; flag=,,
10807039.2017.1362545,10807039.2017.1362545_4.28,OC_pct,2.57,Unknown,table_p29_ri4_ci7,soil,other,,phase14_auto; confidence=medium; flag=,,
10807039.2017.1362545,10807039.2017.1362545_22.63,SumOCP_ngg,6.27,Unknown,table_p29_ri4_ci8,soil,other,,phase14_auto; confidence=medium; flag=,,
10807039.2017.1362545,10807039.2017.1362545_22.63,OC_pct,6.27,Unknown,table_p29_ri4_ci8,soil,other,,phase14_auto; confidence=medium; flag=,,
