paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_SD,Ind_ngg,1300.0,Unknown,table_p5_ri14_ci5,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Min,DahA_ngg,3.6,Unknown,table_p5_ri15_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Max,DahA_ngg,1000.0,Unknown,table_p5_ri15_ci2,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Median,DahA_ngg,15.0,Unknown,table_p5_ri15_ci3,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Mean,DahA_ngg,89.0,Unknown,table_p5_ri15_ci4,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_SD,DahA_ngg,220.0,Unknown,table_p5_ri15_ci5,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Min,BghiP_ngg,18.0,Unknown,table_p5_ri16_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Max,BghiP_ngg,3900.0,Unknown,table_p5_ri16_ci2,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Median,BghiP_ngg,60.0,Unknown,table_p5_ri16_ci3,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Mean,BghiP_ngg,360.0,Unknown,table_p5_ri16_ci4,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_SD,BghiP_ngg,890.0,Unknown,table_p5_ri16_ci5,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Min,Sum_PAH_ngg,210.0,Unknown,table_p5_ri17_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Max,Sum_PAH_ngg,39000.0,Unknown,table_p5_ri17_ci2,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Median,Sum_PAH_ngg,760.0,Unknown,table_p5_ri17_ci3,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Mean,Sum_PAH_ngg,3400.0,Unknown,table_p5_ri17_ci4,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_SD,Sum_PAH_ngg,8400.0,Unknown,table_p5_ri17_ci5,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Min,Sum_PAH_ngg,67.0,Unknown,table_p5_ri18_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Max,Sum_PAH_ngg,26000.0,Unknown,table_p5_ri18_ci2,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Median,Sum_PAH_ngg,300.0,Unknown,table_p5_ri18_ci3,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Mean,Sum_PAH_ngg,2100.0,Unknown,table_p5_ri18_ci4,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_SD,Sum_PAH_ngg,5600.0,Unknown,table_p5_ri18_ci5,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Huaihe_River_(middle_reach),_China",Sum_PAH_ngg,15.0,Unknown,table_p6_ri1_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Urban_soil_throughout_China,Sum_PAH_ngg,16.0,Unknown,table_p6_ri2_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Urban_soils_in_Shanghai,_China",Sum_PAH_ngg,16.0,Unknown,table_p6_ri3_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Urban_soils_in_Nanjing,_China",Sum_PAH_ngg,16.0,Unknown,table_p6_ri4_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
