paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,Flu_ngg,0.16,Unknown,table_p9_ri4_ci3,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,Flu_ngg,0.75,Unknown,table_p9_ri4_ci4,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,Phe_ngg,0.08,Unknown,table_p9_ri5_ci2,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,Phe_ngg,0.17,Unknown,table_p9_ri5_ci3,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,Phe_ngg,0.75,Unknown,table_p9_ri5_ci4,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,Ant_ngg,0.08,Unknown,table_p9_ri6_ci2,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,Ant_ngg,0.17,Unknown,table_p9_ri6_ci3,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,Ant_ngg,0.75,Unknown,table_p9_ri6_ci4,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,Pyr_ngg,0.08,Unknown,table_p9_ri8_ci2,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,Pyr_ngg,0.17,Unknown,table_p9_ri8_ci3,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,Pyr_ngg,0.75,Unknown,table_p9_ri8_ci4,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,BaA_ngg,0.08,Unknown,table_p9_ri9_ci2,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,BaA_ngg,0.17,Unknown,table_p9_ri9_ci3,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,BaA_ngg,0.75,Unknown,table_p9_ri9_ci4,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,Chr_ngg,0.08,Unknown,table_p9_ri10_ci2,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,Chr_ngg,0.17,Unknown,table_p9_ri10_ci3,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,Chr_ngg,0.75,Unknown,table_p9_ri10_ci4,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,BbF_ngg,0.08,Unknown,table_p9_ri11_ci2,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,BbF_ngg,0.17,Unknown,table_p9_ri11_ci3,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,BbF_ngg,0.75,Unknown,table_p9_ri11_ci4,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,BkF_ngg,0.08,Unknown,table_p9_ri12_ci2,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,BkF_ngg,0.17,Unknown,table_p9_ri12_ci3,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,BkF_ngg,0.75,Unknown,table_p9_ri12_ci4,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,BaP_ngg,0.08,Unknown,table_p9_ri13_ci2,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,BaP_ngg,0.17,Unknown,table_p9_ri13_ci3,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,BaP_ngg,0.75,Unknown,table_p9_ri13_ci4,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
