paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
15320383.2021.1893645,15320383.2021.1893645_0-20cm,Nap_ngg,17.91,Unknown,table_p5_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_0-20cm,Phe_ngg,28.1,Unknown,table_p5_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_20-40cm,Phe_ngg,369.2,Unknown,table_p5_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_40-60cm,Phe_ngg,162.7,Unknown,table_p5_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_60-80cm,Phe_ngg,94.7,Unknown,table_p5_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_80-100_cm,Phe_ngg,8.99,Unknown,table_p5_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_0-20cm,Ant_ngg,4.18,Unknown,table_p5_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_20-40cm,Ant_ngg,37.8,Unknown,table_p5_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_40-60cm,Ant_ngg,14.7,Unknown,table_p5_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_60-80cm,Ant_ngg,8.75,Unknown,table_p5_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_80-100_cm,Ant_ngg,7.0,Unknown,table_p5_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_0-20cm,Pyr_ngg,13.98,Unknown,table_p5_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_20-40cm,Pyr_ngg,100.8,Unknown,table_p5_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_40-60cm,Pyr_ngg,61.95,Unknown,table_p5_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_60-80cm,Pyr_ngg,24.6,Unknown,table_p5_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_80-100_cm,Pyr_ngg,16.18,Unknown,table_p5_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_0-20cm,BaA_ngg,3.5,Unknown,table_p5_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_20-40cm,BaA_ngg,150.89,Unknown,table_p5_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_40-60cm,BaA_ngg,39.78,Unknown,table_p5_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_60-80cm,BaA_ngg,40.9,Unknown,table_p5_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_0-20cm,Chr_ngg,8.5,Unknown,table_p5_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_20-40cm,Chr_ngg,294.7,Unknown,table_p5_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_40-60cm,Chr_ngg,86.13,Unknown,table_p5_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_60-80cm,Chr_ngg,81.0,Unknown,table_p5_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_80-100_cm,Chr_ngg,7.9,Unknown,table_p5_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_20-40cm,BbF_ngg,275.7,Unknown,table_p5_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_40-60cm,BbF_ngg,41.79,Unknown,table_p5_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_60-80cm,BbF_ngg,76.7,Unknown,table_p5_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_20-40cm,BkF_ngg,329.7,Unknown,table_p5_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_40-60cm,BkF_ngg,96.51,Unknown,table_p5_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_60-80cm,BkF_ngg,79.6,Unknown,table_p5_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_20-40cm,BaP_ngg,186.9,Unknown,table_p5_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_40-60cm,BaP_ngg,56.45,Unknown,table_p5_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_60-80cm,BaP_ngg,52.2,Unknown,table_p5_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_20-40cm,DahA_ngg,93.96,Unknown,table_p5_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_40-60cm,DahA_ngg,18.38,Unknown,table_p5_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_60-80cm,DahA_ngg,25.7,Unknown,table_p5_ri16_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_0-20cm,BghiP_ngg,106.85,Unknown,table_p5_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_20-40cm,BghiP_ngg,82.6,Unknown,table_p5_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_40-60cm,BghiP_ngg,33.7,Unknown,table_p5_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_60-80cm,BghiP_ngg,25.3,Unknown,table_p5_ri17_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_0-20cm,Sum_PAH_ngg,237.3,Unknown,table_p5_ri18_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_40-60cm,Sum_PAH_ngg,352.6,Unknown,table_p5_ri18_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_60-80cm,Sum_PAH_ngg,244.4,Unknown,table_p5_ri18_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_80-100_cm,Sum_PAH_ngg,19.87,Unknown,table_p5_ri18_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_40-60cm,Sum_PAH_ngg,911.0,Unknown,table_p5_ri19_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_60-80cm,Sum_PAH_ngg,564.1,Unknown,table_p5_ri19_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_80-100_cm,Sum_PAH_ngg,144.1,Unknown,table_p5_ri19_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
