paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Traffic_volume,Acy_ngg,0.197,Unknown,table_p3_ri3_ci1,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Operation_time,BaA_ngg,0.245,Unknown,table_p3_ri10_ci3,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,BaA_ngg,0.207,Unknown,table_p3_ri10_ci4,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Operation_time,Chr_ngg,0.303,Unknown,table_p3_ri11_ci3,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,Chr_ngg,0.263,Unknown,table_p3_ri11_ci4,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,BbF_ngg,0.261,Unknown,table_p3_ri12_ci4,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,BkF_ngg,0.257,Unknown,table_p3_ri13_ci4,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,BaP_ngg,0.26,Unknown,table_p3_ri14_ci4,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,DahA_ngg,0.298,Unknown,table_p3_ri15_ci4,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Traffic_volume,BghiP_ngg,0.253,Unknown,table_p3_ri17_ci1,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Operation_time,Sum_PAH_ngg,0.233,Unknown,table_p3_ri18_ci3,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,Sum_PAH_ngg,0.262,Unknown,table_p3_ri19_ci4,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
