paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Aromatic_ring,Nap_ngg,2.0,Unknown,table_p3_ri1_ci1,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Max__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Ace_ngg,281.0,Unknown,table_p3_ri3_ci3,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Mean__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Ace_ngg,24.0,Unknown,table_p3_ri3_ci4,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Median__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Ace_ngg,2.8,Unknown,table_p3_ri3_ci5,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_DRª_(percent),Ace_ngg,53.0,Unknown,table_p3_ri3_ci6,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Aromatic_ring,Phe_ngg,3.0,Unknown,table_p3_ri5_ci1,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Max__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Phe_ngg,245.0,Unknown,table_p3_ri5_ci3,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Mean__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Phe_ngg,11.0,Unknown,table_p3_ri5_ci4,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_DRª_(percent),Phe_ngg,45.0,Unknown,table_p3_ri5_ci6,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Aromatic_ring,Ant_ngg,3.0,Unknown,table_p3_ri6_ci1,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Max__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Ant_ngg,53.0,Unknown,table_p3_ri6_ci3,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Mean__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Ant_ngg,1.1,Unknown,table_p3_ri6_ci4,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_DRª_(percent),Ant_ngg,26.0,Unknown,table_p3_ri6_ci6,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Aromatic_ring,Flu_ngg,4.0,Unknown,table_p3_ri7_ci1,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Max__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Flu_ngg,124.0,Unknown,table_p3_ri7_ci3,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Mean__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Flu_ngg,11.0,Unknown,table_p3_ri7_ci4,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Median__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Flu_ngg,1.7,Unknown,table_p3_ri7_ci5,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_DRª_(percent),Flu_ngg,53.0,Unknown,table_p3_ri7_ci6,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Aromatic_ring,Pyr_ngg,4.0,Unknown,table_p3_ri8_ci1,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Max__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Pyr_ngg,144.0,Unknown,table_p3_ri8_ci3,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Mean__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Pyr_ngg,10.0,Unknown,table_p3_ri8_ci4,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_DRª_(percent),Pyr_ngg,33.0,Unknown,table_p3_ri8_ci6,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
