paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Mexico,SumDDT_ngg,70.5,Unknown,table_p3_ri14_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Mexico,SumHCH_ngg,3.5,Unknown,table_p3_ri14_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_South-western_Spain,SumDDT_ngg,1.79,Unknown,table_p3_ri15_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,"j.chemosphere.2016.01.120_Tianjin,_China(cabbage)",SumDDT_ngg,16.0,Unknown,table_p3_ri17_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,"j.chemosphere.2016.01.120_Tianjin,_China(cabbage)",SumHCH_ngg,38.0,Unknown,table_p3_ri17_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Argentina(leek),SumDDT_ngg,45.8,Unknown,table_p3_ri18_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Argentina(leek),SumHCH_ngg,17.7,Unknown,table_p3_ri18_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Ghana_(Lettuce),SumDDT_ngg,40.0,Unknown,table_p3_ri19_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Ghana_(Lettuce),SumHCH_ngg,130.0,Unknown,table_p3_ri19_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_India(rice),SumDDT_ngg,21.0,Unknown,table_p3_ri20_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=range_mean,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_India(rice),SumHCH_ngg,63.0,Unknown,table_p3_ri20_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=range_mean,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Pakistan(rice),SumDDT_ngg,19.66,Unknown,table_p3_ri22_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=range_mean,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Pakistan(rice),SumHCH_ngg,14.540000000000001,Unknown,table_p3_ri22_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=range_mean,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Pakistan(wheat),SumDDT_ngg,7.875,Unknown,table_p3_ri23_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=range_mean,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Pakistan(wheat),SumHCH_ngg,2.44,Unknown,table_p3_ri23_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=range_mean,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Turkey(wheat),SumDDT_ngg,155.45,Unknown,table_p3_ri24_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=range_mean,,
