paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72127_s10661-014-3960-x,72127_s10661-014-3960-x_14,OTC_ngg,14.0,Unknown,table_p3_ri17_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_14,ENRO_ngg,14.0,Unknown,table_p3_ri17_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_14,SDZ_ngg,14.0,Unknown,table_p3_ri17_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_15,SMZ_ngg,15.0,Unknown,table_p3_ri20_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_15,CTC_ngg,15.0,Unknown,table_p3_ri20_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_15,OTC_ngg,15.0,Unknown,table_p3_ri20_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_15,ENRO_ngg,15.0,Unknown,table_p3_ri20_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_15,SDZ_ngg,15.0,Unknown,table_p3_ri20_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_16,SMZ_ngg,16.0,Unknown,table_p3_ri21_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_16,CTC_ngg,16.0,Unknown,table_p3_ri21_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_16,OTC_ngg,16.0,Unknown,table_p3_ri21_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_16,ENRO_ngg,16.0,Unknown,table_p3_ri21_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_16,SDZ_ngg,16.0,Unknown,table_p3_ri21_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_17,SMZ_ngg,17.0,Unknown,table_p3_ri26_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_17,CTC_ngg,17.0,Unknown,table_p3_ri26_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_17,OTC_ngg,17.0,Unknown,table_p3_ri26_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_17,ENRO_ngg,17.0,Unknown,table_p3_ri26_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_17,SDZ_ngg,17.0,Unknown,table_p3_ri26_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
