paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,0.0,Unknown,table_p3_ri31_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col5,SumPCB_ngg,0.0,Unknown,table_p3_ri31_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col7,SumPCB_ngg,6.94,Unknown,table_p3_ri31_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col8,SumPCB_ngg,6.21,Unknown,table_p3_ri31_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col9,SumPCB_ngg,0.15,Unknown,table_p3_ri31_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,101.0,Unknown,table_p3_ri32_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,47.17,Unknown,table_p3_ri32_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,12.91,Unknown,table_p3_ri32_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col6,SumPCB_ngg,0.94,Unknown,table_p3_ri32_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col8,SumPCB_ngg,9.03,Unknown,table_p3_ri32_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col9,SumPCB_ngg,6.66,Unknown,table_p3_ri32_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col10,SumPCB_ngg,0.17,Unknown,table_p3_ri32_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,102.0,Unknown,table_p3_ri33_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri33_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,0.0,Unknown,table_p3_ri33_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col6,SumPCB_ngg,0.0,Unknown,table_p3_ri33_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col8,SumPCB_ngg,0.69,Unknown,table_p3_ri33_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col10,SumPCB_ngg,3.48,Unknown,table_p3_ri33_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col11,SumPCB_ngg,0.02,Unknown,table_p3_ri33_ci11,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,103.0,Unknown,table_p3_ri34_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri34_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,0.0,Unknown,table_p3_ri34_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
