paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S2_(n_=_7),Phe_ngg,3.1,Unknown,table_p4_ri6_ci8,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S1_(n_=_2),Phe_ngg,58.1,Unknown,table_p4_ri6_ci9,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,Ant_ngg,0.7,Unknown,table_p4_ri7_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,Ant_ngg,70.0,Unknown,table_p4_ri7_ci2,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_12),Ant_ngg,41.1,Unknown,table_p4_ri7_ci3,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G2_(n_=_10),Ant_ngg,0.4,Unknown,table_p4_ri7_ci4,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G1_(n_=_9),Ant_ngg,198.0,Unknown,table_p4_ri7_ci5,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S3_(n_=_10),Ant_ngg,2.0,Unknown,table_p4_ri7_ci6,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_2),Ant_ngg,79.0,Unknown,table_p4_ri7_ci7,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S2_(n_=_7),Ant_ngg,0.8,Unknown,table_p4_ri7_ci8,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S1_(n_=_2),Ant_ngg,15.2,Unknown,table_p4_ri7_ci9,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,Pyr_ngg,0.7,Unknown,table_p4_ri9_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,Pyr_ngg,70.0,Unknown,table_p4_ri9_ci2,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_12),Pyr_ngg,138.6,Unknown,table_p4_ri9_ci3,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G2_(n_=_10),Pyr_ngg,1.4,Unknown,table_p4_ri9_ci4,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G1_(n_=_9),Pyr_ngg,9.8,Unknown,table_p4_ri9_ci5,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S3_(n_=_10),Pyr_ngg,0.1,Unknown,table_p4_ri9_ci6,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
