paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W4,Nap_ngg,88.0,Unknown,table_p3_ri23_ci4,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W5,Nap_ngg,11447.0,Unknown,table_p3_ri23_ci5,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W7,Nap_ngg,12947.0,Unknown,table_p3_ri23_ci7,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W10,Nap_ngg,425.0,Unknown,table_p3_ri23_ci10,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W1,Phe_ngg,399.0,Unknown,table_p3_ri24_ci1,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W2,Phe_ngg,85.0,Unknown,table_p3_ri24_ci2,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W8,Phe_ngg,803.0,Unknown,table_p3_ri24_ci8,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W9,Phe_ngg,589.0,Unknown,table_p3_ri24_ci9,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W10,Phe_ngg,128.0,Unknown,table_p3_ri24_ci10,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W2,Phe_ngg,212.0,Unknown,table_p3_ri25_ci2,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W4,Phe_ngg,66.0,Unknown,table_p3_ri25_ci4,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W7,Phe_ngg,10278.0,Unknown,table_p3_ri25_ci7,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W10,Phe_ngg,243.0,Unknown,table_p3_ri25_ci10,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W1,Phe_ngg,491.0,Unknown,table_p3_ri26_ci1,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W2,Phe_ngg,34.0,Unknown,table_p3_ri26_ci2,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W4,Phe_ngg,110.0,Unknown,table_p3_ri26_ci4,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W8,Phe_ngg,875.0,Unknown,table_p3_ri26_ci8,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W9,Phe_ngg,465.0,Unknown,table_p3_ri26_ci9,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W10,Phe_ngg,15.0,Unknown,table_p3_ri26_ci10,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W1,Phe_ngg,13.0,Unknown,table_p3_ri27_ci1,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W2,Phe_ngg,24.0,Unknown,table_p3_ri27_ci2,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W3,Phe_ngg,517.0,Unknown,table_p3_ri27_ci3,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W5,Phe_ngg,423.0,Unknown,table_p3_ri27_ci5,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
