paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col5,Pyr_ngg,0.6,Unknown,table_p6_ri17_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col6,Pyr_ngg,0.1,Unknown,table_p6_ri17_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col7,Pyr_ngg,5.0,Unknown,table_p6_ri17_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col8,Pyr_ngg,0.7,Unknown,table_p6_ri17_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col9,Pyr_ngg,4.7,Unknown,table_p6_ri17_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col10,Pyr_ngg,2.6,Unknown,table_p6_ri17_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col11,Pyr_ngg,1.1,Unknown,table_p6_ri17_ci11,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_Site,Ind_ngg,1.7,Unknown,table_p7_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_Site,Sum_PAH_ngg,44.5,Unknown,table_p7_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col3,Ind_ngg,0.3,Unknown,table_p8_ri14_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col8,Ind_ngg,4.7,Unknown,table_p8_ri14_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col9,Ind_ngg,1.95,Unknown,table_p8_ri14_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col10,Ind_ngg,1.9000000000000001,Unknown,table_p8_ri14_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col3,Sum_PAH_ngg,3.0,Unknown,table_p8_ri16_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col4,Sum_PAH_ngg,0.3,Unknown,table_p8_ri16_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col8,Sum_PAH_ngg,5.95,Unknown,table_p8_ri16_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col9,Sum_PAH_ngg,2.4,Unknown,table_p8_ri16_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col10,Sum_PAH_ngg,3.15,Unknown,table_p8_ri16_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col1,Nap_ngg,1.2,Unknown,table_p9_ri3_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col2,Nap_ngg,0.6,Unknown,table_p9_ri3_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col3,Nap_ngg,0.2,Unknown,table_p9_ri3_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col4,Nap_ngg,0.2,Unknown,table_p9_ri3_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col8,Nap_ngg,0.1,Unknown,table_p9_ri3_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col9,Nap_ngg,0.3,Unknown,table_p9_ri3_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col2,Acy_ngg,1.6500000000000001,Unknown,table_p9_ri4_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
