paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72405_s10661-011-1895-z,72405_s10661-011-1895-z_7,Phe_ngg,3.76,Unknown,table_p3_ri5_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_8,Phe_ngg,35.48,Unknown,table_p3_ri5_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_9,Phe_ngg,21.74,Unknown,table_p3_ri5_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_10,Phe_ngg,2.84,Unknown,table_p3_ri5_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_11,Phe_ngg,6.1,Unknown,table_p3_ri5_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_12,Phe_ngg,19.16,Unknown,table_p3_ri5_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_1,Ant_ngg,9.67,Unknown,table_p3_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_3,Ant_ngg,0.75,Unknown,table_p3_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_5,Ant_ngg,0.76,Unknown,table_p3_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_6,Ant_ngg,4.99,Unknown,table_p3_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_7,Ant_ngg,2.51,Unknown,table_p3_ri6_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_9,Ant_ngg,2.42,Unknown,table_p3_ri6_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_11,Ant_ngg,6.1,Unknown,table_p3_ri6_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_12,Ant_ngg,2.3,Unknown,table_p3_ri6_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_1,Pyr_ngg,7.89,Unknown,table_p3_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_2,Pyr_ngg,3.75,Unknown,table_p3_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_3,Pyr_ngg,10.3,Unknown,table_p3_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_4,Pyr_ngg,1.86,Unknown,table_p3_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_5,Pyr_ngg,15.3,Unknown,table_p3_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_6,Pyr_ngg,54.9,Unknown,table_p3_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_7,Pyr_ngg,51.48,Unknown,table_p3_ri8_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_8,Pyr_ngg,10.14,Unknown,table_p3_ri8_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_9,Pyr_ngg,13.28,Unknown,table_p3_ri8_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_10,Pyr_ngg,85.08,Unknown,table_p3_ri8_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_11,Pyr_ngg,16.84,Unknown,table_p3_ri8_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_12,Pyr_ngg,30.69,Unknown,table_p3_ri8_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_1,BaA_ngg,15.53,Unknown,table_p3_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_2,BaA_ngg,16.0,Unknown,table_p3_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_3,BaA_ngg,54.69,Unknown,table_p3_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_4,BaA_ngg,3.18,Unknown,table_p3_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_5,BaA_ngg,5.59,Unknown,table_p3_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_6,BaA_ngg,16.22,Unknown,table_p3_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_7,BaA_ngg,21.31,Unknown,table_p3_ri9_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_8,BaA_ngg,248.33,Unknown,table_p3_ri9_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_9,BaA_ngg,67.62,Unknown,table_p3_ri9_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_10,BaA_ngg,19.85,Unknown,table_p3_ri9_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_11,BaA_ngg,159.83,Unknown,table_p3_ri9_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_12,BaA_ngg,42.66,Unknown,table_p3_ri9_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_1,Chr_ngg,16.8,Unknown,table_p3_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_2,Chr_ngg,5.5,Unknown,table_p3_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_3,Chr_ngg,3.26,Unknown,table_p3_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_4,Chr_ngg,2.39,Unknown,table_p3_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_5,Chr_ngg,10.67,Unknown,table_p3_ri10_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_6,Chr_ngg,32.44,Unknown,table_p3_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_7,Chr_ngg,23.82,Unknown,table_p3_ri10_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_8,Chr_ngg,6.33,Unknown,table_p3_ri10_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_9,Chr_ngg,10.87,Unknown,table_p3_ri10_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_10,Chr_ngg,34.03,Unknown,table_p3_ri10_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_11,Chr_ngg,30.5,Unknown,table_p3_ri10_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_12,Chr_ngg,2.81,Unknown,table_p3_ri10_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_1,BbF_ngg,8.65,Unknown,table_p3_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_2,BbF_ngg,5.75,Unknown,table_p3_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_3,BbF_ngg,8.53,Unknown,table_p3_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_4,BbF_ngg,2.12,Unknown,table_p3_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_5,BbF_ngg,11.94,Unknown,table_p3_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_6,BbF_ngg,29.94,Unknown,table_p3_ri11_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_7,BbF_ngg,53.9,Unknown,table_p3_ri11_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_8,BbF_ngg,2.53,Unknown,table_p3_ri11_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_9,BbF_ngg,7.25,Unknown,table_p3_ri11_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_10,BbF_ngg,38.29,Unknown,table_p3_ri11_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_11,BbF_ngg,12.2,Unknown,table_p3_ri11_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_12,BbF_ngg,22.22,Unknown,table_p3_ri11_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_1,BkF_ngg,20.11,Unknown,table_p3_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_2,BkF_ngg,2.0,Unknown,table_p3_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_3,BkF_ngg,1.0,Unknown,table_p3_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_4,BkF_ngg,0.8,Unknown,table_p3_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_5,BkF_ngg,7.11,Unknown,table_p3_ri12_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_6,BkF_ngg,2.5,Unknown,table_p3_ri12_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_7,BkF_ngg,33.85,Unknown,table_p3_ri12_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_9,BkF_ngg,4.83,Unknown,table_p3_ri12_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_10,BkF_ngg,4.25,Unknown,table_p3_ri12_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_11,BkF_ngg,7.32,Unknown,table_p3_ri12_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_12,BkF_ngg,1.53,Unknown,table_p3_ri12_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_1,BaP_ngg,20.0,Unknown,table_p3_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_2,BaP_ngg,4.25,Unknown,table_p3_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_3,BaP_ngg,7.28,Unknown,table_p3_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
