column_name,coverage_count,coverage_pct,column_group,mapped_status,match_type,action,mapped_factor_name
K_mgkg,496,1.8349,soil_fertility,mapped,alias,model_covariate,
LMWPAH_ngg,55,0.2035,metal,classified,family_subgroup,supplementary_screening,低分子量PAH
MAP_mm,1963,7.262,covariate,classified,measured_covariate,model_covariate,降水
Mg_mgkg,263,0.973,metal,classified,metal_covariate,model_covariate,镁
Mn_mgkg,1106,4.0916,metal,classified,metal_covariate,model_covariate,锰
Nap_mgkg,79,0.2923,PAH_single,classified,unit_variant,model_covariate,Nap_ngg
Nap_ngg,739,2.7339,PAH_single,mapped,compound_alias,formal_diagnosis,
Note,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Notes,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
PBEB_ngg,1,0.0037,metal,unmapped,,exclude_empty,
PCB101_ugkg,0,0.0,PCB_single,unmapped,,exclude_empty,
PCB118_ugkg,0,0.0,PCB_single,unmapped,,exclude_empty,
PCB138_ugkg,0,0.0,PCB_single,unmapped,,exclude_empty,
PCB153_ugkg,0,0.0,PCB_single,unmapped,,exclude_empty,
PCB180_ugkg,2,0.0074,PCB_single,unmapped,,exclude_empty,
PCB28_ugkg,0,0.0,PCB_single,unmapped,,exclude_empty,
PCB52_ugkg,2,0.0074,PCB_single,unmapped,,exclude_empty,
P_mgkg,37,0.1369,soil_fertility,mapped,alias,model_covariate,
Phe_mgkg,145,0.5364,PAH_single,classified,unit_variant,model_covariate,Phe_ngg
Phe_ngg,791,2.9263,PAH_single,classified,compound_alias_member,supplementary_screening,菲
Pyr_mgkg,137,0.5068,PAH_single,classified,unit_variant,model_covariate,Pyr_ngg
Pyr_ngg,771,2.8523,PAH_single,classified,compound_alias_member,supplementary_screening,芘
References,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Region,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Sb_mgkg,93,0.344,metal,mapped,alias,formal_diagnosis,
Se_mgkg,86,0.3182,metal,classified,metal_covariate,model_covariate,硒
SiltClay_ratio,110,0.4069,soil_physical,classified,derived_covariate,model_covariate,质地
Sn_mgkg,24,0.0888,metal,unmapped,,exclude_empty,
SoilSource,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Sr_mgkg,77,0.2849,metal,classified,metal_covariate,model_covariate,锶
SumAntibiotics_ugkg,47,0.1739,metal,classified,other_pollutant,supplementary_screening,抗生素
SumDDTs_ngg,655,2.4231,OCP_family,mapped,exact,supplementary_screening,
SumHCHs_ngg,601,2.2234,OCP_family,mapped,exact,supplementary_screening,
SumOCP_ngg,168,0.6215,OCP_family,classified,family_member,supplementary_screening,OCPs_total
SumPAE_ugkg,114,0.4217,PAE_family,mapped,family_aggregate,supplementary_screening,
SumPBDE_ngg,179,0.6622,PBDE_family,mapped,family_aggregate,supplementary_screening,
SumPCB_ngg,219,0.8102,PCB_family,mapped,family_aggregate,supplementary_screening,
SumPFAS_ngg,71,0.2627,PFAS_family,mapped,family_aggregate,supplementary_screening,
Sum_PAH_mgkg,234,0.8657,PAH_family,classified,family_member,supplementary_screening,PAHs_total
Sum_PAH_ngg,2773,10.2586,PAH_family,mapped,family_aggregate,supplementary_screening,
SynDP_ngg,7,0.0259,metal,unmapped,,exclude_empty,
TBB_ngg,0,0.0,metal,unmapped,,exclude_empty,
TBE_ngg,0,0.0,metal,unmapped,,exclude_empty,
TBPH_ngg,2,0.0074,metal,unmapped,,exclude_empty,
TN_gkg,989,3.6588,soil_fertility,mapped,exact,model_covariate,
TPH_ngg,18,0.0666,TPH_family,mapped,exact,supplementary_screening,
TP_gkg,369,1.3651,soil_fertility,classified,measured_covariate,model_covariate,全磷
TotalPCB_ugg,120,0.4439,PCB_family,classified,family_member,supplementary_screening,PCBs_total
TotalPHC_mgkg,327,1.2097,TPH_family,classified,family_member,supplementary_screening,TPH_total
Treatment,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
V_mgkg,194,0.7177,metal,mapped,alias,formal_diagnosis,
WaterSolubleSalt_gkg,41,0.1517,empty_or_irrelevant,unmapped,,exclude_empty,
extraction_notes,1,0.0037,empty_or_irrelevant,unmapped,,exclude_empty,
o_p_DDT_ngg,56,0.2072,OCP_single,classified,compound_alias_member,supplementary_screening,"o,p-滴滴涕"
p_p_DDD_ngg,68,0.2516,OCP_single,classified,compound_alias_member,supplementary_screening,"p,p-滴滴滴"
p_p_DDE_ngg,69,0.2553,OCP_single,classified,compound_alias_member,supplementary_screening,"p,p-滴滴伊"
p_p_DDT_ngg,75,0.2775,OCP_single,classified,compound_alias_member,supplementary_screening,"p,p-滴滴涕"
ANT_ngg_median,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
As_mgkg_median,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
As_residual_pct,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
BaA_ngg_median,0,0.0,PAH_single,unmapped,,exclude_empty,
BaP_ngg_median,0,0.0,PAH_single,unmapped,,exclude_empty,
BbF_ngg_median,0,0.0,PAH_single,unmapped,,exclude_empty,
BghiP_ngg_median,0,0.0,PAH_single,unmapped,,exclude_empty,
BkF_ngg_median,0,0.0,PAH_single,unmapped,,exclude_empty,
Co_mgkg_median,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Cr_mgkg_median,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Cu_mgkg_median,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
FLT_ngg_median,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
FLU_ngg_median,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
NAP_ngg_median,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Ni_mgkg_median,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
PHE_ngg_median,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
PYR_ngg_median,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Pb_mgkg_median,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Sr_mgkg_median,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Sum_PAH_ngg_max,0,0.0,PAH_family,unmapped,,exclude_empty,
Sum_PAH_ngg_median,0,0.0,PAH_family,unmapped,,exclude_empty,
Sum_PAH_ngg_min,0,0.0,PAH_family,unmapped,,exclude_empty,
Sum_PAH_range_mgkg,0,0.0,PAH_family,unmapped,,exclude_empty,
V_mgkg_median,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Zn_mgkg_median,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
AOX_mgkg,0,0.0,metal,unmapped,,exclude_empty,
BC_ugg,165,0.6104,empty_or_irrelevant,unmapped,,exclude_empty,
BGP_ngg,0,0.0,metal,unmapped,,exclude_empty,
BaPeq_range_ngg_max,1,0.0037,empty_or_irrelevant,unmapped,,exclude_empty,
BaPeq_range_ngg_min,1,0.0037,empty_or_irrelevant,unmapped,,exclude_empty,
Benz_a_anthracene_ngg,11,0.0407,metal,unmapped,,exclude_empty,
Benz_a_pyrene_ngg,11,0.0407,metal,unmapped,,exclude_empty,
Benz_b_fluoranthene_ngg,11,0.0407,metal,unmapped,,exclude_empty,
Benz_e_pyrene_ngg,11,0.0407,metal,unmapped,,exclude_empty,
Benz_ghi_perylene_ngg,11,0.0407,metal,unmapped,,exclude_empty,
Benz_k_fluoranthene_ngg,11,0.0407,metal,unmapped,,exclude_empty,
CN_ratio,2,0.0074,empty_or_irrelevant,unmapped,,exclude_empty,
Cd_Pi,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Cl_content_gkg,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Climate,0,0.0,metadata,unmapped,,exclude_metadata,
Cr_Pi,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Cu_Pi,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
DEHP_mgkg,4,0.0148,PAE_single,unmapped,,exclude_empty,
Elevation_m_max,1,0.0037,covariate,unmapped,,exclude_empty,
Elevation_m_min,1,0.0037,covariate,unmapped,,exclude_empty,
HMW_PAH_pct,1,0.0037,empty_or_irrelevant,unmapped,,exclude_empty,
ICP_ngg,521,1.9274,PAH_single,classified,compound_alias_member,supplementary_screening,"茚并[1,2,3-cd]芘"
LAS_mgkg,0,0.0,metal,unmapped,,exclude_empty,
LMW_PAH_pct,1,0.0037,empty_or_irrelevant,unmapped,,exclude_empty,
LandUse_enc,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Latitude_range,0,0.0,metadata,unmapped,,exclude_metadata,
Location,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Longitude_range,0,0.0,metadata,unmapped,,exclude_metadata,
Mo_mgkg,29,0.1073,metal,classified,metal_covariate,model_covariate,钼
NPE_mgkg,0,0.0,metal,unmapped,,exclude_empty,
PAH_compounds_detected,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
PAH_mgkg,0,0.0,metal,unmapped,,exclude_empty,
PCB_mgkg,0,0.0,PCB_single,unmapped,,exclude_empty,
PCDD_F_ngTEkg,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
PCDD_Fs_I_TEQ_ngm3,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
PCDD_Fs_I_TEQ_ugg,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
PCN14,68,0.2516,empty_or_irrelevant,unmapped,,exclude_empty,
PCN19,69,0.2553,empty_or_irrelevant,unmapped,,exclude_empty,
PCN24,71,0.2627,empty_or_irrelevant,unmapped,,exclude_empty,
Pb_Pi,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Perylene_ngg,11,0.0407,metal,unmapped,,exclude_empty,
Plants,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Pollutant,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
SampleType,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
SamplingLocation,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
SoilMoisture_pct,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
SoilOrganicMatter_pct,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
SumOPAH_ngg,19,0.0703,metal,unmapped,,exclude_empty,
Sum_PAH_range_ngg_max,1,0.0037,PAH_family,unmapped,,exclude_empty,
Sum_PAH_range_ngg_min,1,0.0037,PAH_family,unmapped,,exclude_empty,
TPHs_mgkg,0,0.0,TPH_family,unmapped,,exclude_empty,
Temperature_C,0,0.0,covariate,unmapped,,exclude_empty,
TotalNitrogen_pct,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
TotalPCB_ngg,0,0.0,PCB_family,unmapped,,exclude_empty,
ValidationSite,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Zn_Pi,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
five_six_ring_PAH_pct,1,0.0037,empty_or_irrelevant,unmapped,,exclude_empty,
four_ring_PAH_pct,1,0.0037,empty_or_irrelevant,unmapped,,exclude_empty,
zotero_key,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
source,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Glyphosate_ngL,2,0.0074,empty_or_irrelevant,unmapped,,exclude_empty,
AMPA_ngL,2,0.0074,empty_or_irrelevant,unmapped,,exclude_empty,
Sum16PAH_ngg,227,0.8398,PAH_family,classified,family_member,supplementary_screening,PAHs_total
Extraction_Notes,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
I_TEQ_ngkg,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
WHO_TEQ_ngkg,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
PCB28_ngg,10,0.037,PCB_single,unmapped,,exclude_empty,
PCB52_ngg,10,0.037,PCB_single,unmapped,,exclude_empty,
PCB101_ngg,8,0.0296,PCB_single,unmapped,,exclude_empty,
PCB118_ngg,19,0.0703,PCB_single,unmapped,,exclude_empty,
PCB153_ngg,8,0.0296,PCB_single,unmapped,,exclude_empty,
PCB138_ngg,8,0.0296,PCB_single,unmapped,,exclude_empty,
PCB180_ngg,8,0.0296,PCB_single,unmapped,,exclude_empty,
SumPCNs_ngg,0,0.0,metal,unmapped,,exclude_empty,
Sum7PAH_ngg,33,0.1221,PAH_family,classified,family_member,supplementary_screening,PAHs_total
Cd_spiked_mgkg,0,0.0,metal,unmapped,,exclude_empty,
Cd_spiked_mgkg_2,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Spiked_Phe_mgkg,0,0.0,PAH_single,unmapped,,exclude_empty,
PAHs_mgkg,8,0.0296,metal,unmapped,,exclude_empty,
C10C40_TPH_mgkg,0,0.0,TPH_family,unmapped,,exclude_empty,
C5C10_TPH_mgkg,0,0.0,TPH_family,unmapped,,exclude_empty,
SampleCount,2,0.0074,empty_or_irrelevant,unmapped,,exclude_empty,
S_mgkg,7,0.0259,metal,unmapped,,exclude_empty,
Na_mgkg,10,0.037,metal,unmapped,,exclude_empty,
DMP_ugkg,90,0.333,PAE_single,classified,family_member,supplementary_screening,PAEs_total
DEP_ugkg,92,0.3403,PAE_single,classified,family_member,supplementary_screening,PAEs_total
DBP_ugkg,101,0.3736,PAE_single,classified,family_member,supplementary_screening,PAEs_total
BBP_ugkg,75,0.2775,PAE_single,classified,family_member,supplementary_screening,PAEs_total
DEHP_ugkg,111,0.4106,PAE_single,classified,family_member,supplementary_screening,PAEs_total
DNOP_ugkg,84,0.3108,PAE_single,classified,family_member,supplementary_screening,PAEs_total
DiBP_ugkg,13,0.0481,metal,unmapped,,exclude_empty,
BMPP_ugkg,7,0.0259,metal,unmapped,,exclude_empty,
DEEP_ugkg,8,0.0296,metal,unmapped,,exclude_empty,
DHXP_ugkg,9,0.0333,metal,unmapped,,exclude_empty,
DBEP_ugkg,4,0.0148,metal,unmapped,,exclude_empty,
Sum6PAE_ugkg,3,0.0111,PAE_family,unmapped,,exclude_empty,
BDE28_ngg,4,0.0148,PBDE_single,unmapped,,exclude_empty,
BDE47_ngg,4,0.0148,PBDE_single,unmapped,,exclude_empty,
BDE99_ngg,4,0.0148,PBDE_single,unmapped,,exclude_empty,
BDE100_ngg,2,0.0074,PBDE_single,unmapped,,exclude_empty,
BDE153_ngg,2,0.0074,PBDE_single,unmapped,,exclude_empty,
BDE154_ngg,2,0.0074,PBDE_single,unmapped,,exclude_empty,
BDE138_ngg,2,0.0074,PBDE_single,unmapped,,exclude_empty,
BDE183_ngg,2,0.0074,PBDE_single,unmapped,,exclude_empty,
BDE190_ngg,2,0.0074,PBDE_single,unmapped,,exclude_empty,
BDE206_ngg,2,0.0074,PBDE_single,unmapped,,exclude_empty,
BDE207_ngg,2,0.0074,PBDE_single,unmapped,,exclude_empty,
BDE208_ngg,2,0.0074,PBDE_single,unmapped,,exclude_empty,
Org_Matter_gkg,1,0.0037,empty_or_irrelevant,unmapped,,exclude_empty,
Olsen_P_mgkg,1,0.0037,soil_fertility,unmapped,,exclude_empty,
NH4OAc_K_mgkg,1,0.0037,soil_fertility,unmapped,,exclude_empty,
Alk_hydrolyzable_N_mgkg,1,0.0037,metal,unmapped,,exclude_empty,
DTPA_Fe_mgkg,1,0.0037,metal,unmapped,,exclude_empty,
DTPA_Mn_mgkg,1,0.0037,metal,unmapped,,exclude_empty,
DTPA_Cu_mgkg,1,0.0037,metal,unmapped,,exclude_empty,
HCB_ngg,6,0.0222,metal,unmapped,,exclude_empty,
SamplingDate,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
N_mgkg,0,0.0,metal,unmapped,,exclude_empty,
SampingDepth,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Ti_mgkg,33,0.1221,metal,classified,metal_covariate,model_covariate,钛
Comment_SamplingID,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Comment_DataRepresentation,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
pH_in_Results,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
SumPCB_mgkg,0,0.0,PCB_family,unmapped,,exclude_empty,
BDE209_mgkg,0,0.0,PBDE_single,unmapped,,exclude_empty,
SumPBDE_mgkg,0,0.0,PBDE_family,unmapped,,exclude_empty,
Extraction_Notes_Additional,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Si_mgkg,5,0.0185,metal,unmapped,,exclude_empty,
Cl_mgkg,9,0.0333,metal,unmapped,,exclude_empty,
Zr_mgkg,20,0.074,metal,unmapped,,exclude_empty,
Nb_mgkg,6,0.0222,metal,unmapped,,exclude_empty,
Ag_mgkg,8,0.0296,metal,unmapped,,exclude_empty,
Ta_mgkg,5,0.0185,metal,unmapped,,exclude_empty,
Rb_mgkg,19,0.0703,metal,unmapped,,exclude_empty,
Be_mgkg,5,0.0185,metal,mapped,alias,formal_diagnosis,
DIBP_ugkg,10,0.037,metal,unmapped,,exclude_empty,
extraction_note,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
PCDD/Fs_pg_TEQ_g,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
SOC_pct,1,0.0037,empty_or_irrelevant,unmapped,,exclude_empty,
NO3_N_mgkg,1,0.0037,metal,unmapped,,exclude_empty,
Fe_gkg,1,0.0037,empty_or_irrelevant,unmapped,,exclude_empty,
o_p_DDE_ngg,5,0.0185,OCP_single,unmapped,,exclude_empty,
o_p_DDD_ngg,5,0.0185,OCP_single,unmapped,,exclude_empty,
extraction_notes_row,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
ExtractionNote_AP,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
ExtractionNote_DTPA_Cd,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
WaterContent_pct,6,0.0222,empty_or_irrelevant,unmapped,,exclude_empty,
TK_gkg,3,0.0111,empty_or_irrelevant,unmapped,,exclude_empty,
SOC_gkg,4,0.0148,empty_or_irrelevant,unmapped,,exclude_empty,
AK_mgkg,3,0.0111,soil_fertility,unmapped,,exclude_empty,
AN_mgkg,3,0.0111,soil_fertility,unmapped,,exclude_empty,
Ce_mgkg,3,0.0111,metal,unmapped,,exclude_empty,
La_mgkg,3,0.0111,metal,unmapped,,exclude_empty,
Li_mgkg,3,0.0111,metal,unmapped,,exclude_empty,
Sc_mgkg,3,0.0111,metal,unmapped,,exclude_empty,
Th_mgkg,3,0.0111,metal,unmapped,,exclude_empty,
Sum_PCB_mgkg,2,0.0074,PCB_family,unmapped,,exclude_empty,
Tl_mgkg,4,0.0148,metal,unmapped,,exclude_empty,
Cd_treatment_mgkg,3,0.0111,metal,unmapped,,exclude_empty,
O3_treatment,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Bi_mgkg,0,0.0,metal,unmapped,,exclude_empty,
U_mgkg,0,0.0,metal,unmapped,,exclude_empty,
AcPy_ngg,0,0.0,metal,unmapped,,exclude_empty,
Acp_ngg,0,0.0,metal,unmapped,,exclude_empty,
SiteID,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
B_mgkg,0,0.0,metal,unmapped,,exclude_empty,
Sum16PAH_mgkg,10,0.037,PAH_family,unmapped,,exclude_empty,
ParticlePorosity_pct,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
C_N_ratio,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Sum15PAH_ngg,0,0.0,metal,unmapped,,exclude_empty,
ChloroalkanesC10_13_ngg,0,0.0,metal,unmapped,,exclude_empty,
PAH4_mgkg,2,0.0074,metal,unmapped,,exclude_empty,
SoilOrganicMatter_mgg,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Sum_PAH_range_ngg,0,0.0,PAH_family,unmapped,,exclude_empty,
TotalDioxins_TEQ_ngkg,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Cl_pct,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
S_pct,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Si_pct,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Br_pct,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
P_pct,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Sn_pct,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
PeCBz_ngkg,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
HxCBz_ngkg,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Methomyl_mgkg,1,0.0037,metal,unmapped,,exclude_empty,
Triazophos_mgkg,1,0.0037,metal,unmapped,,exclude_empty,
Aldrin_mgkg,0,0.0,metal,unmapped,,exclude_empty,
Dieldrin_mgkg,0,0.0,metal,unmapped,,exclude_empty,
Endrinketone_mgkg,0,0.0,metal,unmapped,,exclude_empty,
ExtractableK_mgkg,0,0.0,soil_fertility,unmapped,,exclude_empty,
ExtractableCa_mgkg,0,0.0,metal,unmapped,,exclude_empty,
ExtractableMg_mgkg,0,0.0,metal,unmapped,,exclude_empty,
OlsenP_ugg,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
SulphateS_mgg,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
WaterSolubleAs_mgL,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
Heptachlor_ngg,1,0.0037,metal,unmapped,,exclude_empty,
EndrinCHO_ngg,0,0.0,metal,unmapped,,exclude_empty,
EndosulfanII_ngg,0,0.0,metal,unmapped,,exclude_empty,
